date,time,Type,group,ph.mV,ph.nbs,temp.C,sal.psu,par,flow.mL5s,tris.date,Notes
7/10/23,19:00,Basin 1,Ambient,-61.5,8.08,26.8,36.44,,,20230710,"Par taken with Hobbos on 07/10/23, only tanks 1 and 2 were being used at this time, The Tris calibration was done on 07/10/23 and 07/11/23"
7/10/23,19:00,Squarical 1,Ambient,-61.3,8.07,26.6,36.47,,33,20230710,
7/10/23,19:00,Squarical 2,Ambient,-61.1,8.07,26.6,36.47,,49,20230710,
7/10/23,19:00,Squarical 3,Ambient,-61.6,8.06,26.7,36.46,,50,20230710,
7/10/23,19:00,Squarical 4,Ambient,-60.5,8.06,26.6,36.54,,47.5,20230710,
7/10/23,19:00,Basin 2,Heated,-59.8,8.01,30.3,36.55,,,20230710,
7/10/23,19:00,Squarical 5,Heated,-59,8.01,30.4,36.49,,48,20230710,
7/10/23,19:00,Squarical 6,Heated,-56.5,7.95,30.1,36.25,,50,20230710,
7/10/23,19:00,Squarical 7 ,Heated,-59.8,8.02,30.2,36.55,,47.5,20230710,
7/10/23,19:00,Squarical 8,Heated,-58.5,8,30.2,36.45,,47.5,20230710,
7/11/23,7:18,Squarical 1,Ambient,-60.8,8.05,27.6,36.5,,47.5,20230710,
7/11/23,7:18,Squarical 2,Ambient,-60.8,8.05,27.6,36.5,,50,20230710,
7/11/23,7:18,Squarical 3,Ambient,-60.5,8.05,27.6,36.33,,50,20230710,
7/11/23,7:18,Squarical 4,Ambient,-60.1,8.04,27.6,36.26,,49,20230710,
7/11/23,7:18,Squarical 5,Heated,-58.7,8.01,29.6,36.56,,50,20230710,
7/11/23,7:18,Squarical 6,Heated,-59.4,8.03,29.6,36.35,,47,20230710,
7/11/23,7:18,Squarical 7 ,Heated,-59.2,8.02,29.6,36.57,,50,20230710,
7/11/23,7:18,Squarical 8,Heated,-58.9,8.01,29.6,36.54,,50,20230710,
7/12/23,13:32,Squarical 1,Ambient,-58.3,8,27.7,36.48,,49,20230710,
7/12/23,13:32,Squarical 2,Ambient,-59.8,8.03,27.7,36.5,,48,20230710,
7/12/23,13:32,Squarical 3,Ambient,-60.5,8.04,27.7,36.56,,50,20230710,
