date,colony,condition,number,Fv/Fm ,Fo,Fm
7/24/23,E,Ambient ,301,0.397,342,567
7/24/23,E,Ambient ,301,0.539,100,217
7/24/23,E,Ambient ,302,0.397,365,605
7/24/23,E,Ambient ,303,0.473,282,535
7/24/23,E,Ambient ,302,0.517,389,805
7/24/23,E,Ambient ,302,0.507,135,274
7/24/23,E,Ambient ,302,0.467,296,555
7/24/23,E,Ambient ,302,0.45,330,600
7/24/23,E,Ambient ,302,0.515,311,641
7/24/23,E,Ambient ,303,0.436,269,477
7/24/23,E,Heated,7801,0.457,327,602
7/24/23,E,Heated,7801,0.425,289,503
7/24/23,E,Heated,7804,0.492,218,429
7/24/23,E,Heated,7804,0.582,292,698
7/24/23,E,Heated,7803,0.557,213,481
7/24/23,E,Heated,7803,0.567,212,490
7/24/23,E,Heated,7805,0.399,325,541
7/24/23,E,Heated,7803,0.496,235,466
7/24/23,E,Heated,7803,0.527,303,640
7/24/23,F,Ambient ,123305,0.544,349,766
7/24/23,F,Ambient ,123305,0.528,306,648
7/24/23,F,Ambient ,123305,0.501,479,960
7/24/23,F,Ambient ,123305,0.534,322,691
7/24/23,F,Ambient ,123305,0.538,487,1053
7/24/23,F,Ambient ,123305,0.533,416,890
7/24/23,F,Ambient ,123305,0.215,238,303
7/24/23,F,Ambient ,123305,0.441,257,460
7/24/23,F,Ambient ,123305,0.493,399,787
7/24/23,F,Ambient ,123305,0.49,387,759
7/24/23,F,Ambient ,123305,0.422,237,410
7/24/23,F,Heated,7806,0.514,153,315
7/24/23,F,Heated,7806,0.603,120,302
7/24/23,F,Heated,7806,0.518,259,537
7/24/23,F,Heated,7806,0.521,102,213
7/24/23,F,Heated,7806,0.445,249,449
7/24/23,F,Heated,7806,0.511,241,493
7/24/23,F,Heated,7806,0.461,82,152
7/24/23,F,Heated,7806,0.543,85,186
7/24/23,F,Heated,7806,0.523,123,258
7/24/23,F,Heated,7806,0.567,242,559
7/24/23,Pooled,Ambient ,123306,0.471,172,325
7/24/23,Pooled ,Ambient ,123306,0.513,540,1108
7/24/23,Pooled ,Ambient ,123306,0.374,303,48
7/24/23,Pooled ,Ambient ,123306,0.515,233,480
7/24/23,Pooled ,Ambient ,123306,0.245,289,383
7/24/23,Pooled ,Ambient ,123307,0.507,331,671
7/24/23,Pooled ,Ambient ,123307,0.481,278,536
7/24/23,Pooled ,Ambient ,123307,0.405,439,738
7/24/23,Pooled ,Ambient ,123307,0.466,119,223
7/24/23,Pooled ,Heated,7802,0.453,260,475
7/24/23,Pooled ,Heated,7802,0.514,274,564
7/24/23,Pooled ,Heated,7802,0.399,166,276
7/24/23,Pooled ,Heated,7802,0.257,349,470
7/24/23,Pooled ,Heated,7802,0.503,74,149
7/24/23,Pooled ,Heated,7807,0.406,111,187
7/24/23,Pooled ,Heated,7807,0.486,518,1007
7/24/23,Pooled ,Heated,7807,0.479,182,349
7/24/23,Pooled ,Heated,7807,0.518,356,739
7/24/23,Pooled ,Heated,7807,0.492,425,837
7/24/23,Pooled ,Heated,7807,0.511,345,706
7/25/23,G,Heated,7809,0.246,257,341
7/25/23,G,Heated,7809,0.232,268,349
7/25/23,G,Heated,7809,0.626,218,583
7/25/23,G,Heated,7809,0.551,332,739
7/25/23,G,Heated,7809,0.553,186,416
7/25/23,G,Heated,7809,0.346,223,341
7/25/23,G,Heated,7808,0.145,212,248
7/25/23,G,Heated,7808,0.613,229,591
7/25/23,G,Heated,7808,0.48,173,333
7/25/23,G,Heated,7808,0.505,253,511
7/25/23,G,Ambient ,123309,0.521,573,1197
7/25/23,G,Ambient ,123308,0.555,349,785
7/25/23,G,Ambient ,123308,0.541,236,430
7/25/23,G,Ambient ,123308,0.312,110,160
7/25/23,G,Ambient ,123308,0.537,333,719
7/25/23,G,Ambient ,123308,0.552,193,431
7/25/23,G,Ambient ,123308,0.435,393,695
7/25/23,G,Ambient ,123309,0.424,405,703
7/25/23,G,Ambient ,123309,0.45,253,460
7/25/23,G,Ambient ,123309,0.41,378,641
7/25/23,Pooled ,Ambient ,123310,0.444,326,586
7/25/23,Pooled ,Ambient ,123310,0.578,243,504
7/25/23,Pooled ,Ambient ,123310,0.526,388,819
7/25/23,Pooled ,Ambient ,123310,0.475,186,354
7/25/23,Pooled ,Ambient ,123310,0.437,334,593
7/25/23,Pooled ,Ambient ,123310,0.497,222,441
7/25/23,Pooled ,Ambient ,123310,0.466,451,845
7/25/23,Pooled ,Ambient ,123310,0.567,169,390
7/25/23,Pooled ,Ambient ,123310,0.561,336,766
7/25/23,Pooled ,Ambient ,123310,0.521,127,265
7/25/23,Pooled ,Heated,7810,0.419,154,265
7/25/23,Pooled ,Heated,7810,0.538,132,286
7/25/23,Pooled ,Heated,7810,0.467,278,522
7/25/23,Pooled ,Heated,7810,0.452,144,263
7/25/23,Pooled ,Heated,7810,0.546,206,254
7/25/23,Pooled ,Heated,7810,0.241,60,79
7/25/23,Pooled ,Heated,7810,0.467,121,227
7/25/23,Pooled ,Heated,7810,0.385,257,418
7/25/23,Pooled ,Heated,7810,0.385,107,174
7/25/23,Pooled ,Heated,7810,0.392,124,204
7/26/23,G,Ambient ,123317,0.452,389,710
7/26/23,G,Ambient ,123317,0.464,206,384
7/26/23,G,Ambient ,123317,0.67,232,702
7/26/23,G,Ambient ,123317,0.477,123,235
7/26/23,G,Ambient ,123318,0.509,157,320
7/26/23,G,Ambient ,123318,0.46,287,531
7/26/23,G,Ambient ,123320,0.67,63,191
7/26/23,G,Ambient ,123320,0.506,243,492
7/26/23,G,Ambient ,123320,0.583,274,657
7/26/23,G,Ambient ,123320,0.475,451,859
7/26/23,C,Ambient ,123311,0.549,252,559
7/26/23,C,Ambient ,123311,0.384,151,245
7/26/23,C,Ambient ,123311,0.509,263,536
7/26/23,C,Ambient ,123312,0.599,186,464
7/26/23,C,Ambient ,123312,0.503,73,147
7/26/23,C,Ambient ,123313,0.516,106,219
7/26/23,C,Ambient ,123313,0.526,170,528
7/26/23,C,Ambient ,123313,0.591,216,480
7/26/23,C,Ambient ,123316,0.544,128,281
7/26/23,C,Ambient ,123316,0.535,221,475
7/26/23,T,Ambient ,123324,0.693,264,860
7/26/23,T,Ambient ,123324,0.346,242,370
7/26/23,T,Ambient ,123324,0.537,239,516
7/26/23,T,Ambient ,123324,0.599,178,433
