date,time,number,tank,Squarical,condition,colony,Fv/Fm,Fo,Fm,PAR,ETR
7/18/23,9:30,Jenny 1,2,3,,A,0.165,182,218,163,9.9
7/18/23,9:30,Jenny 1,2,3,,A,0.153,188,222,162,8.9
7/18/23,9:30,Jenny 1,2,3,,A,0.054,209,221,162,3.2
7/18/23,9:30,Jenny 2,1,7,,A,0.2,152,190,157,11.5
7/18/23,9:30,Jenny 2,1,7,,A,0.206,127,160,156,11.6
7/18/23,9:30,Jenny 2,1,7,,A,0.197,126,157,160,11.4
7/18/23,9:30,Jenny 3,3,10,,O,0.276,310,428,135,14.2
7/18/23,9:30,Jenny 3,3,10,,O,0.356,326,506,143,18.5
7/18/23,9:30,Jenny 3,3,10,,O,0.392,432,712,150,20.8
7/18/23,9:30,Jenny 4,4,13,,O,0.43,449,788,155,24.3
7/18/23,9:30,Jenny 4,4,13,,O,0.482,315,608,160,28.1
7/18/23,9:30,Jenny 4,4,13,,O,0.382,264,427,162,23
7/18/23,11:30,Jenny 1,2,3,,A,0.112,111,125,552,22.8
7/18/23,11:30,Jenny 1,2,3,,A,0.107,109,122,604,25.5
7/18/23,11:30,Jenny 1,2,3,,A,0.215,102,130,660,52.1
7/18/23,11:30,Jenny 2,1,7,,A,0.185,119,146,725,49
7/18/23,11:30,Jenny 2,1,7,,A,0.107,125,140,749,28.9
7/18/23,11:30,Jenny 2,1,7,,A,0.162,124,148,807,47.7
7/18/23,11:30,Jenny 3,3,10,,O,0.14,227,264,819,41.9
7/18/23,11:30,Jenny 3,3,10,,O,0.149,262,308,736,40
7/18/23,11:30,Jenny 3,3,10,,O,0.156,206,244,601,34.2
7/18/23,11:30,Jenny 4,4,13,,O,0.146,228,267,341,18.2
7/18/23,11:30,Jenny 4,4,13,,O,0.103,208,232,696,25.9
7/18/23,11:30,Jenny 4,4,13,,O,0.193,184,228,732,34.3
7/18/23,13:30,Jenny 1,2,3,,A,0.113,133,150,301,12.4
7/18/23,13:30,Jenny 1,2,3,,A,0.15,130,153,271,14.8
7/18/23,13:30,Jenny 1,2,3,,A,0.23,117,152,299,25.1
7/18/23,13:30,Jenny 2,1,7,,A,0.153,133,157,235,13.1
7/18/23,13:30,Jenny 2,1,7,,A,0.222,126,162,244,4.6
7/18/23,13:30,Jenny 2,1,7,,A,0.148,156,183,220,12
7/18/23,13:30,Jenny 3,3,10,,O,0.174,176,213,874,55.5
7/18/23,13:30,Jenny 3,3,10,,O,0.085,215,235,795,24.7
7/18/23,13:30,Jenny 3,3,10,,O,0.057,217,230,501,10.4
7/18/23,13:30,Jenny 4,4,13,,O,0.109,229,257,486,19.3
7/18/23,13:30,Jenny 4,4,13,,O,0.15,198,233,1041,57
7/18/23,13:30,Jenny 4,4,13,,O,0.143,191,223,473,24.7
7/18/23,13:30,Jenny 5,,16,,pooled,0.089,163,179,500,16.2
7/18/23,13:30,Jenny 5,,16,,pooled,0.108,157,176,311,12.3
7/18/23,13:30,Jenny 5,,16,,pooled,0.152,189,223,627,34.8
7/18/23,13:30,Jenny 6,,6,,pooled,0.112,143,161,820,32.7
7/18/23,13:30,Jenny 6,,6,,pooled,0.162,181,216,690,40.8
7/18/23,13:30,Jenny 6,,6,,pooled,0.217,177,226,494,39.1
7/18/23,17:30,Jenny 1,2,3,,A,0.437,36,54,350,62.2
7/18/23,17:30,Jenny 1,2,3,,A,0.571,24,56,428,89.2
7/18/23,17:30,Jenny 1,2,3,,A,0.345,36,55,401,50.5
7/18/23,17:30,Jenny 2,1,7,,A,0.365,40,63,331,44.1
7/18/23,17:30,Jenny 2,1,7,,A,0.406,41,69,210,31.1
7/18/23,17:30,Jenny 2,1,7,,A,0.288,47,66,392,41.2
7/18/23,17:30,Jenny 3,3,10,,O,0.209,170,215,464,35.4
7/18/23,17:30,Jenny 3,3,10,,O,0.37,85,135,204,27.6
7/18/23,17:30,Jenny 3,3,10,,O,0.216,109,139,409,32.2
7/18/23,17:30,Jenny 4,4,13,,O,0.339,164,248,140,18.2
7/18/23,17:30,Jenny 4,4,13,,O,0.412,107,182,130,19.5
7/18/23,17:30,Jenny 4,4,13,,O,0.263,115,156,165,15.8
7/18/23,17:30,Jenny 5,,16,,pooled,0.311,122,177,345,39.2
7/18/23,17:30,Jenny 5,,16,,pooled,0.348,150,230,305,38.7
7/18/23,17:30,Jenny 5,,16,,pooled,0.222,79,90,268,11.9
7/18/23,17:30,Jenny 6,,6,,pooled,0.456,37,68,299,49.8
7/18/23,17:30,Jenny 6,,6,,pooled,0.167,100,120,320,19.5
7/18/23,17:30,Jenny 6,,6,,pooled,0.185,88,108,298,20.1
7/18/23,17:30,Jenny 6,,6,,pooled,0.337,126,190,211,26
7/18/23,23:30,Jenny 1,2,3,,A,0.56,122,277,N/A,N/A
7/18/23,23:30,Jenny 1,2,3,,A,0.635,73,200,N/A,N/A
7/18/23,23:30,Jenny 1,2,3,,A,0.524,130,273,N/A,N/A
7/18/23,23:30,Jenny 2,1,7,,A,0.538,91,197,N/A,N/A
7/18/23,23:30,Jenny 2,1,7,,A,0.519,113,235,N/A,N/A
7/18/23,23:30,Jenny 2,1,7,,A,0.615,77,200,N/A,N/A
7/18/23,23:30,Jenny 3,3,10,,O,0.526,248,523,N/A,N/A
7/18/23,23:30,Jenny 3,3,10,,O,0.527,296,626,N/A,N/A
7/18/23,23:30,Jenny 3,3,10,,O,0.586,341,824,N/A,N/A
7/18/23,23:30,Jenny 4,4,13,,O,0.469,299,563,N/A,N/A
7/18/23,23:30,Jenny 4,4,13,,O,0.277,433,599,N/A,N/A
