Measurement Name :,7182023,,Generated On :,"18/07/2023, 12:09:27",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,
Start Date/Time:,"18/07/2023, 11:29:03",,,,,,Batch No.:  ,PSt5-2102-01_25°C,,,,,,,,,,,,
End Date/Time:,"18/07/2023, 12:07:11",,,,,,O2_cal0 [°],54.55,,,,,,,,,,,,
User Comment :,0,,Meas. Created By :,admin,,,O2_cal2nd [°],47.62,,,,,,,,,,,,
SDR Serial No. :,S-1054,,,,,,O2_T0 [°C],24.6,,,,,,,,,,,,
Parameter :,Oxygen [[%] Air Saturation],,,,,,O2_T2nd [°C],24.6,,,,,,,,,,,,
,,,,,,,O2_patm [mbar],969,,,,,,,,,,,,
,,,,,,,O2_2nd [% a.s.],100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date/Time,Time/Min.,A4,A5,A6,B2,B3,B4,B5,B6,C2,C3,C4,C5,C6,,Tm [°C],p [mbar],Salinity [g/1000g],T_internal [°C],Error
18.07.23 11:29:05,0.03,126.09,129.08,118.29,73.51,73.21,76.56,121.04,103.83,82.87,76.71,110.82,105.16,132.8,,27,969,36.5,28.65,
18.07.23 11:29:20,0.28,129.43,120.35,130.49,74.12,79.31,70.65,125.21,104.33,91.52,81.17,117.6,103.01,124.34,,27,969,36.5,28.66,
18.07.23 11:29:36,0.55,132.09,127.14,125.04,72.76,85.99,76.86,125.04,104.49,93.76,83.81,111.66,92.48,121.21,,27,969,36.5,28.68,
18.07.23 11:29:51,0.8,128.9,123.64,127.84,85.84,76.71,76.4,122.25,123.47,96.5,79.93,113.52,102.85,126.79,,27,969,36.5,28.69,
18.07.23 11:30:06,1.05,126.09,126.09,122.6,66.62,77.01,70.95,120.87,98.6,91.84,69.9,115.9,102.35,116.92,,27,969,36.5,28.69,
18.07.23 11:30:21,1.3,129.25,123.29,116.75,73.97,70.65,73.36,125.91,103.01,95.85,81.32,117.95,96.01,114.03,,27,969,36.5,28.72,
18.07.23 11:30:36,1.55,124.34,130.31,130.14,83.81,75.64,81.79,126.96,124.86,98.28,76.71,121.04,106.81,125.91,,27,969,36.5,28.72,
18.07.23 11:30:51,1.8,130.49,128.9,140.37,82.1,76.56,80.86,131.2,106.15,97.79,88.35,121.56,100.06,119.83,,27,969,36.5,28.71,
18.07.23 11:31:06,2.05,129.61,122.6,122.43,66.32,84.43,70.35,131.02,114.54,91.52,90.73,118.12,104.66,135.31,,27,969,36.5,28.72,
18.07.23 11:31:21,2.3,120.01,118.46,123.64,78.09,81.01,78.55,125.04,108.98,88.67,91.84,112.34,102.85,127.84,,27,969,36.5,28.72,
18.07.23 11:31:36,2.55,128.9,132.45,124.69,80.08,88.35,70.2,126.61,115.39,86.78,92.8,104.66,106.15,116.41,,27,969,36.5,28.72,
18.07.23 11:31:51,2.8,122.08,124.51,117.95,84.59,79.31,77.78,124.69,121.04,93.6,81.94,117.43,114.2,129.43,,27,969,36.5,28.72,
18.07.23 11:32:06,3.05,131.73,126.09,128.55,69,77.93,72.46,124.34,107.64,89.14,85.05,115.9,99.41,112.34,,27,969,36.5,28.72,
18.07.23 11:32:21,3.3,123.47,130.67,116.58,81.17,70.2,75.64,126.96,111.66,85.99,79.93,108.98,103.67,113.69,,27,969,36.5,28.72,
18.07.23 11:32:36,3.55,122.77,128.19,122.95,75.79,91.21,78.7,129.78,110.65,106.65,77.47,106.98,110.15,131.56,,27,969,36.5,28.72,
18.07.23 11:32:51,3.8,135.85,125.56,122.95,97.3,69.9,83.03,135.85,121.73,93.44,80.39,121.56,105.16,123.12,,27,969,36.5,28.74,
18.07.23 11:33:06,4.05,132.27,127.67,129.96,76.25,84.59,78.85,128.55,108.81,90.89,88.67,111.49,106.81,114.2,,27,969,36.5,28.74,
18.07.23 11:33:21,4.3,133.52,134.41,131.38,75.18,89.78,78.55,119.15,117.09,92.32,79.62,117.26,98.6,132.98,,27,969,36.5,28.74,
18.07.23 11:33:36,4.55,136.75,122.43,119.49,78.09,77.78,81.79,125.04,109.15,95.69,77.63,116.07,102.19,122.77,,27,969,36.5,28.72,
18.07.23 11:33:51,4.8,129.96,128.02,127.14,102.03,82.41,76.86,127.31,118.8,112.34,88.83,122.43,100.39,130.49,,27,969,36.5,28.72,
18.07.23 11:34:06,5.05,118.29,116.41,134.23,64.84,71.7,81.32,115.05,122.08,89.94,84.27,116.92,99.09,113.86,,27,969,36.5,28.72,
18.07.23 11:34:21,5.3,123.82,125.91,123.64,73.82,76.56,83.18,131.73,114.54,99.09,78.7,119.32,102.03,121.91,,27,969,36.5,28.72,
18.07.23 11:34:36,5.55,127.67,134.95,124.16,80.39,82.56,80.08,129.96,105.16,101.37,80.39,116.24,109.31,118.8,,27,969,36.5,28.72,
18.07.23 11:34:51,5.8,129.43,126.61,127.67,81.48,80.24,80.7,125.21,102.85,98.28,97.79,105.16,108.14,117.09,,27,969,36.5,28.72,
18.07.23 11:35:06,6.05,127.31,129.78,126.96,82.1,73.06,79.62,132.27,113.18,92,90.89,110.65,110.65,125.74,,27,969,36.5,28.72,
18.07.23 11:35:21,6.3,139.46,120.01,120.18,74.58,86.15,81.79,122.77,105.16,103.01,82.72,110.32,110.49,115.39,,27,969,36.5,28.72,
18.07.23 11:35:36,6.55,132.09,131.91,129.25,83.34,92.16,87.72,123.12,109.98,94.4,95.37,126.79,120.01,122.77,,27,969,36.5,28.69,
18.07.23 11:35:51,6.8,133.34,121.73,115.73,85.05,77.47,81.94,123.29,113.01,88.51,81.79,105.82,103.01,135.67,,27,969,36.5,28.72,
18.07.23 11:36:06,7.05,141.65,133.34,127.67,74.12,78.7,84.43,130.67,109.82,97.63,82.72,107.81,98.28,122.95,,27,969,36.5,28.71,
18.07.23 11:36:21,7.3,131.02,132.09,126.44,71.55,84.9,79.78,123.47,108.81,95.69,75.18,111.83,117.26,118.8,,27,969,36.5,28.72,
18.07.23 11:36:36,7.55,120.18,127.84,123.82,82.87,70.35,75.18,116.41,111.66,91.84,91.84,111.49,104.16,120.18,,27,969,36.5,28.69,
18.07.23 11:36:51,7.8,138.37,138.55,124.86,75.34,81.01,82.87,131.56,114.37,103.67,82.25,114.03,110.15,123.82,,27,969,36.5,28.68,
18.07.23 11:37:06,8.05,127.84,128.55,115.22,75.64,69,83.49,128.19,104.82,94.24,90.41,113.52,104.82,128.9,,27,969,36.5,28.68,
18.07.23 11:37:21,8.3,129.08,130.67,121.91,86.47,83.81,84.74,120.7,114.03,91.84,85.05,111.49,105.82,128.37,,27,969,36.5,28.68,
18.07.23 11:37:36,8.55,120.7,125.91,133.7,79.01,82.1,83.81,125.56,120.52,96.17,90.57,108.14,110.65,121.73,,27,969,36.5,28.68,
18.07.23 11:37:51,8.8,138.92,129.08,129.61,81.79,82.41,82.87,130.14,116.41,110.65,106.48,120.01,106.31,131.91,,27,969,36.5,28.68,
18.07.23 11:38:06,9.05,120.01,125.56,124.86,86.78,74.58,86.31,125.21,110.99,89.62,99.74,107.31,100.39,129.61,,27,969,36.5,28.68,
18.07.23 11:38:21,9.3,125.39,131.73,127.49,86.78,72.15,84.74,119.15,107.64,87.88,101.21,116.24,99.58,123.12,,27,969,36.5,28.68,
18.07.23 11:38:36,9.55,134.59,129.43,128.37,70.65,74.58,90.09,115.73,103.51,100.88,83.96,117.77,102.35,118.63,,27,969,36.5,28.66,
18.07.23 11:38:51,9.8,133.52,119.15,121.39,80.24,77.47,85.05,130.31,118.97,119.32,99.41,114.88,101.7,119.32,,27,969,36.5,28.65,
18.07.23 11:39:06,10.05,126.61,117.26,115.22,81.48,76.4,81.79,117.77,111.83,85.05,82.41,104.33,106.65,120.18,,27,969,36.5,28.65,
18.07.23 11:39:21,10.3,139.46,132.62,122.43,85.05,80.7,94.88,126.26,119.49,96.33,103.18,115.56,102.35,116.24,,27,969,36.5,28.65,
18.07.23 11:39:36,10.55,138.74,124.34,130.49,79.31,76.1,88.99,122.95,123.29,102.03,108.81,107.31,111.33,124.16,,27,969,36.5,28.65,
18.07.23 11:39:51,10.8,135.85,122.6,123.29,80.7,67.95,98.28,125.21,112.17,98.76,110.32,109.31,96.82,122.6,,27,969,36.5,28.65,
18.07.23 11:40:06,11.05,132.09,116.24,131.56,90.73,84.27,100.88,128.37,111.49,75.49,101.86,118.12,97.95,131.02,,27,969,36.5,28.65,
18.07.23 11:40:21,11.3,128.72,122.6,113.35,72.46,75.03,90.73,113.86,120.35,95.53,83.65,114.88,104.82,138.37,,27,969,36.5,28.64,
18.07.23 11:40:36,11.55,132.8,116.07,115.39,86.31,69.6,98.76,126.44,104.16,101.37,97.14,120.7,102.85,136.93,,27,969,36.5,28.61,
18.07.23 11:40:51,11.8,131.91,137.83,120.01,88.67,80.7,99.09,124.51,108.31,102.85,95.05,116.58,101.37,124.51,,27,969,36.5,28.63,
18.07.23 11:41:06,12.05,128.72,123.47,125.04,83.65,86.15,104,120.52,119.15,109.82,90.25,113.52,104.16,136.39,,27,969,36.5,28.61,
18.07.23 11:41:21,12.3,134.95,122.25,115.22,85.21,82.41,89.46,127.49,112.67,93.76,98.28,121.04,113.86,106.15,,27,969,36.5,28.6,
18.07.23 11:41:36,12.55,130.85,111.83,119.66,85.05,79.78,88.51,122.43,113.35,96.33,102.68,117.09,99.41,129.43,,27,969,36.5,28.58,
18.07.23 11:41:51,12.8,134.95,122.95,126.44,78.09,69.15,91.05,119.66,106.65,99.41,89.78,114.03,100.39,123.99,,27,969,36.5,28.6,
18.07.23 11:42:06,13.05,133.87,129.43,125.74,92.32,85.05,96.66,136.21,118.46,110.49,110.99,116.07,103.18,125.56,,27,969,36.5,28.58,
18.07.23 11:42:21,13.3,131.91,119.49,131.02,78.24,78.7,89.3,123.64,102.35,97.63,88.67,110.49,99.74,117.77,,27,969,36.5,28.57,
18.07.23 11:42:36,13.55,131.91,125.39,123.29,85.99,72.76,94.4,128.72,113.35,109.98,87.41,113.35,102.52,125.74,,27,969,36.5,28.55,
18.07.23 11:42:51,13.8,140.73,132.62,125.56,86.78,77.32,101.21,123.12,110.65,112.51,106.15,112.34,102.85,119.15,,27,969,36.5,28.55,
18.07.23 11:43:06,14.05,127.14,122.77,128.19,89.14,78.24,98.93,119.32,114.37,91.52,83.34,105.98,105.16,113.35,,27,969,36.5,28.54,
18.07.23 11:43:21,14.3,129.25,129.96,117.77,79.01,73.97,93.76,124.51,114.71,100.39,99.41,109.65,100.72,120.01,,27,969,36.5,28.54,
18.07.23 11:43:36,14.55,130.14,128.02,113.01,71.7,68.1,93.12,120.18,113.18,104.66,98.11,110.99,102.52,135.31,,27,969,36.5,28.54,
18.07.23 11:43:51,14.8,127.49,134.23,121.73,81.01,75.64,98.11,128.37,122.6,102.03,106.48,120.52,105.49,134.95,,27,969,36.5,28.53,
18.07.23 11:44:06,15.05,122.95,120.01,124.34,77.47,78.39,92.16,128.72,112,97.63,95.05,102.35,96.98,124.34,,27,969,36.5,28.51,
18.07.23 11:44:21,15.3,125.91,136.03,128.55,93.28,75.64,101.86,131.73,117.43,95.69,89.78,125.56,115.05,134.41,,27,969,36.5,28.51,
18.07.23 11:44:36,15.55,131.91,119.32,121.21,96.33,73.21,94.08,125.21,122.95,103.67,93.6,114.71,105.98,131.73,,27,969,36.5,28.5,
18.07.23 11:44:51,15.8,125.91,122.95,122.25,90.89,72.76,98.6,127.67,114.54,97.14,98.11,104.33,100.23,106.48,,27,969,36.5,28.5,
18.07.23 11:45:06,16.05,134.41,127.49,113.18,77.47,68.4,103.34,133.52,121.56,100.72,104,119.66,101.04,112,,27,969,36.5,28.47,
18.07.23 11:45:21,16.3,129.96,120.18,117.09,96.01,72.46,96.01,123.82,121.04,100.55,122.95,102.52,100.23,130.85,,27,969,36.5,28.47,
18.07.23 11:45:36,16.55,131.91,119.32,120.7,84.27,73.67,105.16,120.87,115.39,110.99,105.49,105.98,102.03,126.09,,27,969,36.5,28.47,
18.07.23 11:45:51,16.8,126.79,127.84,125.04,92.16,80.08,88.51,119.49,131.91,77.63,97.79,103.34,103.67,129.96,,27,969,36.5,28.44,
18.07.23 11:46:06,17.05,113.52,123.64,120.35,69.6,64.84,102.85,114.54,125.04,92.8,102.19,112.34,104.16,127.49,,27,969,36.5,28.44,
18.07.23 11:46:21,17.3,126.44,125.74,117.95,77.01,70.8,106.48,127.14,117.95,97.14,101.04,103.51,94.88,112.51,,27,969,36.5,28.43,
18.07.23 11:46:36,17.55,123.12,122.25,116.07,78.55,73.36,98.93,127.67,115.22,100.55,97.3,106.15,105.82,109.82,,27,969,36.5,28.43,
18.07.23 11:46:51,17.8,120.18,116.75,116.07,90.25,80.86,99.58,121.21,109.98,105.16,96.17,106.48,100.39,117.95,,27,969,36.5,28.41,
18.07.23 11:47:06,18.05,131.2,117.09,120.87,76.1,65.28,97.3,127.49,114.71,103.83,104.66,103.67,96.82,113.18,,27,969,36.5,28.4,
18.07.23 11:47:21,18.3,132.09,128.55,118.97,84.59,67.21,104,118.63,111.83,97.95,84.9,107.98,106.81,121.21,,27,969,36.5,28.4,
18.07.23 11:47:36,18.55,122.77,119.49,117.26,83.96,74.88,102.35,120.01,116.75,109.65,102.03,115.05,102.52,129.25,,27,969,36.5,28.39,
18.07.23 11:47:51,18.8,121.39,131.56,114.03,77.17,75.34,99.25,123.12,119.66,103.83,80.86,122.6,105.49,105.98,,27,969,36.5,28.38,
18.07.23 11:48:06,19.05,129.96,122.25,125.04,91.05,80.39,107.98,124.34,123.47,107.64,99.41,108.31,106.98,121.73,,27,969,36.5,28.39,
18.07.23 11:48:21,19.3,134.59,117.6,113.86,81.01,82.1,106.31,123.82,121.04,114.37,97.95,110.32,107.48,121.04,,27,969,36.5,28.36,
18.07.23 11:48:36,19.55,122.95,127.49,122.6,91.84,64.99,104.82,127.84,122.43,98.44,95.53,122.43,106.48,120.52,,27,969,36.5,28.35,
18.07.23 11:48:51,19.8,117.6,131.56,117.6,69.6,73.97,97.14,130.31,112.84,103.01,97.79,115.22,114.71,112.84,,27,969,36.5,28.33,
18.07.23 11:49:06,20.05,130.14,116.41,118.12,102.85,73.97,108.81,129.08,108.48,99.58,85.84,108.64,104.82,124.51,,27,969,36.5,28.33,
18.07.23 11:49:21,20.3,117.6,136.03,115.05,92.32,77.01,111.33,124.51,117.6,98.28,96.98,109.31,104.33,120.18,,27,969,36.5,28.3,
18.07.23 11:49:36,20.55,130.31,126.61,118.63,98.44,69.9,105.65,127.67,118.12,93.12,108.14,103.01,108.98,134.59,,27,969,36.5,28.3,
18.07.23 11:49:51,20.8,116.07,120.87,131.2,68.1,65.13,122.25,114.37,126.26,88.67,92.64,111.83,109.48,114.37,,27,969,36.5,28.29,
18.07.23 11:50:06,21.05,121.39,120.87,123.47,85.05,69,107.31,129.08,117.43,117.26,99.09,106.65,117.09,119.32,,27,969,36.5,28.28,
18.07.23 11:50:21,21.3,122.95,125.04,112.51,82.72,62.48,102.03,127.67,121.04,116.58,91.68,116.07,109.65,132.8,,27,969,36.5,28.28,
18.07.23 11:50:36,21.55,125.56,127.67,123.12,87.25,76.86,117.6,132.09,116.41,110.82,100.06,115.73,105.98,115.73,,27,969,36.5,28.26,
18.07.23 11:50:51,21.8,131.02,129.25,116.24,77.93,67.95,103.01,116.24,116.58,110.65,89.94,105.32,104.99,120.01,,27,969,36.5,28.26,
18.07.23 11:51:06,22.05,130.14,124.16,119.66,83.03,64.84,114.71,125.74,116.75,113.52,99.9,115.05,108.98,122.43,,27,969,36.5,28.24,
18.07.23 11:51:21,22.3,129.43,125.39,127.14,79.47,72.91,105.49,120.35,121.21,111.33,95.69,114.54,107.81,116.92,,27,969,36.5,28.22,
18.07.23 11:51:36,22.55,129.25,129.61,115.73,99.09,73.21,119.32,116.75,123.29,98.44,131.91,117.95,110.49,111.83,,27,969,36.5,28.21,
18.07.23 11:51:51,22.8,121.91,119.49,115.73,85.84,67.81,103.01,119.66,113.86,107.98,93.44,104.33,104.82,108.48,,27,969,36.5,28.21,
18.07.23 11:52:06,23.05,118.63,123.64,115.39,93.92,63.51,108.98,124.86,125.91,106.15,105.49,107.31,113.52,106.31,,27,969,36.5,28.19,
18.07.23 11:52:21,23.3,125.39,125.91,130.67,96.17,65.73,114.37,122.25,126.09,108.31,102.35,115.9,116.75,120.01,,27,969,36.5,28.19,
18.07.23 11:52:36,23.55,121.91,125.74,123.12,87.57,72.91,104.16,121.21,128.19,110.65,99.74,108.98,109.82,130.67,,27,969,36.5,28.16,
18.07.23 11:52:51,23.8,135.85,122.6,121.21,72.46,79.47,117.43,119.66,115.73,89.78,116.92,98.28,105.65,119.32,,27,969,36.5,28.16,
18.07.23 11:53:06,24.05,133.16,122.95,136.03,72.15,95.37,108.81,121.56,127.14,111.49,91.84,122.6,106.15,118.29,,27,969,36.5,28.15,
18.07.23 11:53:21,24.3,131.38,126.61,122.95,82.72,63.66,117.77,133.52,123.64,120.52,105.49,109.15,108.64,122.95,,27,969,36.5,28.14,
18.07.23 11:53:36,24.55,122.95,113.86,109.31,87.25,70.8,118.29,118.97,111.16,119.83,100.72,105.65,103.34,114.03,,27,969,36.5,28.13,
