"Plot Title: HOBO35"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10334949, SEN S/N: 10334949)","Intensity, Lux (LGR S/N: 10334949, SEN S/N: 10334949)","Coupler Attached (LGR S/N: 10334949)","Host Connected (LGR S/N: 10334949)","Coupler Detached (LGR S/N: 10334949)","Stopped (LGR S/N: 10334949)","End Of File (LGR S/N: 10334949)"
1,07/11/23 07:00:00 AM,27.862,172.2,,,,,
2,07/11/23 07:05:00 AM,27.862,215.3,,,,,
3,07/11/23 07:10:00 AM,27.862,43.1,,,,,
4,07/11/23 07:15:00 AM,27.862,64.6,,,,,
5,07/11/23 07:20:00 AM,27.862,118.4,,,,,
6,07/11/23 07:25:00 AM,27.862,161.5,,,,,
7,07/11/23 07:30:00 AM,27.862,118.4,,,,,
8,07/11/23 07:35:00 AM,27.764,215.3,,,,,
9,07/11/23 07:40:00 AM,27.764,172.2,,,,,
10,07/11/23 07:45:00 AM,27.764,139.9,,,,,
11,07/11/23 07:50:00 AM,27.764,279.9,,,,,
12,07/11/23 07:55:00 AM,27.764,409.0,,,,,
13,07/11/23 08:00:00 AM,27.764,473.6,,,,,
14,07/11/23 08:05:00 AM,27.764,570.5,,,,,
15,07/11/23 08:10:00 AM,27.764,764.2,,,,,
16,07/11/23 08:15:00 AM,27.764,1011.8,,,,,
17,07/11/23 08:20:00 AM,27.862,979.5,,,,,
18,07/11/23 08:25:00 AM,27.862,1356.3,,,,,
19,07/11/23 08:30:00 AM,27.862,1270.1,,,,,
20,07/11/23 08:35:00 AM,27.862,1550.0,,,,,
21,07/11/23 08:40:00 AM,27.862,1377.8,,,,,
22,07/11/23 08:45:00 AM,27.862,1636.1,,,,,
23,07/11/23 08:50:00 AM,27.862,2411.1,,,,,
24,07/11/23 08:55:00 AM,27.961,2669.5,,,,,
25,07/11/23 09:00:00 AM,28.060,3616.7,,,,,
26,07/11/23 09:05:00 AM,28.060,4477.8,,,,,
27,07/11/23 09:10:00 AM,28.159,4822.3,,,,,
