"Plot Title: HOBO36"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 21309779, SEN S/N: 21309779)","Intensity, Lux (LGR S/N: 21309779, SEN S/N: 21309779)","Coupler Detached (LGR S/N: 21309779)","Coupler Attached (LGR S/N: 21309779)","Host Connected (LGR S/N: 21309779)","Stopped (LGR S/N: 21309779)","End Of File (LGR S/N: 21309779)"
1,07/11/23 02:31:07 PM,24.158,0.0,,,,,
2,07/11/23 02:31:13 PM,,,Logged,,,,
3,07/11/23 02:36:07 PM,24.931,5166.7,,,,,
4,07/11/23 02:41:07 PM,29.152,7233.4,,,,,
5,07/11/23 02:46:07 PM,31.064,4822.3,,,,,
6,07/11/23 02:51:07 PM,31.574,34444.7,,,,,
7,07/11/23 02:56:07 PM,31.676,14466.8,,,,,
8,07/11/23 03:01:07 PM,31.676,30311.3,,,,,
9,07/11/23 03:06:07 PM,31.370,31689.1,,,,,
10,07/11/23 03:11:07 PM,31.676,14466.8,,,,,
11,07/11/23 03:16:07 PM,31.472,12400.1,,,,,
12,07/11/23 03:21:07 PM,31.778,18600.1,,,,,
13,07/11/23 03:26:07 PM,31.472,20666.8,,,,,
14,07/11/23 03:31:07 PM,31.268,3272.2,,,,,
15,07/11/23 03:36:07 PM,31.268,7233.4,,,,,
16,07/11/23 03:41:07 PM,31.370,17222.3,,,,,
17,07/11/23 03:46:07 PM,31.472,10677.8,,,,,
18,07/11/23 03:51:07 PM,31.370,5166.7,,,,,
19,07/11/23 03:56:07 PM,31.166,8266.7,,,,,
20,07/11/23 04:01:07 PM,31.370,7233.4,,,,,
21,07/11/23 04:06:07 PM,31.472,9300.1,,,,,
22,07/11/23 04:11:07 PM,31.574,8266.7,,,,,
23,07/11/23 04:16:07 PM,31.676,11022.3,,,,,
24,07/11/23 04:21:07 PM,31.676,9644.5,,,,,
25,07/11/23 04:26:07 PM,31.574,9300.1,,,,,
26,07/11/23 04:31:07 PM,31.370,8611.2,,,,,
27,07/11/23 04:36:07 PM,31.268,8266.7,,,,,
28,07/11/23 04:41:07 PM,31.166,5338.9,,,,,
29,07/11/23 04:46:07 PM,31.166,8266.7,,,,,
30,07/11/23 04:51:07 PM,31.166,7577.8,,,,,
31,07/11/23 04:56:07 PM,31.166,6544.5,,,,,
32,07/11/23 05:01:07 PM,31.166,6200.0,,,,,
