"Plot Title: HOBO20"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058720, SEN S/N: 1058720)","Intensity, Lux (LGR S/N: 1058720, SEN S/N: 1058720)","Coupler Attached (LGR S/N: 1058720)","Host Connected (LGR S/N: 1058720)","Stopped (LGR S/N: 1058720)","End Of File (LGR S/N: 1058720)"
1,07/07/23 12:30:00 PM,29.252,42711.4,,,,
2,07/07/23 12:35:00 PM,29.053,39955.8,,,,
3,07/07/23 12:40:00 PM,28.754,44089.2,,,,
4,07/07/23 12:45:00 PM,28.853,39955.8,,,,
5,07/07/23 12:50:00 PM,28.655,38578.0,,,,
6,07/07/23 12:55:00 PM,28.456,20666.8,,,,
7,07/07/23 01:00:00 PM,28.953,63378.2,,,,
8,07/07/23 01:05:00 PM,28.754,23422.4,,,,
9,07/07/23 01:10:00 PM,28.258,15155.7,,,,
10,07/07/23 01:15:00 PM,28.258,14466.8,,,,
11,07/07/23 01:20:00 PM,28.456,28933.5,,,,
12,07/07/23 01:25:00 PM,28.754,37200.2,,,,
13,07/07/23 01:30:00 PM,28.159,18600.1,,,,
14,07/07/23 01:35:00 PM,27.665,11022.3,,,,
15,07/07/23 01:40:00 PM,28.159,28933.5,,,,
16,07/07/23 01:45:00 PM,28.655,34444.7,,,,
17,07/07/23 01:50:00 PM,28.655,34444.7,,,,
18,07/07/23 01:55:00 PM,28.853,35822.5,,,,
19,07/07/23 02:00:00 PM,28.754,30311.3,,,,
20,07/07/23 02:05:00 PM,28.953,41333.6,,,,
21,07/07/23 02:10:00 PM,29.152,42711.4,,,,
22,07/07/23 02:15:00 PM,28.754,44089.2,,,,
23,07/07/23 02:20:00 PM,28.655,39955.8,,,,
24,07/07/23 02:25:00 PM,28.754,39955.8,,,,
25,07/07/23 02:30:00 PM,28.655,34444.7,,,,
26,07/07/23 02:35:00 PM,28.754,34444.7,,,,
27,07/07/23 02:40:00 PM,28.953,38578.0,,,,
28,07/07/23 02:45:00 PM,28.953,35822.5,,,,
29,07/07/23 02:50:00 PM,28.953,37200.2,,,,
30,07/07/23 02:55:00 PM,28.555,27555.7,,,,
31,07/07/23 03:00:00 PM,28.456,38578.0,,,,
32,07/07/23 03:05:00 PM,28.655,39955.8,,,,
33,07/07/23 03:10:00 PM,28.655,34444.7,,,,
34,07/07/23 03:15:00 PM,28.555,31689.1,,,,
35,07/07/23 03:20:00 PM,28.555,28933.5,,,,
36,07/07/23 03:25:00 PM,28.357,20666.8,,,,
37,07/07/23 03:30:00 PM,28.357,22044.6,,,,
38,07/07/23 03:35:00 PM,28.357,20666.8,,,,
39,07/07/23 03:40:00 PM,28.456,20666.8,,,,
40,07/07/23 03:45:00 PM,28.060,23422.4,,,,
41,07/07/23 03:50:00 PM,28.258,24800.2,,,,
42,07/07/23 03:55:00 PM,28.456,34444.7,,,,
43,07/07/23 04:00:00 PM,28.456,26178.0,,,,
44,07/07/23 04:05:00 PM,28.357,26178.0,,,,
45,07/07/23 04:10:00 PM,28.258,17222.3,,,,
46,07/07/23 04:15:00 PM,28.159,17222.3,,,,
47,07/07/23 04:20:00 PM,28.060,15155.7,,,,
48,07/07/23 04:25:00 PM,28.060,14466.8,,,,
49,07/07/23 04:30:00 PM,28.060,13089.0,,,,
50,07/07/23 04:35:00 PM,28.060,12400.1,,,,
51,07/07/23 04:40:00 PM,28.060,9644.5,,,,
52,07/07/23 04:45:00 PM,27.764,10677.8,,,,
53,07/07/23 04:50:00 PM,27.567,11022.3,,,,
54,07/07/23 04:55:00 PM,27.567,11022.3,,,,
55,07/07/23 05:00:00 PM,27.665,10677.8,,,,
56,07/07/23 05:05:00 PM,27.665,10677.8,,,,
57,07/07/23 05:10:00 PM,27.665,10333.4,,,,
58,07/07/23 05:15:00 PM,27.764,11022.3,,,,
59,07/07/23 05:20:00 PM,27.764,11711.2,,,,
60,07/07/23 05:25:00 PM,27.764,11022.3,,,,
61,07/07/23 05:30:00 PM,27.862,11711.2,,,,
62,07/07/23 05:35:00 PM,27.862,11711.2,,,,
63,07/07/23 05:40:00 PM,27.862,11022.3,,,,
64,07/07/23 05:45:00 PM,27.961,10677.8,,,,
65,07/07/23 05:50:00 PM,27.961,12400.1,,,,
66,07/07/23 05:55:00 PM,29.252,41333.6,,,,
67,07/07/23 06:00:00 PM,28.853,24800.2,,,,
68,07/07/23 06:05:00 PM,28.357,16533.4,,,,
69,07/07/23 06:10:00 PM,27.862,14466.8,,,,
70,07/07/23 06:15:00 PM,27.665,14466.8,,,,
71,07/07/23 06:20:00 PM,28.258,16533.4,,,,
72,07/07/23 06:25:00 PM,27.764,12400.1,,,,
73,07/07/23 06:30:00 PM,28.060,14466.8,,,,
74,07/07/23 06:35:00 PM,27.764,10677.8,,,,
75,07/07/23 06:40:00 PM,27.764,8611.2,,,,
76,07/07/23 06:45:00 PM,27.665,7577.8,,,,
77,07/07/23 06:50:00 PM,27.862,11022.3,,,,
78,07/07/23 06:55:00 PM,28.159,12400.1,,,,
79,07/07/23 07:00:00 PM,27.862,7233.4,,,,
80,07/07/23 07:05:00 PM,27.961,10677.8,,,,
81,07/07/23 07:10:00 PM,27.961,10333.4,,,,
82,07/07/23 07:15:00 PM,27.862,6544.5,,,,
83,07/07/23 07:20:00 PM,27.764,4994.5,,,,
84,07/07/23 07:25:00 PM,27.764,3444.5,,,,
85,07/07/23 07:30:00 PM,27.665,2497.2,,,,
86,07/07/23 07:35:00 PM,27.665,2497.2,,,,
87,07/07/23 07:40:00 PM,27.665,3100.0,,,,
88,07/07/23 07:45:00 PM,27.665,2325.0,,,,
89,07/07/23 07:50:00 PM,27.370,1463.9,,,,
90,07/07/23 07:55:00 PM,27.075,1184.0,,,,
91,07/07/23 08:00:00 PM,27.075,979.5,,,,
92,07/07/23 08:05:00 PM,27.173,893.4,,,,
93,07/07/23 08:10:00 PM,27.173,731.9,,,,
94,07/07/23 08:15:00 PM,27.173,559.7,,,,
95,07/07/23 08:20:00 PM,27.173,344.4,,,,
96,07/07/23 08:25:00 PM,27.173,204.5,,,,
97,07/07/23 08:30:00 PM,27.173,129.2,,,,
98,07/07/23 08:35:00 PM,27.173,64.6,,,,
99,07/07/23 08:40:00 PM,27.173,43.1,,,,
100,07/07/23 08:45:00 PM,27.173,172.2,,,,
101,07/07/23 08:50:00 PM,27.173,193.8,,,,
102,07/07/23 08:55:00 PM,27.272,150.7,,,,
103,07/07/23 09:00:00 PM,27.272,0.0,,,,
104,07/07/23 09:05:00 PM,27.272,0.0,,,,
105,07/07/23 09:10:00 PM,27.272,0.0,,,,
106,07/07/23 09:15:00 PM,27.272,0.0,,,,
107,07/07/23 09:20:00 PM,27.272,0.0,,,,
108,07/07/23 09:25:00 PM,27.370,0.0,,,,
109,07/07/23 09:30:00 PM,27.370,0.0,,,,
110,07/07/23 09:35:00 PM,27.370,0.0,,,,
111,07/07/23 09:40:00 PM,27.370,0.0,,,,
112,07/07/23 09:45:00 PM,27.370,0.0,,,,
113,07/07/23 09:50:00 PM,27.468,0.0,,,,
114,07/07/23 09:55:00 PM,27.468,0.0,,,,
115,07/07/23 10:00:00 PM,27.468,0.0,,,,
116,07/07/23 10:05:00 PM,27.468,0.0,,,,
117,07/07/23 10:10:00 PM,27.468,0.0,,,,
118,07/07/23 10:15:00 PM,27.468,0.0,,,,
119,07/07/23 10:20:00 PM,27.468,0.0,,,,
120,07/07/23 10:25:00 PM,27.468,0.0,,,,
121,07/07/23 10:30:00 PM,27.567,0.0,,,,
122,07/07/23 10:35:00 PM,27.567,0.0,,,,
123,07/07/23 10:40:00 PM,27.567,0.0,,,,
124,07/07/23 10:45:00 PM,27.567,0.0,,,,
125,07/07/23 10:50:00 PM,27.567,0.0,,,,
126,07/07/23 10:55:00 PM,27.567,0.0,,,,
127,07/07/23 11:00:00 PM,26.977,0.0,,,,
128,07/07/23 11:05:00 PM,26.781,0.0,,,,
129,07/07/23 11:10:00 PM,26.879,0.0,,,,
130,07/07/23 11:15:00 PM,26.879,0.0,,,,
131,07/07/23 11:20:00 PM,26.977,0.0,,,,
132,07/07/23 11:25:00 PM,26.977,0.0,,,,
133,07/07/23 11:30:00 PM,26.977,0.0,,,,
134,07/07/23 11:35:00 PM,27.075,0.0,,,,
135,07/07/23 11:40:00 PM,27.075,0.0,,,,
136,07/07/23 11:45:00 PM,27.075,0.0,,,,
137,07/07/23 11:50:00 PM,27.075,0.0,,,,
138,07/07/23 11:55:00 PM,27.173,0.0,,,,
139,07/08/23 12:00:00 AM,27.173,0.0,,,,
140,07/08/23 12:05:00 AM,27.173,0.0,,,,
141,07/08/23 12:10:00 AM,27.173,0.0,,,,
142,07/08/23 12:15:00 AM,27.173,0.0,,,,
143,07/08/23 12:20:00 AM,27.173,0.0,,,,
144,07/08/23 12:25:00 AM,27.272,0.0,,,,
145,07/08/23 12:30:00 AM,27.272,0.0,,,,
146,07/08/23 12:35:00 AM,27.272,0.0,,,,
147,07/08/23 12:40:00 AM,27.272,0.0,,,,
148,07/08/23 12:45:00 AM,27.272,0.0,,,,
149,07/08/23 12:50:00 AM,27.272,0.0,,,,
150,07/08/23 12:55:00 AM,27.272,0.0,,,,
151,07/08/23 01:00:00 AM,27.370,0.0,,,,
152,07/08/23 01:05:00 AM,27.370,0.0,,,,
153,07/08/23 01:10:00 AM,27.370,0.0,,,,
154,07/08/23 01:15:00 AM,27.370,0.0,,,,
155,07/08/23 01:20:00 AM,27.370,0.0,,,,
156,07/08/23 01:25:00 AM,27.370,0.0,,,,
157,07/08/23 01:30:00 AM,27.370,0.0,,,,
158,07/08/23 01:35:00 AM,27.370,0.0,,,,
159,07/08/23 01:40:00 AM,27.370,0.0,,,,
160,07/08/23 01:45:00 AM,27.468,0.0,,,,
161,07/08/23 01:50:00 AM,27.468,0.0,,,,
162,07/08/23 01:55:00 AM,27.468,0.0,,,,
163,07/08/23 02:00:00 AM,27.468,0.0,,,,
164,07/08/23 02:05:00 AM,27.468,0.0,,,,
165,07/08/23 02:10:00 AM,27.468,0.0,,,,
166,07/08/23 02:15:00 AM,27.468,0.0,,,,
167,07/08/23 02:20:00 AM,27.468,0.0,,,,
168,07/08/23 02:25:00 AM,27.468,0.0,,,,
169,07/08/23 02:30:00 AM,27.468,0.0,,,,
170,07/08/23 02:35:00 AM,27.468,0.0,,,,
171,07/08/23 02:40:00 AM,27.567,0.0,,,,
172,07/08/23 02:45:00 AM,27.567,0.0,,,,
173,07/08/23 02:50:00 AM,27.567,0.0,,,,
174,07/08/23 02:55:00 AM,27.567,0.0,,,,
175,07/08/23 03:00:00 AM,27.567,0.0,,,,
176,07/08/23 03:05:00 AM,27.567,0.0,,,,
177,07/08/23 03:10:00 AM,27.567,0.0,,,,
178,07/08/23 03:15:00 AM,27.567,0.0,,,,
179,07/08/23 03:20:00 AM,27.567,0.0,,,,
180,07/08/23 03:25:00 AM,27.567,0.0,,,,
