Measurement Name :,7202023P_run15,,,,,,,,Generated On :,"21/07/2023, 10:21:47",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY",,,,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,
20.07.23 11:06:49,2.1,128,128,128,128,128,128,185.74,186.98,138.83,189.15,215.44,149.6,152.54,159.05,221.93,224.21,128,128,258.72,246.46,228.8,128,128,128,27,969,36.5,27.29,
20.07.23 11:07:04,2.35,127,127,127,127,127,127,179.58,177.14,161.44,182.04,182.35,149.89,148.43,156.97,215.12,253.93,127,127,215.12,249.17,199.8,127,127,127,27,969,36.5,27.35,
20.07.23 11:07:19,2.6,129,129,129,129,129,129,213.83,250.86,190.4,232.1,204.55,192.58,174.39,177.75,250.53,234.09,129,129,229.79,256.66,234.75,129,129,129,27,969,36.5,27.39,
20.07.23 11:07:34,2.85,128,128,128,128,128,128,149.01,180.5,143.17,171.36,178.36,155.2,141.14,153.72,223.56,193.2,128,128,191.64,229.13,186.36,128,128,128,27,969,36.5,27.43,
20.07.23 11:07:49,3.1,130,130,130,130,130,130,200.43,215.12,142.01,193.52,192.89,149.01,168.04,169.24,239.41,214.15,130,130,212.22,227.82,234.75,130,130,130,27,969,36.5,27.47,
20.07.23 11:08:04,3.35,129,129,129,129,129,129,191.96,183.27,138.25,191.02,202.96,160.54,152.24,162.33,216.41,240.42,129,129,222.25,207.42,233.09,129,129,129,27,969,36.5,27.51,
20.07.23 11:08:19,3.6,131,131,131,131,131,131,168.04,201.7,185.12,190.09,222.91,163.53,165.63,167.43,218.68,238.08,131,131,200.12,223.56,195.4,131,131,131,27,969,36.5,27.58,
20.07.23 11:08:34,3.85,130,130,130,130,130,130,199.8,218.35,165.93,214.47,225.52,173.79,153.72,190.4,222.58,248.15,130,130,217.38,225.52,205.19,130,130,130,27,969,36.5,27.61,
20.07.23 11:08:49,4.1,132,132,132,132,132,132,190.09,196.97,165.93,232.43,211.9,175.61,162.33,177.75,226.5,255.98,132,132,183.27,231.11,213.19,132,132,132,27,969,36.5,27.65,
20.07.23 11:09:04,4.35,131,131,131,131,131,131,176.83,185.43,156.68,178.05,186.98,139.41,169.24,159.35,195.71,225.19,131,131,229.79,204.55,196.34,131,131,131,27,969,36.5,27.69,
20.07.23 11:09:19,4.6,133,133,133,133,133,133,171.96,208.38,168.04,191.64,207.1,168.34,211.9,180.5,223.23,237.74,133,133,237.41,226.83,219.33,133,133,133,27,969,36.5,27.75,
20.07.23 11:09:34,4.85,132,132,132,132,132,132,178.05,202.33,181.12,212.54,191.96,162.33,183.58,179.89,229.46,214.15,132,132,204.87,242.09,228.47,132,132,132,27,969,36.5,27.79,
20.07.23 11:09:49,5.1,134,134,134,134,134,134,200.43,173.48,169.24,199.8,215.76,181.73,191.96,183.27,225.19,238.41,134,134,217.38,226.83,188.22,134,134,134,27,969,36.5,27.83,
20.07.23 11:10:04,5.35,133,133,133,133,133,133,182.35,203.28,184.2,198.54,192.89,165.33,162.03,175,220.3,230.45,133,133,222.58,212.86,236.08,133,133,133,27,969,36.5,27.88,
20.07.23 11:10:19,5.6,135,135,135,135,135,135,179.89,196.65,161.73,185.74,191.02,153.13,170.45,184.82,193.52,203.6,135,135,212.54,203.6,215.12,135,135,135,27,969,36.5,27.93,
20.07.23 11:10:34,5.85,134,134,134,134,134,134,191.02,171.66,191.33,198.85,219,166.23,196.97,171.36,249.17,236.41,134,134,208.06,236.41,230.12,134,134,134,27,969,36.5,27.97,
20.07.23 11:10:49,6.1,136,136,136,136,136,136,199.17,200.75,163.53,192.58,210.3,176.83,194.14,190.09,207.42,227.16,136,136,214.8,221.28,227.82,136,136,136,27,969,36.5,28.01,
20.07.23 11:11:03,6.33,135,135,135,135,135,135,218.03,195.08,184.2,191.96,217.7,182.04,188.22,195.4,221.93,234.75,135,135,239.41,228.8,221.93,135,135,135,27,969,36.5,28.05,
20.07.23 11:11:18,6.58,137,137,137,137,137,137,204.23,208.38,186.36,205.19,209.97,182.04,188.22,162.93,207.42,251.2,137,137,237.41,211.58,242.43,137,137,137,27,969,36.5,28.11,
20.07.23 11:11:33,6.83,136,136,136,136,136,136,178.05,186.98,165.63,196.02,185.43,163.83,183.58,179.89,246.46,208.7,136,136,237.41,219.33,224.21,136,136,136,27,969,36.5,28.15,
20.07.23 11:11:48,7.08,138,138,138,138,138,138,204.55,188.84,191.02,193.83,183.89,178.97,202.01,184.51,210.3,234.09,138,138,228.47,224.54,221.6,138,138,138,27,969,36.5,28.18,
20.07.23 11:12:03,7.33,137,137,137,137,137,137,192.58,195.08,174.7,218.35,201.7,188.22,196.97,206.14,231.77,222.91,137,137,218.68,236.08,212.22,137,137,137,27,969,36.5,28.22,
20.07.23 11:12:18,7.58,139,139,139,139,139,139,194.46,196.97,193.52,205.51,205.19,195.71,218.35,206.14,233.76,235.75,139,139,236.08,251.2,240.08,139,139,139,27,969,36.5,28.29,
20.07.23 11:12:33,7.83,138,138,138,138,138,138,174.39,204.87,186.05,184.82,213.19,183.27,207.1,201.7,215.76,217.7,138,138,235.42,222.58,227.82,138,138,138,27,969,36.5,28.33,
20.07.23 11:12:48,8.08,140,140,140,140,140,140,202.65,202.65,209.65,217.06,209.97,190.09,218.68,211.9,227.16,236.75,140,140,234.75,233.09,230.45,140,140,140,27,969,36.5,28.36,
20.07.23 11:13:03,8.33,139,139,139,139,139,139,208.7,188.53,207.1,204.55,199.17,183.58,209.97,190.71,220.95,208.38,139,139,225.85,232.43,225.52,139,139,139,27,969,36.5,28.4,
20.07.23 11:13:18,8.58,141,141,141,141,141,141,198.85,211.9,203.92,205.19,222.58,206.46,203.6,192.89,236.41,221.6,141,141,218.35,229.79,227.82,141,141,141,27,969,36.5,28.44,
20.07.23 11:13:33,8.83,140,140,140,140,140,140,203.92,202.01,199.17,200.75,219.33,197.91,225.85,194.46,231.11,236.08,140,140,230.12,234.75,234.09,140,140,140,27,969,36.5,28.5,
20.07.23 11:13:48,9.08,142,142,142,142,142,142,210.62,207.1,207.74,208.38,217.06,219.65,221.28,231.77,242.09,236.41,142,142,233.43,212.22,234.42,142,142,142,27,969,36.5,28.54,
20.07.23 11:14:03,9.33,141,141,141,141,141,141,206.46,220.63,202.96,205.82,207.42,227.49,238.75,204.23,221.28,221.93,141,141,238.75,227.16,247.14,141,141,141,27,969,36.5,28.58,
20.07.23 11:14:18,9.58,143,143,143,143,143,143,216.73,202.33,225.19,205.51,212.54,217.06,221.93,213.83,229.79,229.79,143,143,210.3,231.11,214.8,143,143,143,27,969,36.5,28.64,
20.07.23 11:14:33,9.83,142,142,142,142,142,142,202.33,208.38,207.1,200.12,202.96,217.06,243.77,207.74,219.98,228.15,142,142,231.44,230.45,217.38,142,142,142,27,969,36.5,28.68,
20.07.23 11:14:48,10.08,144,144,144,144,144,144,196.97,206.78,204.87,203.28,200.43,223.23,211.9,205.82,206.14,221.28,144,144,248.49,205.82,220.95,144,144,144,27,969,36.5,28.71,
20.07.23 11:15:03,10.33,143,143,143,143,143,143,211.9,197.91,221.6,187.6,196.34,222.25,242.09,226.83,222.58,250.86,143,143,224.87,241.76,205.51,143,143,143,27,969,36.5,28.76,
20.07.23 11:15:18,10.58,145,145,145,145,145,145,193.52,193.2,217.06,221.6,225.85,249.85,242.76,233.76,218.68,253.25,145,145,230.12,247.48,215.76,145,145,145,27,969,36.5,28.79,
20.07.23 11:15:33,10.83,144,144,144,144,144,144,222.25,217.38,227.16,198.22,238.08,234.42,235.75,227.16,202.65,236.08,144,144,243.43,237.08,211.58,144,144,144,27,969,36.5,28.85,
20.07.23 11:15:48,11.08,146,146,146,146,146,146,228.8,210.94,226.18,208.38,233.76,233.43,244.78,236.75,239.08,245.12,146,146,243.1,230.12,245.12,146,146,146,27,969,36.5,28.88,
20.07.23 11:16:03,11.33,145,145,145,145,145,145,206.14,198.85,235.42,231.77,230.45,233.43,220.95,203.28,251.2,268.05,145,145,254.61,196.97,212.22,145,145,145,27,969,36.5,28.93,
20.07.23 11:16:18,11.58,147,147,147,147,147,147,202.01,197.6,231.44,209.01,213.51,236.75,256.32,233.76,218.35,216.41,147,147,238.41,223.56,240.42,147,147,147,27,969,36.5,28.97,
20.07.23 11:16:33,11.83,146,146,146,146,146,146,222.58,205.51,246.13,217.38,204.23,242.76,250.53,229.46,231.44,252.91,146,146,238.41,231.11,245.79,146,146,146,27,969,36.5,29.01,
20.07.23 11:16:48,12.08,148,148,148,148,148,148,213.19,198.85,253.25,219.65,221.6,227.16,258.03,240.42,254.27,253.93,148,148,236.08,255.63,226.5,148,148,148,27,969,36.5,29.05,
20.07.23 11:17:03,12.33,147,147,147,147,147,147,206.78,210.62,238.41,208.38,204.87,242.76,239.75,244.11,226.83,218.68,147,147,228.47,213.83,212.86,147,147,147,27,969,36.5,29.1,
20.07.23 11:17:18,12.58,149,149,149,149,149,149,232.1,210.62,241.42,216.41,218.35,234.42,250.86,243.77,242.76,257,149,149,238.41,246.8,235.08,149,149,149,27,969,36.5,29.15,
20.07.23 11:17:33,12.83,148,148,148,148,148,148,228.8,207.1,264.23,209.65,223.23,236.75,255.29,219.65,208.38,229.46,148,148,230.78,224.21,237.41,148,148,148,27,969,36.5,29.18,
20.07.23 11:17:48,13.08,150,150,150,150,150,150,224.54,218.03,247.48,215.76,257.35,259.75,253.59,228.47,243.43,249.51,150,150,263.2,235.75,241.09,150,150,150,27,969,36.5,29.22,
20.07.23 11:18:03,13.33,149,149,149,149,149,149,202.65,204.87,260.44,217.38,208.7,250.53,262.85,217.38,229.46,226.5,149,149,243.43,224.54,232.43,149,149,149,27,969,36.5,29.26,
20.07.23 11:18:18,13.58,151,151,151,151,151,151,215.44,208.38,255.98,209.01,205.19,254.61,272.59,227.49,252.56,242.09,151,151,221.6,241.09,245.45,151,151,151,27,969,36.5,29.29,
20.07.23 11:18:33,13.83,150,150,150,150,150,150,232.76,202.33,259.06,210.94,232.1,262.16,272.59,256.32,247.82,244.78,150,150,249.51,247.14,240.08,150,150,150,27,969,36.5,29.35,
20.07.23 11:18:48,14.08,152,152,152,152,152,152,222.91,219.65,260.78,220.3,241.09,264.93,270.84,261.82,256.32,248.49,152,152,235.42,218.68,243.77,152,152,152,27,969,36.5,29.4,
20.07.23 11:19:03,14.33,151,151,151,151,151,151,225.52,214.47,270.14,222.58,230.12,268.75,271.54,234.42,230.45,218.35,151,151,221.93,233.43,235.08,151,151,151,27,969,36.5,29.43,
20.07.23 11:19:18,14.58,153,153,153,153,153,153,217.7,213.19,271.54,217.06,233.76,277.51,288.17,243.43,238.41,221.6,153,153,217.38,242.76,247.82,153,153,153,27,969,36.5,29.46,
20.07.23 11:19:33,14.83,152,152,152,152,152,152,218.68,219.33,253.59,201.06,225.52,266.66,259.41,251.88,227.49,221.93,152,152,226.5,232.43,242.09,152,152,152,27,969,36.5,29.51,
20.07.23 11:19:48,15.08,154,154,154,154,154,154,232.76,210.94,266.66,213.83,239.75,251.2,262.16,267.7,259.41,218.68,154,154,217.38,226.18,251.2,154,154,154,27,969,36.5,29.54,
20.07.23 11:20:03,15.33,153,153,153,153,153,153,209.97,242.76,296.45,220.63,226.83,257.69,252.91,262.51,269.1,218.35,153,153,228.47,242.43,242.09,153,153,153,27,969,36.5,29.6,
20.07.23 11:20:18,15.58,155,155,155,155,155,155,225.19,205.51,291.03,229.13,236.08,270.84,273.29,265.27,248.49,240.42,155,155,222.58,237.74,235.08,155,155,155,27,969,36.5,29.63,
20.07.23 11:20:33,15.83,154,154,154,154,154,154,246.46,209.65,306.29,213.83,235.42,269.44,292.47,266.66,233.43,242.09,154,154,225.19,222.58,249.51,154,154,154,27,969,36.5,29.66,
20.07.23 11:20:48,16.08,156,156,156,156,156,156,223.89,218.68,281.04,225.85,224.54,267.01,277.51,278.21,230.12,237.41,156,156,236.08,232.43,238.75,156,156,156,27,969,36.5,29.71,
20.07.23 11:21:03,16.33,155,155,155,155,155,155,213.19,230.45,276.8,230.45,231.11,287.81,296.45,275.04,265.62,254.61,155,155,232.1,242.76,247.82,155,155,155,27,969,36.5,29.75,
20.07.23 11:21:18,16.58,157,157,157,157,157,157,210.94,215.76,292.47,226.83,229.46,270.14,299.35,278.57,242.43,245.45,157,157,249.85,239.41,244.78,157,157,157,27,969,36.5,29.79,
20.07.23 11:21:33,16.83,156,156,156,156,156,156,247.48,231.77,284.6,226.5,244.78,273.99,295.36,291.03,249.17,237.74,156,156,248.15,254.61,245.79,156,156,156,27,969,36.5,29.83,
20.07.23 11:21:48,17.08,158,158,158,158,158,158,236.08,231.77,307.39,221.6,242.76,283.88,309.6,288.17,252.91,238.08,158,158,240.42,229.79,257,158,158,158,27,969,36.5,29.88,
20.07.23 11:22:03,17.33,157,157,157,157,157,157,229.79,216.73,300.08,233.76,236.41,260.44,302.26,287.09,219.98,220.95,157,157,234.42,242.43,224.87,157,157,157,27,969,36.5,29.9,
20.07.23 11:22:18,17.58,159,159,159,159,159,159,233.09,231.11,292.47,228.15,254.61,289.96,329.04,269.79,265.97,227.82,159,159,240.08,256.32,237.08,159,159,159,27,969,36.5,29.93,
20.07.23 11:22:33,17.83,158,158,158,158,158,158,236.08,229.13,266.66,221.6,233.43,269.1,301.53,305.19,244.44,249.17,158,158,249.17,246.8,256.32,158,158,158,27,969,36.5,29.99,
20.07.23 11:22:48,18.08,160,160,160,160,160,160,211.58,209.97,279.63,206.78,224.54,276.45,282.46,259.75,229.46,238.75,160,160,239.08,236.41,240.08,160,160,160,27,969,36.5,30.03,
20.07.23 11:23:03,18.33,159,159,159,159,159,159,238.08,219.65,291.03,220.3,231.77,291.39,311.82,291.03,235.08,250.19,159,159,229.79,245.79,236.41,159,159,159,27,969,36.5,30.08,
20.07.23 11:23:18,18.58,161,161,161,161,161,161,220.95,235.42,309.97,230.12,229.13,292.47,294.28,269.44,236.08,239.75,161,161,231.44,231.77,258.72,161,161,161,27,969,36.5,30.11,
20.07.23 11:23:33,18.83,160,160,160,160,160,160,234.75,210.94,295.36,234.75,245.79,269.1,315.9,267.7,218.03,263.2,160,160,233.09,203.92,233.76,160,160,160,27,969,36.5,30.15,
20.07.23 11:23:48,19.08,162,162,162,162,162,162,205.19,214.47,333.98,246.46,273.64,311.45,321.5,316.64,296.81,258.03,162,162,238.41,250.53,260.09,162,162,162,27,969,36.5,30.19,
20.07.23 11:24:03,19.33,161,161,161,161,161,161,246.8,226.83,309.97,219.98,236.75,293.55,317.39,304.82,226.83,238.41,161,161,247.14,242.43,229.79,161,161,161,27,969,36.5,30.22,
20.07.23 11:24:18,19.58,163,163,163,163,163,163,250.86,224.21,295.36,209.97,228.47,277.16,301.53,290.68,239.41,236.08,163,163,235.75,221.6,231.77,163,163,163,27,969,36.5,30.26,
20.07.23 11:24:33,19.83,162,162,162,162,162,162,219.65,240.08,328.66,197.6,248.15,310.34,308.13,309.97,218.68,251.54,162,162,237.08,237.08,238.41,162,162,162,27,969,36.5,30.3,
20.07.23 11:24:48,20.08,164,164,164,164,164,164,237.41,221.93,318.88,240.42,228.47,305.56,333.6,291.03,224.21,227.49,164,164,228.8,253.93,245.45,164,164,164,27,969,36.5,30.33,
20.07.23 11:25:03,20.33,163,163,163,163,163,163,249.51,227.82,343.58,234.42,231.44,321.13,321.5,301.53,245.79,266.66,163,163,244.11,241.76,233.09,163,163,163,27,969,36.5,30.38,
20.07.23 11:25:18,20.58,165,165,165,165,165,165,221.28,234.09,332.84,218.03,231.44,310.34,331.7,300.08,213.19,241.42,165,165,219.33,220.63,235.08,165,165,165,27,969,36.5,30.41,
20.07.23 11:25:33,20.83,164,164,164,164,164,164,244.44,219.65,325.26,218.35,257.69,328.28,317.76,319.26,231.44,231.11,164,164,238.41,244.78,254.61,164,164,164,27,969,36.5,30.46,
20.07.23 11:25:48,21.08,166,166,166,166,166,166,223.23,229.79,327.53,218.35,244.78,325.64,346.68,316.64,220.63,252.22,166,166,264.93,235.08,223.89,166,166,166,27,969,36.5,30.49,
20.07.23 11:26:03,21.33,165,165,165,165,165,165,237.74,241.09,328.28,222.91,233.76,320,295,313.67,247.48,252.56,165,165,242.09,243.77,240.75,165,165,165,27,969,36.5,30.51,
20.07.23 11:26:18,21.58,167,167,167,167,167,167,251.54,239.08,348.62,209.97,232.76,354.09,328.66,302.63,231.44,232.76,167,167,228.47,235.08,245.12,167,167,167,27,969,36.5,30.57,
20.07.23 11:26:33,21.83,166,166,166,166,166,166,248.49,231.44,338.57,214.15,244.44,337.04,341.27,349.4,260.44,265.27,166,166,240.42,228.15,247.14,166,166,166,27,969,36.5,30.61,
20.07.23 11:26:49,22.1,168,168,168,168,168,168,226.83,225.52,337.81,226.18,247.14,332.84,335.51,332.46,242.76,243.1,168,168,247.14,236.75,230.45,168,168,168,27,969,36.5,30.65,
20.07.23 11:27:04,22.35,167,167,167,167,167,167,247.14,248.15,344.74,237.08,253.25,349.01,317.39,318.13,235.75,233.76,167,167,210.62,238.41,252.22,167,167,167,27,969,36.5,30.68,
20.07.23 11:27:19,22.6,169,169,169,169,169,169,252.56,246.46,347.07,255.63,258.38,342.81,352.92,322.25,249.85,265.27,169,169,250.19,231.77,258.38,169,169,169,27,969,36.5,30.72,
20.07.23 11:27:34,22.85,168,168,168,168,168,168,255.98,249.85,348.23,236.75,256.66,396.88,344.36,327.9,224.87,236.75,168,168,268.05,242.09,254.61,168,168,168,27,969,36.5,30.76,
20.07.23 11:27:49,23.1,170,170,170,170,170,170,244.78,217.7,348.23,237.41,248.49,382.48,311.82,329.8,269.44,249.51,170,170,255.29,267.01,235.75,170,170,170,27,969,36.5,30.79,
20.07.23 11:28:04,23.35,169,169,169,169,169,169,231.44,194.46,363.17,218.03,251.88,367.15,351.74,320,234.75,248.83,169,169,250.53,219.98,255.63,169,169,169,27,969,36.5,30.83,
20.07.23 11:28:19,23.6,171,171,171,171,171,171,236.08,238.41,379.22,234.75,250.86,355.66,367.15,342.04,272.59,244.78,171,171,248.15,252.91,231.44,171,171,171,27,969,36.5,30.86,
20.07.23 11:28:34,23.85,170,170,170,170,170,170,228.15,233.43,326.39,215.76,250.19,349.4,323.75,309.97,237.41,241.76,170,170,238.41,212.22,242.76,170,170,170,27,969,36.5,30.9,
20.07.23 11:28:49,24.1,172,172,172,172,172,172,246.13,245.45,344.36,224.21,251.54,342.04,360,318.51,220.63,246.13,172,172,239.41,236.75,259.41,172,172,172,27,969,36.5,30.94,
20.07.23 11:29:04,24.35,171,171,171,171,171,171,251.54,219.98,345.52,209.65,241.09,369.15,336.66,347.07,235.75,249.85,171,171,232.76,241.76,241.09,171,171,171,27,969,36.5,30.99,
20.07.23 11:29:19,24.6,173,173,173,173,173,173,247.14,232.1,347.85,237.74,271.19,369.15,341.65,327.15,257.69,238.41,173,173,244.11,260.44,250.19,173,173,173,27,969,36.5,31.01,
20.07.23 11:29:34,24.85,172,172,172,172,172,172,245.12,253.59,340.11,229.79,255.98,391.5,324.13,335.51,260.09,249.85,172,172,261.13,235.42,252.22,172,172,172,27,969,36.5,31.04,
20.07.23 11:29:49,25.1,174,174,174,174,174,174,275.75,247.14,337.04,237.08,244.11,350.18,377.2,318.88,242.09,260.78,174,174,228.15,246.13,255.63,174,174,174,27,969,36.5,31.1,
20.07.23 11:30:04,25.35,173,173,173,173,173,173,250.53,246.13,349.4,240.42,263.89,369.95,373.97,335.13,229.79,241.09,173,173,256.66,253.59,253.25,173,173,173,27,969,36.5,31.11,
20.07.23 11:30:19,25.6,175,175,175,175,175,175,252.91,226.18,370.75,234.75,278.57,392.74,362.38,347.85,231.44,247.82,175,175,257.69,259.06,247.14,175,175,175,27,969,36.5,31.16,
20.07.23 11:30:34,25.85,174,174,174,174,174,174,231.11,230.78,362.38,238.08,252.56,396.05,367.15,350.18,213.83,234.75,174,174,250.86,235.08,253.25,174,174,174,27,969,36.5,31.18,
20.07.23 11:30:49,26.1,176,176,176,176,176,176,268.05,255.63,358.81,232.1,248.15,399.38,374.77,337.42,243.43,244.44,176,176,251.88,233.43,231.11,176,176,176,27,969,36.5,31.22,
20.07.23 11:31:04,26.35,175,175,175,175,175,175,248.15,239.08,358.81,236.41,256.66,404.82,341.27,360.79,248.49,261.82,175,175,252.91,241.42,242.76,175,175,175,27,969,36.5,31.28,
20.07.23 11:31:19,26.6,177,177,177,177,177,177,246.13,252.22,330.56,233.09,260.44,378.82,341.27,330.56,246.13,244.78,177,177,241.76,239.08,237.74,177,177,177,27,969,36.5,31.29,
20.07.23 11:31:34,26.85,176,176,176,176,176,176,248.15,227.82,365.95,239.75,242.76,374.77,344.74,347.46,281.4,249.17,176,176,243.43,223.56,224.87,176,176,176,27,969,36.5,31.33,
20.07.23 11:31:49,27.1,178,178,178,178,178,178,269.44,261.47,375.58,246.13,271.54,391.91,350.96,375.99,234.09,235.08,178,178,260.09,242.09,269.79,178,178,178,27,969,36.5,31.36,
20.07.23 11:32:04,27.35,177,177,177,177,177,177,265.62,239.41,370.75,249.85,263.2,387.8,396.88,344.74,246.8,281.75,177,177,236.41,235.75,250.19,177,177,177,27,969,36.5,31.4,
20.07.23 11:32:19,27.6,179,179,179,179,179,179,235.42,259.41,402.31,241.09,298.99,392.33,366.35,331.32,246.46,256.32,179,179,248.83,246.46,240.08,179,179,179,27,969,36.5,31.44,
20.07.23 11:32:34,27.85,178,178,178,178,178,178,258.03,256.32,375.58,222.25,274.34,375.58,349.79,345.52,256.66,245.79,178,178,253.25,254.61,236.75,178,178,178,27,969,36.5,31.47,
20.07.23 11:32:49,28.1,180,180,180,180,180,180,258.72,250.53,379.22,247.48,253.25,397.3,400.22,331.32,260.44,265.97,180,180,250.86,249.85,255.29,180,180,180,27,969,36.5,31.51,
20.07.23 11:33:04,28.35,179,179,179,179,179,179,269.1,263.54,380.04,248.15,273.29,414.54,402.31,371.55,251.2,271.19,179,179,249.51,256.32,261.13,179,179,179,27,969,36.5,31.54,
20.07.23 11:33:19,28.6,181,181,181,181,181,181,262.51,248.15,356.84,244.44,279.98,407.77,373.57,323.75,235.75,250.19,181,181,252.22,243.1,256.66,181,181,181,27,969,36.5,31.58,
20.07.23 11:33:34,28.85,180,180,180,180,180,180,255.29,255.29,361.58,218.35,262.85,381.26,333.22,326.77,254.61,245.79,180,180,243.43,236.75,243.1,180,180,180,27,969,36.5,31.61,
20.07.23 11:33:49,29.1,182,182,182,182,182,182,244.78,241.09,371.96,261.82,263.89,409.88,391.5,354.49,230.45,259.75,182,182,267.36,251.2,262.85,182,182,182,27,969,36.5,31.65,
20.07.23 11:34:04,29.35,181,181,181,181,181,181,254.95,230.78,368.75,242.76,245.79,414.97,391.91,358.81,230.78,266.31,181,181,244.44,238.08,255.98,181,181,181,27,969,36.5,31.68,
20.07.23 11:34:19,29.6,183,183,183,183,183,183,258.03,224.87,403.56,249.17,263.54,423.97,367.95,312.93,237.74,247.82,183,183,241.76,231.77,255.29,183,183,183,27,969,36.5,31.71,
20.07.23 11:34:34,29.85,182,182,182,182,182,182,260.78,258.03,373.16,234.42,269.1,415.82,390.68,352.53,264.23,262.51,182,182,245.12,233.09,248.83,182,182,182,27,969,36.5,31.74,
20.07.23 11:34:49,30.1,184,184,184,184,184,184,265.62,258.72,404.4,259.41,275.04,418.38,406.92,365.56,250.86,257,184,184,270.14,228.8,257,184,184,184,27,969,36.5,31.76,
20.07.23 11:35:04,30.35,183,183,183,183,183,183,265.62,264.23,412.84,246.46,270.14,437.88,386.57,362.77,262.85,266.31,183,183,278.21,257.35,260.78,183,183,183,27,969,36.5,31.78,
