Measurement Name :,7202023R_run18,,,,,,,,Generated On :,"20/07/2023, 19:11:10",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,
20.07.23 18:42:29,5.28,116,116,116,116,116,116,278.05,148.76,117.87,223.5,227.2,272.05,250.52,216.16,206.51,207.41,116,116,116,116,116,116,116,116,30,969,36.5,31.51,
20.07.23 18:42:44,5.53,114,114,114,114,114,114,275.38,149.85,117.09,222.58,225.35,271.05,251.8,216.16,206.21,206.81,114,114,114,114,114,114,114,114,30,969,36.5,31.47,
20.07.23 18:42:59,5.78,115,115,115,115,115,115,269.07,140.89,111.66,216.77,223.5,267.42,251.8,214.95,205.91,205.91,115,115,115,115,115,115,115,115,30,969,36.5,31.44,
20.07.23 18:43:14,6.03,113,113,113,113,113,113,268.41,136.59,108.33,215.86,221.05,265.78,250.2,214.95,205.61,206.21,113,113,113,113,113,113,113,113,30,969,36.5,31.43,
20.07.23 18:43:29,6.28,114,114,114,114,114,114,262.83,134.72,109.1,209.51,218.29,266.76,243.81,214.95,205.61,205.91,114,114,114,114,114,114,114,114,30,969,36.5,31.4,
20.07.23 18:43:44,6.53,112,112,112,112,112,112,263.48,133.65,106.54,208.01,216.16,261.19,240.33,214.64,205.01,205.61,112,112,112,112,112,112,112,112,30,969,36.5,31.38,
20.07.23 18:43:59,6.78,113,113,113,113,113,113,264.46,139.27,106.29,206.21,214.04,261.52,244.13,214.95,205.31,206.21,113,113,113,113,113,113,113,113,30,969,36.5,31.35,
20.07.23 18:44:14,7.03,111,111,111,111,111,111,260.22,129.14,107.31,205.01,210.41,257.29,239.07,214.04,204.41,205.61,111,111,111,111,111,111,111,111,30,969,36.5,31.33,
20.07.23 18:44:29,7.28,112,112,112,112,112,112,269.73,126.76,98.69,202.33,208.31,256,238.44,214.04,203.52,205.01,112,112,112,112,112,112,112,112,30,969,36.5,31.33,
20.07.23 18:44:44,7.53,110,110,110,110,110,110,256.64,124.39,96.43,200.25,207.41,255.03,241.28,213.74,204.12,204.41,110,110,110,110,110,110,110,110,30,969,36.5,31.3,
20.07.23 18:44:59,7.78,111,111,111,111,111,111,255.35,123.08,95.93,199.36,205.01,252.45,231.86,213.74,203.82,205.01,111,111,111,111,111,111,111,111,30,969,36.5,31.29,
20.07.23 18:45:14,8.03,109,109,109,109,109,109,247.64,120.99,93.92,198.18,201.44,250.2,231.86,213.74,203.52,204.41,109,109,109,109,109,109,109,109,30,969,36.5,31.28,
20.07.23 18:45:29,8.28,110,110,110,110,110,110,242.55,119.43,92.43,197.59,200.84,250.2,239.38,213.13,203.22,204.71,110,110,110,110,110,110,110,110,30,969,36.5,31.26,
20.07.23 18:45:44,8.53,108,108,108,108,108,108,237.18,117.61,89.69,192.59,199.06,246.68,238.75,213.13,203.82,204.41,108,108,108,108,108,108,108,108,30,969,36.5,31.26,
20.07.23 18:45:59,8.78,109,109,109,109,109,109,244.77,114.76,91.68,191.12,196.7,241.6,226.28,212.83,203.22,204.41,109,109,109,109,109,109,109,109,30,969,36.5,31.26,
20.07.23 18:46:14,9.03,107,107,107,107,107,107,233.11,113.21,85.49,188.5,191.12,240.02,226.89,212.83,203.22,203.52,107,107,107,107,107,107,107,107,30,969,36.5,31.25,
20.07.23 18:46:29,9.28,108,108,108,108,108,108,237.18,112.44,85.98,187.05,188.5,234.36,228.13,212.52,202.92,203.22,108,108,108,108,108,108,108,108,30,969,36.5,31.22,
20.07.23 18:46:44,9.53,106,106,106,106,106,106,226.28,110.89,85.24,185.02,185.6,233.11,236.55,212.83,202.63,204.12,106,106,106,106,106,106,106,106,30,969,36.5,31.22,
20.07.23 18:46:59,9.78,107,107,107,107,107,107,224.73,114.24,81.07,182.42,183.86,232.49,227.51,212.83,203.22,203.82,107,107,107,107,107,107,107,107,30,969,36.5,31.22,
20.07.23 18:47:14,10.03,105,105,105,105,105,105,222.27,109.35,85.74,179.83,181.84,232.8,221.66,212.22,202.33,203.22,105,105,105,105,105,105,105,105,30,969,36.5,31.19,
20.07.23 18:47:29,10.28,106,106,106,106,106,106,223.5,106.8,77.17,177.54,180.98,232.8,228.75,212.83,202.63,203.52,106,106,106,106,106,106,106,106,30,969,36.5,31.18,
20.07.23 18:47:44,10.53,104,104,104,104,104,104,222.89,105.27,75.47,173.83,179.26,230.93,213.13,212.22,202.63,202.92,104,104,104,104,104,104,104,104,30,969,36.5,31.21,
20.07.23 18:47:59,10.78,105,105,105,105,105,105,230.31,104.76,74.02,170.43,177.82,228.75,218.29,212.22,201.73,202.63,105,105,105,105,105,105,105,105,30,969,36.5,31.18,
20.07.23 18:48:14,11.03,103,103,103,103,103,103,222.58,104,73.29,169.02,176.68,225.66,217.38,212.83,202.33,203.22,103,103,103,103,103,103,103,103,30,969,36.5,31.16,
20.07.23 18:48:29,11.28,104,104,104,104,104,104,207.11,103.49,71.61,167.89,174.68,223.81,205.91,211.62,201.14,202.63,104,104,104,104,104,104,104,104,30,969,36.5,31.18,
20.07.23 18:48:44,11.53,102,102,102,102,102,102,209.21,102.98,73.54,169.02,174.4,223.5,204.41,212.22,201.73,202.92,102,102,102,102,102,102,102,102,30,969,36.5,31.18,
20.07.23 18:48:59,11.78,103,103,103,103,103,103,209.21,102.48,72.33,164.52,173.26,218.6,211.32,211.92,201.14,202.63,103,103,103,103,103,103,103,103,30,969,36.5,31.15,
20.07.23 18:49:14,12.03,101,101,101,101,101,101,207.41,100.96,70.88,161.73,171.84,216.16,207.71,211.32,200.84,202.33,101,101,101,101,101,101,101,101,30,969,36.5,31.15,
20.07.23 18:49:29,12.28,102,102,102,102,102,102,208.31,100.71,68.72,161.73,172.98,212.83,214.95,210.71,201.14,202.63,102,102,102,102,102,102,102,102,30,969,36.5,31.15,
20.07.23 18:49:44,12.53,100,100,100,100,100,100,212.22,99.44,64.19,157.28,169.58,213.74,202.33,211.01,201.73,202.33,100,100,100,100,100,100,100,100,30,969,36.5,31.15,
20.07.23 18:49:59,12.78,101,101,101,101,101,101,201.44,98.44,64.19,155.62,161.73,211.32,198.18,210.71,201.44,201.44,101,101,101,101,101,101,101,101,30,969,36.5,31.14,
20.07.23 18:50:14,13.03,99,99,99,99,99,99,190.83,96.68,63.95,153.69,159.22,212.22,197,212.22,201.14,201.73,99,99,99,99,99,99,99,99,30,969,36.5,31.13,
20.07.23 18:50:29,13.28,100,100,100,100,100,100,182.13,93.92,63.71,152.59,157.56,208.31,194.94,211.01,201.14,201.73,100,100,100,100,100,100,100,100,30,969,36.5,31.11,
20.07.23 18:50:44,13.53,98,98,98,98,98,98,178.97,93.17,62.52,152.32,155.07,204.12,202.92,211.32,200.55,201.44,98,98,98,98,98,98,98,98,30,969,36.5,31.11,
20.07.23 18:50:59,13.78,99,99,99,99,99,99,183.86,91.18,63.23,146.3,154.79,201.73,208.01,211.32,199.95,201.44,99,99,99,99,99,99,99,99,30,969,36.5,31.11,
20.07.23 18:51:14,14.03,97,97,97,97,97,97,185.02,90.44,62.76,143.05,152.87,201.14,191.12,211.01,199.95,201.14,97,97,97,97,97,97,97,97,30,969,36.5,31.11,
20.07.23 18:51:29,14.28,98,98,98,98,98,98,197.59,89.44,61.1,140.62,152.87,202.03,196.7,211.01,200.25,201.73,98,98,98,98,98,98,98,98,30,969,36.5,31.1,
20.07.23 18:51:44,14.53,96,96,96,96,96,96,168.45,88.21,61.1,139,146.3,197.59,199.95,209.81,200.55,201.14,96,96,96,96,96,96,96,96,30,969,36.5,31.1,
20.07.23 18:51:59,14.78,97,97,97,97,97,97,165.08,88.21,60.39,136.32,144.4,197.29,196.41,210.71,199.95,201.14,97,97,97,97,97,97,97,97,30,969,36.5,31.08,
20.07.23 18:52:14,15.03,95,95,95,95,95,95,166.76,86.97,58.97,134.45,140.89,195.82,196.11,210.71,200.25,201.14,95,95,95,95,95,95,95,95,30,969,36.5,31.08,
20.07.23 18:52:29,15.28,96,96,96,96,96,96,163.4,85.49,58.5,133.92,138.74,196.11,188.21,210.41,200.25,201.14,96,96,96,96,96,96,96,96,30,969,36.5,31.08,
20.07.23 18:52:44,15.53,94,94,94,94,94,94,160.89,85,59.68,131.52,137.13,191.42,186.76,210.11,199.95,201.14,94,94,94,94,94,94,94,94,30,969,36.5,31.08,
20.07.23 18:52:59,15.78,95,95,95,95,95,95,161.17,83.77,59.21,130.46,138.2,188.79,192.88,210.41,199.95,201.14,95,95,95,95,95,95,95,95,30,969,36.5,31.08,
20.07.23 18:53:14,16.03,93,93,93,93,93,93,159.78,83.28,54.98,128.87,132.05,189.67,184.15,210.41,199.95,201.44,93,93,93,93,93,93,93,93,30,969,36.5,31.08,
20.07.23 18:53:29,16.28,94,94,94,94,94,94,157.28,81.56,54.51,127.29,130.2,188.79,174.12,210.41,199.66,200.55,94,94,94,94,94,94,94,94,30,969,36.5,31.07,
20.07.23 18:53:44,16.53,92,92,92,92,92,92,157.56,81.07,52.87,126.5,127.82,185.6,177.54,209.51,199.66,200.25,92,92,92,92,92,92,92,92,30,969,36.5,31.07,
20.07.23 18:53:59,16.78,93,93,93,93,93,93,165.08,79.6,52.64,125.45,126.23,185.31,178.4,209.81,199.36,200.25,93,93,93,93,93,93,93,93,30,969,36.5,31.07,
20.07.23 18:54:14,17.03,91,91,91,91,91,91,151.77,78.87,52.87,123.35,125.18,184.44,169.02,210.11,199.66,199.95,91,91,91,91,91,91,91,91,30,969,36.5,31.05,
20.07.23 18:54:29,17.28,92,92,92,92,92,92,150.95,77.9,51.24,125.45,124.13,184.73,170.71,210.11,199.66,200.55,92,92,92,92,92,92,92,92,30,969,36.5,31.04,
20.07.23 18:54:44,17.53,90,90,90,90,90,90,151.77,76.2,50.54,121.51,123.35,180.12,167.89,210.71,199.36,200.55,90,90,90,90,90,90,90,90,30,969,36.5,31.07,
20.07.23 18:54:59,17.78,91,91,91,91,91,91,145.22,74.74,49.84,118.39,120.47,179.26,170.43,210.11,199.36,199.66,91,91,91,91,91,91,91,91,30,969,36.5,31.05,
20.07.23 18:55:14,18.03,89,89,89,89,89,89,139.54,73.54,48.45,114.76,118.13,176.68,168.74,209.81,199.06,199.06,89,89,89,89,89,89,89,89,30,969,36.5,31.05,
20.07.23 18:55:29,18.28,90,90,90,90,90,90,133.65,72.33,47.99,113.21,116.57,175.54,164.8,210.41,198.47,199.66,90,90,90,90,90,90,90,90,30,969,36.5,31.05,
20.07.23 18:55:44,18.53,88,88,88,88,88,88,138.74,70.64,47.06,112.95,115.53,174.12,165.36,210.11,198.47,199.95,88,88,88,88,88,88,88,88,30,969,36.5,31.05,
20.07.23 18:55:59,18.78,89,89,89,89,89,89,141.7,70.64,46.83,105.78,114.24,173.26,165.64,209.21,198.77,199.95,89,89,89,89,89,89,89,89,30,969,36.5,31.04,
20.07.23 18:56:14,19.03,87,87,87,87,87,87,152.87,69.2,45.91,102.48,116.05,169.86,166.48,210.41,198.77,199.36,87,87,87,87,87,87,87,87,30,969,36.5,31.04,
20.07.23 18:56:29,19.28,88,88,88,88,88,88,152.32,68.24,45.68,100.45,114.24,168.74,168.74,209.81,198.47,199.95,88,88,88,88,88,88,88,88,30,969,36.5,31.04,
20.07.23 18:56:44,19.53,86,86,86,86,86,86,119.17,68,44.98,98.94,108.33,168.17,160.61,208.91,198.18,199.66,86,86,86,86,86,86,86,86,30,969,36.5,31.04,
20.07.23 18:56:59,19.78,87,87,87,87,87,87,118.65,67.29,44.06,97.18,106.8,166.76,167.61,209.51,197.88,199.06,87,87,87,87,87,87,87,87,30,969,36.5,31.04,
20.07.23 18:57:14,20.03,85,85,85,85,85,85,119.69,66.09,44.52,95.42,105.52,163.4,158.11,208.31,198.18,198.77,85,85,85,85,85,85,85,85,30,969,36.5,31.03,
20.07.23 18:57:29,20.28,86,86,86,86,86,86,119.95,66.09,43.37,94.92,107.82,159.22,153.42,208.31,197.88,199.06,86,86,86,86,86,86,86,86,30,969,36.5,31.04,
20.07.23 18:57:44,20.53,84,84,84,84,84,84,117.35,65.61,42.68,94.42,102.22,157.56,155.62,208.61,198.18,199.36,84,84,84,84,84,84,84,84,30,969,36.5,31.03,
20.07.23 18:57:59,20.78,85,85,85,85,85,85,117.61,64.9,42.45,93.17,100.45,156.17,144.95,208.91,197.88,198.47,85,85,85,85,85,85,85,85,30,969,36.5,31.03,
20.07.23 18:58:14,21.03,83,83,83,83,83,83,117.87,64.9,44.29,92.18,98.69,155.35,153.97,208.91,197.29,199.06,83,83,83,83,83,83,83,83,30,969,36.5,31.01,
20.07.23 18:58:29,21.28,84,84,84,84,84,84,114.76,63.23,45.68,90.93,97.43,156.17,147.94,209.51,197.88,199.36,84,84,84,84,84,84,84,84,30,969,36.5,31.03,
20.07.23 18:58:44,21.53,82,82,82,82,82,82,109.87,62.76,43.14,88.95,96.93,153.97,147.39,208.61,197.29,198.77,82,82,82,82,82,82,82,82,30,969,36.5,31.03,
20.07.23 18:58:59,21.78,83,83,83,83,83,83,107.31,62.29,39.25,88.7,96.68,152.87,152.04,209.21,197.29,198.18,83,83,83,83,83,83,83,83,30,969,36.5,31.01,
20.07.23 18:59:14,22.03,81,81,81,81,81,81,106.54,61.57,38.56,88.7,95.17,152.59,138.2,208.61,197.29,198.47,81,81,81,81,81,81,81,81,30,969,36.5,31.03,
20.07.23 18:59:29,22.28,82,82,82,82,82,82,106.03,61.81,38.56,86.97,94.92,148.48,139.54,208.91,197.59,198.47,82,82,82,82,82,82,82,82,30,969,36.5,31.01,
20.07.23 18:59:44,22.53,80,80,80,80,80,80,105.27,60.39,37.88,85.24,93.42,146.03,140.62,207.71,196.41,198.77,80,80,80,80,80,80,80,80,30,969,36.5,31.01,
20.07.23 18:59:59,22.78,81,81,81,81,81,81,105.01,59.45,36.97,83.03,90.93,144.13,139.27,208.01,196.41,198.18,81,81,81,81,81,81,81,81,30,969,36.5,31.01,
20.07.23 19:00:14,23.03,79,79,79,79,79,79,102.98,58.74,37.2,80.34,89.69,145.22,139,208.31,197,198.18,79,79,79,79,79,79,79,79,30,969,36.5,31.01,
20.07.23 19:00:29,23.28,80,80,80,80,80,80,103.74,58.97,37.65,78.14,88.95,141.97,136.59,207.41,196.7,197.88,80,80,80,80,80,80,80,80,30,969,36.5,31.01,
20.07.23 19:00:44,23.53,78,78,78,78,78,78,100.71,58.03,36.97,75.96,88.21,139,136.59,208.61,197.29,198.18,78,78,78,78,78,78,78,78,30,969,36.5,31.01,
20.07.23 19:00:59,23.78,79,79,79,79,79,79,99.44,56.62,36.06,73.05,87.71,137.93,138.47,208.31,197,198.18,79,79,79,79,79,79,79,79,30,969,36.5,31.01,
20.07.23 19:01:14,24.03,77,77,77,77,77,77,98.44,56.85,36.29,71.85,86.97,137.13,136.32,208.01,196.7,197.59,77,77,77,77,77,77,77,77,30,969,36.5,31.01,
20.07.23 19:01:29,24.28,78,78,78,78,78,78,98.19,56.62,39.25,70.88,86.48,138.47,137.13,208.31,196.41,198.47,78,78,78,78,78,78,78,78,30,969,36.5,31.01,
20.07.23 19:01:44,24.53,76,76,76,76,76,76,97.93,54.98,35.15,70.88,84.26,133.12,129.14,208.31,195.82,197.88,76,76,76,76,76,76,76,76,30,969,36.5,31.01,
20.07.23 19:01:59,24.78,77,77,77,77,77,77,97.93,54.51,34.47,68,83.28,131.52,123.61,208.01,196.7,197.88,77,77,77,77,77,77,77,77,30,969,36.5,31.01,
20.07.23 19:02:14,25.03,75,75,75,75,75,75,103.49,54.04,35.61,66.57,82.79,130.99,127.29,207.71,196.7,197.88,75,75,75,75,75,75,75,75,30,969,36.5,31.01,
20.07.23 19:02:29,25.28,76,76,76,76,76,76,99.19,54.04,34.7,66.09,82.79,132.59,132.32,208.31,196.7,197.88,76,76,76,76,76,76,76,76,30,969,36.5,31.03,
20.07.23 19:02:44,25.53,74,74,74,74,74,74,95.67,53.11,34.02,65.38,81.32,128.34,124.66,208.31,195.82,197.29,74,74,74,74,74,74,74,74,30,969,36.5,31.01,
20.07.23 19:02:59,25.78,75,75,75,75,75,75,84.75,53.34,33.34,64.66,80.58,126.76,120.99,207.71,196.11,197.29,75,75,75,75,75,75,75,75,30,969,36.5,31.01,
20.07.23 19:03:14,26.03,73,73,73,73,73,73,85.24,53.11,34.02,61.34,81.07,128.08,136.05,207.71,196.11,197,73,73,73,73,73,73,73,73,30,969,36.5,31.01,
20.07.23 19:03:29,26.28,74,74,74,74,74,74,78.14,52.87,33.79,60.15,79.85,123.35,132.32,207.11,195.82,197,74,74,74,74,74,74,74,74,30,969,36.5,31.01,
20.07.23 19:03:44,26.53,72,72,72,72,72,72,78.87,52.17,33.57,59.21,79.6,123.61,123.87,205.91,195.23,197.29,72,72,72,72,72,72,72,72,30,969,36.5,31,
20.07.23 19:03:59,26.78,73,73,73,73,73,73,75.47,51.47,33.12,58.74,78.39,123.87,125.45,207.11,196.11,197,73,73,73,73,73,73,73,73,30,969,36.5,31,
20.07.23 19:04:14,27.03,71,71,71,71,71,71,74.99,49.15,33.12,57.8,77.66,120.73,113.72,205.91,195.52,197.29,71,71,71,71,71,71,71,71,30,969,36.5,31,
20.07.23 19:04:29,27.28,72,72,72,72,72,72,75.23,48.45,35.61,57.33,77.17,121.51,108.59,207.71,195.82,196.41,72,72,72,72,72,72,72,72,30,969,36.5,31.01,
20.07.23 19:04:44,27.53,70,70,70,70,70,70,75.96,47.99,35.61,56.85,75.96,118.65,112.44,206.81,195.52,197.29,70,70,70,70,70,70,70,70,30,969,36.5,31.01,
20.07.23 19:04:59,27.78,71,71,71,71,71,71,71.85,47.99,35.38,56.15,73.78,116.31,111.15,207.41,195.82,197.59,71,71,71,71,71,71,71,71,30,969,36.5,31.01,
20.07.23 19:05:14,28.03,69,69,69,69,69,69,71.12,48.22,34.47,55.45,72.81,115.02,106.03,206.21,195.52,197,69,69,69,69,69,69,69,69,30,969,36.5,31.01,
20.07.23 19:05:29,28.28,70,70,70,70,70,70,70.4,45.91,33.79,54.51,71.85,113.21,104.25,206.51,194.94,196.7,70,70,70,70,70,70,70,70,30,969,36.5,31.01,
20.07.23 19:05:44,28.53,68,68,68,68,68,68,70.88,44.75,32.44,53.57,71.61,110.38,103.49,206.81,195.52,197,68,68,68,68,68,68,68,68,30,969,36.5,31.01,
20.07.23 19:05:59,28.78,69,69,69,69,69,69,69.68,44.98,35.38,52.87,70.4,107.56,102.48,207.41,194.94,196.41,69,69,69,69,69,69,69,69,30,969,36.5,31.01,
20.07.23 19:06:14,29.03,67,67,67,67,67,67,68.72,44.29,32.21,54.04,69.68,105.52,100.2,206.51,195.23,196.41,67,67,67,67,67,67,67,67,30,969,36.5,31.01,
20.07.23 19:06:29,29.28,68,68,68,68,68,68,78.39,43.83,33.57,51.71,68.96,103.24,101.72,205.91,194.94,196.7,68,68,68,68,68,68,68,68,30,969,36.5,31,
20.07.23 19:06:44,29.53,66,66,66,66,66,66,72.57,43.83,35.15,51.24,68.48,103.24,97.68,206.21,194.94,196.41,66,66,66,66,66,66,66,66,30,969,36.5,31,
20.07.23 19:06:59,29.78,67,67,67,67,67,67,63.47,43.37,33.34,51.71,68,101.72,107.05,206.21,195.23,196.11,67,67,67,67,67,67,67,67,30,969,36.5,30.99,
20.07.23 19:07:15,30.05,65,65,65,65,65,65,63.95,42.68,33.34,50.77,67.53,99.19,101.46,205.91,194.94,196.11,65,65,65,65,65,65,65,65,30,969,36.5,30.97,
20.07.23 19:07:30,30.3,66,66,66,66,66,66,62.76,42.22,31.54,50.31,67.05,97.18,100.2,205.91,194.64,195.52,66,66,66,66,66,66,66,66,30,969,36.5,30.97,
20.07.23 19:07:45,30.55,64,64,64,64,64,64,63,43.83,32.21,49.38,66.81,96.68,102.98,206.51,194.64,196.11,64,64,64,64,64,64,64,64,30,969,36.5,30.97,
20.07.23 19:08:00,30.8,65,65,65,65,65,65,62.29,43.6,31.76,48.22,65.61,96.43,105.52,205.91,194.35,195.82,65,65,65,65,65,65,65,65,30,969,36.5,30.94,
20.07.23 19:08:15,31.05,63,63,63,63,63,63,62.29,42.22,31.54,47.29,64.9,95.42,96.68,206.21,194.35,195.23,63,63,63,63,63,63,63,63,30,969,36.5,30.94,
20.07.23 19:08:30,31.3,64,64,64,64,64,64,61.57,41.31,31.31,46.37,64.42,93.17,88.95,205.01,193.47,194.64,64,64,64,64,64,64,64,64,30,969,36.5,30.94,
20.07.23 19:08:45,31.55,62,62,62,62,62,62,62.05,41.08,31.54,46.14,64.19,92.93,88.45,204.71,194.05,195.52,62,62,62,62,62,62,62,62,30,969,36.5,30.93,
20.07.23 19:09:00,31.8,63,63,63,63,63,63,62.05,40.16,31.54,47.99,63.47,94.42,86.48,205.01,193.47,194.94,63,63,63,63,63,63,63,63,30,969,36.5,30.9,
20.07.23 19:09:15,32.05,61,61,61,61,61,61,62.52,39.25,31.09,45.21,63,92.18,85.98,204.71,193.76,194.64,61,61,61,61,61,61,61,61,30,969,36.5,30.9,
