Measurement Name :,7202023R_run16,,,,,,,,,Generated On :,"20/07/2023, 15:25:55",,,Calibration details for Oxygen,,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,
20.07.23 14:52:01,5.3,116,116,116,116,116,116,116,53.22,233.76,48.15,208.06,229.79,245.45,243.43,232.1,116,116,116,116,116,116,116,116,116,27,969,36.5,28.85,
20.07.23 14:52:16,5.55,114,114,114,114,114,114,114,53.47,233.09,47.39,205.19,227.49,245.45,243.1,231.11,114,114,114,114,114,114,114,114,114,27,969,36.5,28.83,
20.07.23 14:52:31,5.8,115,115,115,115,115,115,115,50.42,231.77,43.87,205.51,226.5,245.12,242.76,230.78,115,115,115,115,115,115,115,115,115,27,969,36.5,28.8,
20.07.23 14:52:46,6.05,113,113,113,113,113,113,113,51.69,229.46,43.12,201.38,228.15,245.12,242.76,232.1,113,113,113,113,113,113,113,113,113,27,969,36.5,28.79,
20.07.23 14:53:01,6.3,114,114,114,114,114,114,114,49.41,228.8,43.37,198.54,225.19,245.12,242.43,230.45,114,114,114,114,114,114,114,114,114,27,969,36.5,28.76,
20.07.23 14:53:16,6.55,112,112,112,112,112,112,112,48.65,228.15,43.37,197.28,218.68,245.45,242.43,230.45,112,112,112,112,112,112,112,112,112,27,969,36.5,28.74,
20.07.23 14:53:31,6.8,113,113,113,113,113,113,113,48.91,224.87,43.37,193.2,217.06,245.12,242.43,230.12,113,113,113,113,113,113,113,113,113,27,969,36.5,28.72,
20.07.23 14:53:46,7.05,111,111,111,111,111,111,111,47.64,223.89,43.37,191.64,215.44,244.78,242.09,230.45,111,111,111,111,111,111,111,111,111,27,969,36.5,28.69,
20.07.23 14:54:01,7.3,112,112,112,112,112,112,112,47.14,222.91,43.12,196.97,215.44,244.44,241.76,230.45,112,112,112,112,112,112,112,112,112,27,969,36.5,28.68,
20.07.23 14:54:16,7.55,110,110,110,110,110,110,110,47.39,221.6,42.37,191.02,211.58,244.11,242.09,229.79,110,110,110,110,110,110,110,110,110,27,969,36.5,28.66,
20.07.23 14:54:31,7.8,111,111,111,111,111,111,111,48.91,221.93,43.62,190.09,211.26,243.77,240.75,229.79,111,111,111,111,111,111,111,111,111,27,969,36.5,28.65,
20.07.23 14:54:46,8.05,109,109,109,109,109,109,109,45.63,217.38,43.62,187.29,208.06,244.44,241.09,229.79,109,109,109,109,109,109,109,109,109,27,969,36.5,28.64,
20.07.23 14:55:01,8.3,110,110,110,110,110,110,110,46.38,214.8,41.62,178.36,206.78,244.11,241.42,229.79,110,110,110,110,110,110,110,110,110,27,969,36.5,28.64,
20.07.23 14:55:16,8.55,108,108,108,108,108,108,108,46.64,213.51,44.37,178.97,206.14,244.11,241.09,229.79,108,108,108,108,108,108,108,108,108,27,969,36.5,28.64,
20.07.23 14:55:31,8.8,109,109,109,109,109,109,109,46.64,211.58,41.87,174.7,201.38,243.43,241.09,229.13,109,109,109,109,109,109,109,109,109,27,969,36.5,28.61,
20.07.23 14:55:46,9.05,107,107,107,107,107,107,107,43.62,209.33,43.12,174.09,200.75,243.43,241.42,229.46,107,107,107,107,107,107,107,107,107,27,969,36.5,28.61,
20.07.23 14:56:01,9.3,108,108,108,108,108,108,108,43.37,207.74,41.62,169.85,202.33,243.1,241.09,228.47,108,108,108,108,108,108,108,108,108,27,969,36.5,28.6,
20.07.23 14:56:16,9.55,106,106,106,106,106,106,106,42.62,205.82,43.62,162.03,193.52,243.1,241.09,229.13,106,106,106,106,106,106,106,106,106,27,969,36.5,28.58,
20.07.23 14:56:31,9.8,107,107,107,107,107,107,107,42.62,204.23,41.37,161.14,196.97,242.76,240.42,227.49,107,107,107,107,107,107,107,107,107,27,969,36.5,28.57,
20.07.23 14:56:46,10.05,105,105,105,105,105,105,105,44.37,201.06,42.12,164.73,191.33,242.76,240.42,227.82,105,105,105,105,105,105,105,105,105,27,969,36.5,28.55,
20.07.23 14:57:01,10.3,106,106,106,106,106,106,106,42.12,198.54,42.37,159.95,186.98,242.76,240.08,228.15,106,106,106,106,106,106,106,106,106,27,969,36.5,28.55,
20.07.23 14:57:16,10.55,104,104,104,104,104,104,104,42.12,194.14,42.87,152.54,185.74,243.1,240.75,228.47,104,104,104,104,104,104,104,104,104,27,969,36.5,28.54,
20.07.23 14:57:31,10.8,105,105,105,105,105,105,105,41.62,192.89,41.12,162.63,183.58,242.76,240.08,228.15,105,105,105,105,105,105,105,105,105,27,969,36.5,28.54,
20.07.23 14:57:46,11.05,103,103,103,103,103,103,103,41.37,189.46,42.87,147.55,180.81,242.76,240.42,227.82,103,103,103,103,103,103,103,103,103,27,969,36.5,28.54,
20.07.23 14:58:01,11.3,104,104,104,104,104,104,104,40.62,183.58,43.37,156.68,182.96,242.76,239.75,227.82,104,104,104,104,104,104,104,104,104,27,969,36.5,28.54,
20.07.23 14:58:16,11.55,102,102,102,102,102,102,102,40.62,181.43,44.37,146.38,177.75,243.1,240.75,228.47,102,102,102,102,102,102,102,102,102,27,969,36.5,28.53,
20.07.23 14:58:31,11.8,103,103,103,103,103,103,103,41.37,180.81,45.13,144.34,173.48,242.76,239.75,227.82,103,103,103,103,103,103,103,103,103,27,969,36.5,28.51,
20.07.23 14:58:46,12.05,101,101,101,101,101,101,101,41.37,181.12,41.37,138.83,171.66,243.1,240.75,228.15,101,101,101,101,101,101,101,101,101,27,969,36.5,28.51,
20.07.23 14:59:01,12.3,102,102,102,102,102,102,102,41.12,178.67,41.12,138.83,172.87,242.76,239.75,227.82,102,102,102,102,102,102,102,102,102,27,969,36.5,28.51,
20.07.23 14:59:16,12.55,100,100,100,100,100,100,100,40.62,177.75,41.12,134.8,169.24,242.76,239.41,227.49,100,100,100,100,100,100,100,100,100,27,969,36.5,28.51,
20.07.23 14:59:31,12.8,101,101,101,101,101,101,101,40.37,177.14,42.62,134.22,167.73,242.76,239.08,226.83,101,101,101,101,101,101,101,101,101,27,969,36.5,28.5,
20.07.23 14:59:46,13.05,99,99,99,99,99,99,99,39.87,171.66,40.37,142.88,170.75,242.43,239.75,226.5,99,99,99,99,99,99,99,99,99,27,969,36.5,28.5,
20.07.23 15:00:01,13.3,100,100,100,100,100,100,100,40.37,169.85,40.62,129.36,162.63,242.43,239.41,226.83,100,100,100,100,100,100,100,100,100,27,969,36.5,28.49,
20.07.23 15:00:16,13.55,98,98,98,98,98,98,98,42.62,166.23,40.62,125.67,161.44,242.43,239.41,226.83,98,98,98,98,98,98,98,98,98,27,969,36.5,28.47,
20.07.23 15:00:31,13.8,99,99,99,99,99,99,99,40.12,165.03,40.87,128.23,161.44,242.09,238.75,227.16,99,99,99,99,99,99,99,99,99,27,969,36.5,28.47,
20.07.23 15:00:46,14.05,97,97,97,97,97,97,97,40.12,162.93,40.62,124.82,159.65,241.76,239.41,226.83,97,97,97,97,97,97,97,97,97,27,969,36.5,28.47,
20.07.23 15:01:01,14.3,98,98,98,98,98,98,98,39.62,160.84,40.12,126.81,158.75,242.09,239.41,225.85,98,98,98,98,98,98,98,98,98,27,969,36.5,28.47,
20.07.23 15:01:16,14.55,96,96,96,96,96,96,96,40.37,158.46,40.37,120.31,156.97,241.76,238.41,226.5,96,96,96,96,96,96,96,96,96,27,969,36.5,28.46,
20.07.23 15:01:31,14.8,97,97,97,97,97,97,97,40.12,158.46,40.37,115.27,155.79,242.09,239.41,226.83,97,97,97,97,97,97,97,97,97,27,969,36.5,28.46,
20.07.23 15:01:46,15.05,95,95,95,95,95,95,95,40.12,156.97,40.62,114.71,153.13,242.09,239.08,226.5,95,95,95,95,95,95,95,95,95,27,969,36.5,28.44,
20.07.23 15:02:01,15.3,96,96,96,96,96,96,96,41.37,154.9,40.37,109.44,154.01,241.42,239.08,225.52,96,96,96,96,96,96,96,96,96,27,969,36.5,28.43,
20.07.23 15:02:16,15.55,94,94,94,94,94,94,94,39.87,152.54,41.37,109.99,156.68,241.76,238.75,225.85,94,94,94,94,94,94,94,94,94,27,969,36.5,28.41,
20.07.23 15:02:31,15.8,95,95,95,95,95,95,95,38.62,149.01,40.12,110.27,150.48,241.09,238.08,225.85,95,95,95,95,95,95,95,95,95,27,969,36.5,28.4,
20.07.23 15:02:46,16.05,93,93,93,93,93,93,93,39.37,146.96,40.62,102.29,147.26,241.09,238.08,225.85,93,93,93,93,93,93,93,93,93,27,969,36.5,28.4,
20.07.23 15:03:01,16.3,94,94,94,94,94,94,94,38.62,145.5,40.62,101.19,144.92,240.42,238.75,225.85,94,94,94,94,94,94,94,94,94,27,969,36.5,28.38,
20.07.23 15:03:16,16.55,92,92,92,92,92,92,92,39.12,141.43,39.87,108.61,145.21,241.42,238.41,224.87,92,92,92,92,92,92,92,92,92,27,969,36.5,28.36,
20.07.23 15:03:31,16.8,93,93,93,93,93,93,93,38.12,139.7,40.12,97.11,137.67,240.75,238.08,225.19,93,93,93,93,93,93,93,93,93,27,969,36.5,28.33,
20.07.23 15:03:46,17.05,91,91,91,91,91,91,91,38.12,142.88,40.62,97.92,135.08,240.75,237.08,225.19,91,91,91,91,91,91,91,91,91,27,969,36.5,28.32,
20.07.23 15:04:01,17.3,92,92,92,92,92,92,92,37.63,146.67,41.12,93.32,135.08,240.08,237.74,224.87,92,92,92,92,92,92,92,92,92,27,969,36.5,28.29,
20.07.23 15:04:16,17.55,90,90,90,90,90,90,90,37.88,139.41,40.62,99.01,144.34,239.75,236.41,223.89,90,90,90,90,90,90,90,90,90,27,969,36.5,28.29,
20.07.23 15:04:31,17.8,91,91,91,91,91,91,91,37.38,134.8,39.87,91.43,134.51,239.75,237.08,223.89,91,91,91,91,91,91,91,91,91,27,969,36.5,28.26,
20.07.23 15:04:46,18.05,89,89,89,89,89,89,89,38.37,133.36,40.12,91.16,129.36,239.75,237.41,224.21,89,89,89,89,89,89,89,89,89,27,969,36.5,28.26,
20.07.23 15:05:01,18.3,90,90,90,90,90,90,90,39.37,126.24,39.87,91.43,121.44,239.75,238.08,223.89,90,90,90,90,90,90,90,90,90,27,969,36.5,28.25,
20.07.23 15:05:16,18.55,88,88,88,88,88,88,88,40.12,124.54,40.12,87.67,114.16,239.08,236.41,223.89,88,88,88,88,88,88,88,88,88,27,969,36.5,28.22,
20.07.23 15:05:31,18.8,89,89,89,89,89,89,89,38.62,123.97,39.87,83.4,110.82,240.08,237.41,223.56,89,89,89,89,89,89,89,89,89,27,969,36.5,28.22,
20.07.23 15:05:46,19.05,87,87,87,87,87,87,87,37.13,122.85,40.12,85.26,107.78,239.41,237.08,223.89,87,87,87,87,87,87,87,87,87,27,969,36.5,28.22,
20.07.23 15:06:01,19.3,88,88,88,88,88,88,88,37.38,120.59,43.12,81.27,109.44,239.08,236.75,222.91,88,88,88,88,88,88,88,88,88,27,969,36.5,28.19,
20.07.23 15:06:16,19.55,86,86,86,86,86,86,86,37.88,120.31,42.62,80.48,101.47,239.41,236.75,223.56,86,86,86,86,86,86,86,86,86,27,969,36.5,28.19,
20.07.23 15:06:31,19.8,87,87,87,87,87,87,87,37.13,119.19,39.37,79.68,106.4,239.41,236.75,223.23,87,87,87,87,87,87,87,87,87,27,969,36.5,28.19,
20.07.23 15:06:46,20.05,85,85,85,85,85,85,85,36.63,113.88,40.87,78.89,104.2,238.75,236.08,222.58,85,85,85,85,85,85,85,85,85,27,969,36.5,28.18,
20.07.23 15:07:01,20.3,86,86,86,86,86,86,86,36.63,111.1,42.12,77.57,103.38,239.41,236.75,222.58,86,86,86,86,86,86,86,86,86,27,969,36.5,28.16,
20.07.23 15:07:16,20.55,84,84,84,84,84,84,84,37.88,109.99,39.62,78.89,105.58,238.41,236.41,222.91,84,84,84,84,84,84,84,84,84,27,969,36.5,28.15,
20.07.23 15:07:31,20.8,85,85,85,85,85,85,85,36.88,110.55,39.37,74.67,102.01,238.75,236.41,223.23,85,85,85,85,85,85,85,85,85,27,969,36.5,28.15,
20.07.23 15:07:46,21.05,83,83,83,83,83,83,83,36.63,108.89,39.87,72.57,94.94,238.75,235.75,222.91,83,83,83,83,83,83,83,83,83,27,969,36.5,28.15,
20.07.23 15:08:01,21.3,84,84,84,84,84,84,84,36.88,109.44,41.62,73.1,89.01,239.08,235.42,221.93,84,84,84,84,84,84,84,84,84,27,969,36.5,28.14,
20.07.23 15:08:16,21.55,82,82,82,82,82,82,82,36.88,106.68,41.12,71.27,87.4,239.08,236.08,222.91,82,82,82,82,82,82,82,82,82,27,969,36.5,28.14,
20.07.23 15:08:31,21.8,83,83,83,83,83,83,83,36.38,111.93,40.87,73.89,86.87,238.41,235.75,221.93,83,83,83,83,83,83,83,83,83,27,969,36.5,28.15,
20.07.23 15:08:46,22.05,81,81,81,81,81,81,81,37.88,111.1,40.87,70.74,92.24,238.75,236.08,222.91,81,81,81,81,81,81,81,81,81,27,969,36.5,28.11,
20.07.23 15:09:01,22.3,82,82,82,82,82,82,82,38.87,101.74,40.62,71.01,97.38,238.75,236.41,222.91,82,82,82,82,82,82,82,82,82,27,969,36.5,28.13,
20.07.23 15:09:16,22.55,80,80,80,80,80,80,80,40.12,101.19,41.37,66.84,94.67,238.41,236.08,221.93,80,80,80,80,80,80,80,80,80,27,969,36.5,28.14,
20.07.23 15:09:31,22.8,81,81,81,81,81,81,81,36.88,97.65,39.87,70.74,85.26,238.41,235.75,221.93,81,81,81,81,81,81,81,81,81,27,969,36.5,28.11,
20.07.23 15:09:46,23.05,79,79,79,79,79,79,79,36.63,99.01,39.87,68.66,89.55,238.75,235.42,221.6,79,79,79,79,79,79,79,79,79,27,969,36.5,28.11,
20.07.23 15:10:01,23.3,80,80,80,80,80,80,80,36.38,97.11,40.62,64.51,74.67,238.41,236.08,221.28,80,80,80,80,80,80,80,80,80,27,969,36.5,28.11,
20.07.23 15:10:16,23.55,78,78,78,78,78,78,78,35.89,97.92,41.62,63.73,72.84,238.41,235.75,221.6,78,78,78,78,78,78,78,78,78,27,969,36.5,28.11,
20.07.23 15:10:31,23.8,79,79,79,79,79,79,79,36.38,93.59,41.12,62.18,74.94,238.75,235.75,221.6,79,79,79,79,79,79,79,79,79,27,969,36.5,28.11,
20.07.23 15:10:46,24.05,77,77,77,77,77,77,77,39.37,93.86,41.37,62.44,72.84,238.75,236.08,221.28,77,77,77,77,77,77,77,77,77,27,969,36.5,28.11,
20.07.23 15:11:01,24.3,78,78,78,78,78,78,78,35.89,91.7,42.37,62.44,70.48,238.08,235.42,221.93,78,78,78,78,78,78,78,78,78,27,969,36.5,28.11,
20.07.23 15:11:16,24.55,76,76,76,76,76,76,76,35.89,90.89,41.62,60.38,71.01,238.75,235.08,222.58,76,76,76,76,76,76,76,76,76,27,969,36.5,28.1,
20.07.23 15:11:31,24.8,77,77,77,77,77,77,77,37.38,91.7,41.87,60.38,72.57,237.74,235.08,221.28,77,77,77,77,77,77,77,77,77,27,969,36.5,28.1,
20.07.23 15:11:46,25.05,75,75,75,75,75,75,75,37.63,85.53,41.12,59.86,76.78,238.08,235.08,220.63,75,75,75,75,75,75,75,75,75,27,969,36.5,28.08,
20.07.23 15:12:01,25.3,76,76,76,76,76,76,76,38.87,86.6,42.37,59.61,74.15,238.41,234.75,220.95,76,76,76,76,76,76,76,76,76,27,969,36.5,28.1,
20.07.23 15:12:16,25.55,74,74,74,74,74,74,74,39.87,84.73,41.87,59.35,73.62,237.74,234.09,220.63,74,74,74,74,74,74,74,74,74,27,969,36.5,28.08,
20.07.23 15:12:31,25.8,75,75,75,75,75,75,75,41.62,82.33,41.12,66.84,72.05,237.41,235.08,220.63,75,75,75,75,75,75,75,75,75,27,969,36.5,28.07,
20.07.23 15:12:46,26.05,73,73,73,73,73,73,73,35.39,81.27,43.37,56.53,67.62,237.41,234.09,220.63,73,73,73,73,73,73,73,73,73,27,969,36.5,28.05,
20.07.23 15:13:01,26.3,74,74,74,74,74,74,74,38.12,79.42,41.12,55.77,67.88,237.08,234.75,220.63,74,74,74,74,74,74,74,74,74,27,969,36.5,28.04,
20.07.23 15:13:16,26.55,72,72,72,72,72,72,72,36.63,82.07,43.12,56.53,66.84,237.74,235.08,220.95,72,72,72,72,72,72,72,72,72,27,969,36.5,28.03,
20.07.23 15:13:31,26.8,73,73,73,73,73,73,73,35.15,79.15,43.37,58.07,65.02,236.41,234.75,219.98,73,73,73,73,73,73,73,73,73,27,969,36.5,28.01,
20.07.23 15:13:46,27.05,71,71,71,71,71,71,71,36.38,75.99,44.37,55.26,64.76,237.41,234.75,220.3,71,71,71,71,71,71,71,71,71,27,969,36.5,28,
20.07.23 15:14:01,27.3,72,72,72,72,72,72,72,38.12,73.36,42.12,56.53,65.54,236.75,233.43,220.3,72,72,72,72,72,72,72,72,72,27,969,36.5,27.99,
20.07.23 15:14:16,27.55,70,70,70,70,70,70,70,37.13,69.96,43.37,53.98,66.06,236.75,233.76,219.98,70,70,70,70,70,70,70,70,70,27,969,36.5,27.97,
20.07.23 15:14:31,27.8,71,71,71,71,71,71,71,35.39,70.48,43.12,53.73,64.76,236.75,234.42,219,71,71,71,71,71,71,71,71,71,27,969,36.5,27.94,
20.07.23 15:14:46,28.05,69,69,69,69,69,69,69,35.89,69.18,41.12,53.47,64.51,236.41,233.43,219.33,69,69,69,69,69,69,69,69,69,27,969,36.5,27.96,
20.07.23 15:15:01,28.3,70,70,70,70,70,70,70,34.9,69.18,40.62,53.22,61.92,236.41,234.42,219.98,70,70,70,70,70,70,70,70,70,27,969,36.5,27.93,
20.07.23 15:15:16,28.55,68,68,68,68,68,68,68,35.39,68.14,41.87,52.71,59.86,236.41,234.42,219.65,68,68,68,68,68,68,68,68,68,27,969,36.5,27.93,
20.07.23 15:15:31,28.8,69,69,69,69,69,69,69,34.9,67.36,46.38,52.96,61.67,235.75,233.76,219.33,69,69,69,69,69,69,69,69,69,27,969,36.5,27.93,
20.07.23 15:15:46,29.05,67,67,67,67,67,67,67,34.65,66.32,45.13,52.45,58.33,236.41,234.42,219.33,67,67,67,67,67,67,67,67,67,27,969,36.5,27.93,
20.07.23 15:16:01,29.3,68,68,68,68,68,68,68,35.15,60.89,45.88,51.95,55.26,236.41,233.76,219.33,68,68,68,68,68,68,68,68,68,27,969,36.5,27.91,
20.07.23 15:16:16,29.55,66,66,66,66,66,66,66,35.39,62.18,43.62,51.19,55.26,236.08,233.09,219,66,66,66,66,66,66,66,66,66,27,969,36.5,27.9,
20.07.23 15:16:31,29.8,67,67,67,67,67,67,67,35.39,62.7,43.62,51.19,54.75,235.08,233.76,219,67,67,67,67,67,67,67,67,67,27,969,36.5,27.9,
20.07.23 15:16:46,30.05,65,65,65,65,65,65,65,35.39,59.09,44.12,50.68,56.02,236.08,233.09,219,65,65,65,65,65,65,65,65,65,27,969,36.5,27.9,
20.07.23 15:17:01,30.3,66,66,66,66,66,66,66,34.9,61.92,44.62,50.17,66.84,236.08,232.76,218.68,66,66,66,66,66,66,66,66,66,27,969,36.5,27.89,
20.07.23 15:17:16,30.55,64,64,64,64,64,64,64,34.9,61.41,45.38,49.41,53.22,235.42,233.43,219.33,64,64,64,64,64,64,64,64,64,27,969,36.5,27.9,
20.07.23 15:17:31,30.8,65,65,65,65,65,65,65,34.65,60.12,45.13,49.67,52.45,235.42,233.43,218.35,65,65,65,65,65,65,65,65,65,27,969,36.5,27.88,
20.07.23 15:17:46,31.05,63,63,63,63,63,63,63,36.88,58.84,46.64,49.41,53.73,235.42,233.09,218.68,63,63,63,63,63,63,63,63,63,27,969,36.5,27.89,
20.07.23 15:18:01,31.3,64,64,64,64,64,64,64,37.13,56.02,50.17,49.67,52.2,235.42,233.09,218.03,64,64,64,64,64,64,64,64,64,27,969,36.5,27.88,
20.07.23 15:18:16,31.55,62,62,62,62,62,62,62,35.15,57.81,44.37,48.65,51.69,235.42,232.43,217.7,62,62,62,62,62,62,62,62,62,27,969,36.5,27.88,
20.07.23 15:18:31,31.8,63,63,63,63,63,63,63,37.63,53.22,47.39,48.65,52.45,235.75,232.76,217.38,63,63,63,63,63,63,63,63,63,27,969,36.5,27.86,
20.07.23 15:18:46,32.05,61,61,61,61,61,61,61,37.63,53.22,47.39,48.91,54.49,235.42,233.43,218.03,61,61,61,61,61,61,61,61,61,27,969,36.5,27.86,
20.07.23 15:19:01,32.3,62,62,62,62,62,62,62,36.88,52.45,47.14,48.15,55,235.08,232.76,217.7,62,62,62,62,62,62,62,62,62,27,969,36.5,27.85,
20.07.23 15:19:16,32.55,60,60,60,60,60,60,60,39.87,51.44,44.87,48.91,51.69,235.08,232.76,218.35,60,60,60,60,60,60,60,60,60,27,969,36.5,27.86,
20.07.23 15:19:31,32.8,61,61,61,61,61,61,61,35.64,50.93,41.87,48.91,50.42,235.42,232.76,217.06,61,61,61,61,61,61,61,61,61,27,969,36.5,27.85,
20.07.23 15:19:46,33.05,59,59,59,59,59,59,59,34.9,50.68,43.12,47.9,49.41,235.08,232.1,217.7,59,59,59,59,59,59,59,59,59,27,969,36.5,27.86,
20.07.23 15:20:01,33.3,60,60,60,60,60,60,60,34.16,48.91,44.62,47.64,49.41,235.08,232.1,217.38,60,60,60,60,60,60,60,60,60,27,969,36.5,27.86,
