Measurement Name :,7192023RR,,,,,,,Generated On :,"19/07/2023, 13:22:27",,,,Calibration details for Oxygen,,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,
19.07.23 12:46:37,8.78,109,109,61.41,109,109,109,69.18,82.6,37.38,109,52.96,40.87,45.88,45.88,109,50.42,41.62,109,213.83,224.87,223.23,212.22,109,109,27,969,36.5,27.96,
19.07.23 12:46:52,9.03,107,107,61.41,107,107,107,69.7,87.13,39.37,107,51.95,39.87,49.41,44.62,107,48.4,37.88,107,214.47,223.23,222.58,211.58,107,107,27,969,36.5,27.93,
19.07.23 12:47:07,9.28,108,108,49.16,108,108,108,65.02,79.42,37.88,108,41.37,43.37,46.64,47.9,108,46.38,41.62,108,213.51,225.19,221.93,211.26,108,108,27,969,36.5,27.93,
19.07.23 12:47:22,9.53,106,106,49.16,106,106,106,65.28,86.87,39.12,106,41.37,42.87,48.15,40.87,106,45.63,40.37,106,213.19,223.89,221.28,210.3,106,106,27,969,36.5,27.9,
19.07.23 12:47:37,9.78,107,107,49.67,107,107,107,64.76,87.13,35.89,107,41.12,41.87,48.4,39.87,107,45.88,40.87,107,213.51,225.19,220.95,209.33,107,107,27,969,36.5,27.9,
19.07.23 12:47:52,10.03,105,105,49.92,105,105,105,64.76,79.95,33.17,105,40.37,42.62,48.91,42.62,105,45.63,40.12,105,212.86,225.19,221.28,210.3,105,105,27,969,36.5,27.89,
19.07.23 12:48:07,10.28,106,106,49.41,106,106,106,62.96,76.51,34.9,106,41.12,41.37,47.64,44.62,106,45.13,40.37,106,213.51,223.23,222.25,210.94,106,106,27,969,36.5,27.86,
19.07.23 12:48:23,10.55,104,104,50.68,104,104,104,65.28,77.83,36.88,104,39.62,42.87,47.14,47.39,104,44.37,37.88,104,212.86,221.93,222.58,210.62,104,104,27,969,36.5,27.86,
19.07.23 12:48:38,10.8,105,105,46.64,105,105,105,63.47,75.46,31.93,105,40.87,42.87,44.12,49.67,105,51.19,39.37,105,212.54,223.23,220.95,210.62,105,105,27,969,36.5,27.83,
19.07.23 12:48:53,11.05,103,103,46.13,103,103,103,62.7,74.67,31.93,103,41.12,42.62,45.13,46.89,103,48.65,42.37,103,212.54,222.91,221.6,209.97,103,103,27,969,36.5,27.82,
19.07.23 12:49:08,11.3,104,104,53.98,104,104,104,62.7,73.62,36.63,104,40.37,43.87,45.13,49.41,104,48.4,38.87,104,211.26,222.58,220.95,210.62,104,104,27,969,36.5,27.82,
19.07.23 12:49:23,11.55,102,102,52.71,102,102,102,61.15,74.94,43.12,102,41.37,43.37,48.15,43.62,102,46.89,38.37,102,213.83,221.93,220.95,209.01,102,102,27,969,36.5,27.79,
19.07.23 12:49:38,11.8,103,103,48.65,103,103,103,61.15,70.48,35.15,103,40.37,43.12,47.14,41.37,103,45.63,40.87,103,212.54,222.91,220.3,210.3,103,103,27,969,36.5,27.78,
19.07.23 12:49:53,12.05,101,101,60.12,101,101,101,60.64,70.48,38.12,101,41.12,42.87,43.37,45.63,101,46.38,42.37,101,212.22,222.25,220.63,209.33,101,101,27,969,36.5,27.78,
19.07.23 12:50:08,12.3,102,102,68.66,102,102,102,65.28,68.66,41.12,102,48.65,40.62,45.13,50.68,102,46.38,45.38,102,212.54,222.91,220.63,209.33,102,102,27,969,36.5,27.76,
19.07.23 12:50:23,12.55,100,100,56.79,100,100,100,63.99,67.88,33.91,100,47.64,39.87,46.13,36.88,100,47.14,42.87,100,212.86,222.91,220.63,210.3,100,100,27,969,36.5,27.76,
19.07.23 12:50:38,12.8,101,101,55.26,101,101,101,62.7,71.53,34.65,101,40.37,44.62,42.62,42.12,101,47.14,41.62,101,211.58,221.28,219.65,209.01,101,101,27,969,36.5,27.72,
19.07.23 12:50:53,13.05,99,99,49.67,99,99,99,58.33,65.28,32.18,99,40.37,40.12,42.12,42.62,99,46.38,41.12,99,212.54,221.28,221.28,209.33,99,99,27,969,36.5,27.72,
19.07.23 12:51:08,13.3,100,100,46.13,100,100,100,58.07,65.54,33.17,100,39.87,38.87,41.87,37.63,100,45.38,41.37,100,212.22,221.93,220.63,208.38,100,100,27,969,36.5,27.72,
19.07.23 12:51:23,13.55,98,98,44.62,98,98,98,59.61,65.02,32.18,98,41.37,46.38,47.14,37.13,98,44.37,41.87,98,212.54,221.6,220.95,208.7,98,98,27,969,36.5,27.71,
19.07.23 12:51:38,13.8,99,99,45.13,99,99,99,57.3,64.76,39.62,99,40.12,43.87,43.62,36.63,99,45.38,46.13,99,212.22,220.95,220.3,208.38,99,99,27,969,36.5,27.68,
19.07.23 12:51:53,14.05,97,97,44.62,97,97,97,57.56,64.51,34.9,97,39.37,44.62,46.13,38.12,97,47.64,43.87,97,211.9,221.6,219.98,208.7,97,97,27,969,36.5,27.68,
19.07.23 12:52:08,14.3,98,98,58.58,98,98,98,58.33,64.25,30.46,98,40.12,45.13,45.13,37.63,98,47.14,44.87,98,210.62,220.3,220.3,207.74,98,98,27,969,36.5,27.66,
19.07.23 12:52:23,14.55,96,96,51.69,96,96,96,57.3,67.62,32.43,96,40.12,45.63,42.87,38.62,96,49.16,39.37,96,211.26,221.28,220.3,208.7,96,96,27,969,36.5,27.65,
19.07.23 12:52:38,14.8,97,97,44.12,97,97,97,62.7,65.28,38.87,97,39.37,45.88,46.13,38.12,97,40.87,40.37,97,210.3,221.6,220.3,207.42,97,97,27,969,36.5,27.65,
19.07.23 12:52:53,15.05,95,95,43.62,95,95,95,57.81,61.92,30.21,95,40.12,45.13,43.12,38.62,95,40.62,41.37,95,212.54,221.6,219.33,207.42,95,95,27,969,36.5,27.63,
19.07.23 12:53:08,15.3,96,96,43.87,96,96,96,58.84,60.64,29.72,96,39.62,45.63,46.38,42.87,96,39.87,39.87,96,211.26,220.3,219.33,206.46,96,96,27,969,36.5,27.61,
19.07.23 12:53:23,15.55,94,94,47.39,94,94,94,53.73,62.18,30.21,94,39.62,45.38,43.12,41.62,94,38.87,39.62,94,210.3,220.3,219.33,207.74,94,94,27,969,36.5,27.63,
19.07.23 12:53:38,15.8,95,95,51.95,95,95,95,52.96,59.61,30.7,95,40.12,48.4,45.88,37.63,95,38.62,37.13,95,209.97,219.98,218.35,207.1,95,95,27,969,36.5,27.6,
19.07.23 12:53:53,16.05,93,93,43.37,93,93,93,56.02,60.12,31.19,93,39.37,46.13,47.64,37.63,93,39.62,37.38,93,210.3,219,218.68,207.1,93,93,27,969,36.5,27.58,
19.07.23 12:54:08,16.3,94,94,44.87,94,94,94,57.56,59.61,36.14,94,39.12,47.39,44.37,40.62,94,39.37,37.38,94,211.9,220.3,219.65,207.74,94,94,27,969,36.5,27.58,
19.07.23 12:54:23,16.55,92,92,51.19,92,92,92,63.21,58.33,31.44,92,40.87,46.64,43.62,39.62,92,39.87,37.38,92,210.94,221.28,218.68,206.46,92,92,27,969,36.5,27.55,
19.07.23 12:54:38,16.8,93,93,46.89,93,93,93,53.98,57.3,33.17,93,39.87,47.64,43.37,38.12,93,40.12,37.38,93,211.9,220.63,218.35,207.1,93,93,27,969,36.5,27.55,
19.07.23 12:54:53,17.05,91,91,51.95,91,91,91,49.67,60.12,30.21,91,40.12,45.13,43.12,37.38,91,38.12,36.63,91,210.3,219.33,219,206.14,91,91,27,969,36.5,27.54,
19.07.23 12:55:08,17.3,92,92,49.92,92,92,92,50.68,56.02,30.46,92,39.62,45.38,44.12,37.88,92,38.87,35.64,92,212.22,219.98,219,206.78,92,92,27,969,36.5,27.54,
19.07.23 12:55:23,17.55,90,90,46.38,90,90,90,49.92,56.28,29.23,90,39.37,44.37,45.38,37.13,90,38.87,36.63,90,209.01,218.68,217.06,205.51,90,90,27,969,36.5,27.54,
19.07.23 12:55:38,17.8,91,91,43.62,91,91,91,51.95,55,31.19,91,40.12,43.37,44.62,37.13,91,39.87,35.64,91,210.94,219.98,218.68,205.19,91,91,27,969,36.5,27.53,
19.07.23 12:55:53,18.05,89,89,47.64,89,89,89,55,54.75,29.47,89,38.87,43.12,48.65,37.13,89,38.62,41.12,89,211.26,219.33,218.35,206.46,89,89,27,969,36.5,27.51,
19.07.23 12:56:08,18.3,90,90,47.14,90,90,90,48.15,52.71,30.95,90,38.87,47.64,43.87,36.38,90,38.37,41.87,90,210.3,218.35,218.35,206.14,90,90,27,969,36.5,27.51,
19.07.23 12:56:23,18.55,88,88,49.67,88,88,88,48.91,55,33.17,88,40.12,50.93,45.63,36.63,88,39.12,43.37,88,209.33,218.68,217.06,206.46,88,88,27,969,36.5,27.51,
19.07.23 12:56:38,18.8,89,89,46.38,89,89,89,48.15,53.22,37.63,89,39.87,41.87,44.12,37.63,89,38.62,39.87,89,210.94,218.68,218.03,204.87,89,89,27,969,36.5,27.5,
19.07.23 12:56:53,19.05,87,87,42.87,87,87,87,47.64,49.16,31.93,87,39.12,43.87,42.87,37.38,87,39.37,35.89,87,209.33,218.68,218.03,206.46,87,87,27,969,36.5,27.47,
19.07.23 12:57:08,19.3,88,88,48.65,88,88,88,48.4,48.65,36.14,88,39.37,43.12,44.12,35.89,88,38.37,36.14,88,209.65,219.33,217.38,204.55,88,88,27,969,36.5,27.47,
19.07.23 12:57:23,19.55,86,86,52.96,86,86,86,52.71,46.89,33.91,86,38.87,43.12,49.67,36.88,86,39.37,39.62,86,208.7,217.38,216.73,206.14,86,86,27,969,36.5,27.44,
19.07.23 12:57:38,19.8,87,87,51.19,87,87,87,48.4,47.14,36.88,87,39.62,49.92,49.92,36.38,87,36.88,38.12,87,210.62,219.33,218.03,204.87,87,87,27,969,36.5,27.46,
19.07.23 12:57:53,20.05,85,85,47.14,85,85,85,47.9,49.41,36.14,85,38.62,49.16,43.37,36.38,85,38.12,38.87,85,209.97,218.35,216.41,204.87,85,85,27,969,36.5,27.44,
19.07.23 12:58:08,20.3,86,86,43.37,86,86,86,47.9,51.44,31.93,86,38.87,50.68,45.38,36.14,86,37.38,37.88,86,210.3,218.35,218.68,206.14,86,86,27,969,36.5,27.43,
19.07.23 12:58:23,20.55,84,84,46.38,84,84,84,46.38,45.63,29.96,84,39.37,45.88,45.38,36.38,84,38.37,36.63,84,209.97,218.03,217.06,205.19,84,84,27,969,36.5,27.43,
19.07.23 12:58:38,20.8,85,85,49.41,85,85,85,46.38,46.89,34.4,85,38.87,42.62,43.62,37.63,85,38.62,42.37,85,209.01,217.7,217.7,205.19,85,85,27,969,36.5,27.41,
19.07.23 12:58:53,21.05,83,83,47.9,83,83,83,46.89,45.63,31.44,83,39.62,38.37,45.88,36.63,83,38.62,35.64,83,209.97,218.68,216.73,203.28,83,83,27,969,36.5,27.41,
19.07.23 12:59:08,21.3,84,84,53.98,84,84,84,46.13,50.42,42.87,84,39.62,40.62,44.62,36.14,84,38.62,38.87,84,211.58,217.7,216.41,204.55,84,84,27,969,36.5,27.4,
19.07.23 12:59:23,21.55,82,82,47.9,82,82,82,45.88,44.37,37.38,82,39.12,39.62,45.63,37.63,82,37.38,35.89,82,210.3,218.35,217.7,205.82,82,82,27,969,36.5,27.39,
19.07.23 12:59:38,21.8,83,83,46.38,83,83,83,46.64,43.12,40.12,83,40.37,40.62,43.62,37.63,83,37.63,37.38,83,208.06,217.7,216.73,205.51,83,83,27,969,36.5,27.39,
19.07.23 12:59:53,22.05,81,81,45.13,81,81,81,45.63,46.64,35.89,81,39.12,40.37,45.38,38.87,81,40.62,41.62,81,210.3,217.7,217.06,204.55,81,81,27,969,36.5,27.39,
19.07.23 13:00:08,22.3,82,82,49.67,82,82,82,45.88,42.37,33.41,82,39.62,40.12,45.88,39.87,82,38.87,38.62,82,209.01,217.38,216.41,205.51,82,82,27,969,36.5,27.36,
19.07.23 13:00:23,22.55,80,80,46.89,80,80,80,45.38,48.4,34.16,80,39.62,39.87,43.12,39.62,80,37.38,38.62,80,209.01,219,216.73,203.28,80,80,27,969,36.5,27.38,
19.07.23 13:00:38,22.8,81,81,45.13,81,81,81,44.87,42.37,37.13,81,37.88,39.12,44.12,44.87,81,36.63,36.38,81,208.38,217.38,216.41,204.87,81,81,27,969,36.5,27.36,
19.07.23 13:00:53,23.05,79,79,46.64,79,79,79,44.62,42.37,31.44,79,38.62,39.37,46.89,37.63,79,35.89,38.12,79,209.97,216.73,216.73,204.55,79,79,27,969,36.5,27.35,
19.07.23 13:01:08,23.3,80,80,45.63,80,80,80,43.37,41.62,31.69,80,38.87,41.12,46.38,37.88,80,40.37,37.38,80,208.7,216.41,216.09,202.96,80,80,27,969,36.5,27.35,
19.07.23 13:01:23,23.55,78,78,45.63,78,78,78,44.62,41.62,31.44,78,37.88,40.12,46.89,41.37,78,37.13,35.89,78,209.01,217.38,216.09,204.23,78,78,27,969,36.5,27.33,
19.07.23 13:01:38,23.8,79,79,45.38,79,79,79,45.88,41.62,33.91,79,38.37,39.37,44.12,36.88,79,36.38,36.63,79,209.65,217.7,216.09,203.92,79,79,27,969,36.5,27.33,
19.07.23 13:01:53,24.05,77,77,48.15,77,77,77,44.12,41.12,34.4,77,39.37,39.12,42.12,38.37,77,38.12,36.38,77,208.7,216.41,216.41,204.55,77,77,27,969,36.5,27.33,
19.07.23 13:02:08,24.3,78,78,47.64,78,78,78,44.37,42.62,29.96,78,39.12,41.12,42.62,37.13,78,38.12,34.9,78,209.33,217.38,216.09,203.28,78,78,27,969,36.5,27.32,
19.07.23 13:02:23,24.55,76,76,44.62,76,76,76,43.87,45.13,29.47,76,39.37,40.12,43.62,38.62,76,36.88,36.38,76,209.33,216.41,216.09,203.28,76,76,27,969,36.5,27.33,
19.07.23 13:02:38,24.8,77,77,47.14,77,77,77,43.62,39.87,32.43,77,38.62,41.87,49.41,35.89,77,37.13,38.62,77,209.65,216.41,215.76,204.23,77,77,27,969,36.5,27.29,
19.07.23 13:02:53,25.05,75,75,44.87,75,75,75,44.37,40.37,37.88,75,38.87,44.87,46.13,36.14,75,36.63,38.12,75,209.33,215.76,216.09,202.96,75,75,27,969,36.5,27.29,
19.07.23 13:03:08,25.3,76,76,43.37,76,76,76,46.89,39.37,34.4,76,39.12,49.67,47.9,36.88,76,37.13,36.88,76,206.46,215.76,215.12,203.92,76,76,27,969,36.5,27.29,
19.07.23 13:03:23,25.55,74,74,45.88,74,74,74,47.39,39.87,35.89,74,38.87,48.91,45.88,41.12,74,37.63,35.39,74,209.65,215.76,215.12,201.7,74,74,27,969,36.5,27.29,
19.07.23 13:03:38,25.8,75,75,44.37,75,75,75,43.12,39.12,32.18,75,39.87,49.16,45.38,37.13,75,36.14,35.15,75,208.7,216.73,215.76,203.6,75,75,27,969,36.5,27.29,
19.07.23 13:03:53,26.05,73,73,44.62,73,73,73,44.12,38.87,28.49,73,40.12,48.91,44.62,35.15,73,36.63,37.63,73,209.65,215.76,216.41,202.65,73,73,27,969,36.5,27.26,
19.07.23 13:04:08,26.3,74,74,49.67,74,74,74,43.87,38.87,28.98,74,39.62,49.16,44.87,39.12,74,36.14,37.88,74,209.65,216.73,216.09,202.33,74,74,27,969,36.5,27.26,
19.07.23 13:04:23,26.55,72,72,54.24,72,72,72,45.63,39.12,30.46,72,40.12,49.67,43.12,38.87,72,38.62,38.37,72,208.7,217.06,216.09,204.23,72,72,27,969,36.5,27.26,
19.07.23 13:04:38,26.8,73,73,51.95,73,73,73,43.87,38.87,33.41,73,39.87,48.15,45.88,41.62,73,37.13,40.87,73,209.01,216.41,216.73,202.96,73,73,27,969,36.5,27.26,
19.07.23 13:04:53,27.05,71,71,44.87,71,71,71,44.37,42.87,30.21,71,38.87,46.89,46.13,38.12,71,38.62,39.12,71,208.7,216.41,215.76,202.01,71,71,27,969,36.5,27.25,
19.07.23 13:05:08,27.3,72,72,46.13,72,72,72,43.12,38.37,29.72,72,39.37,46.64,47.64,39.12,72,35.89,40.87,72,209.01,215.44,215.76,202.33,72,72,27,969,36.5,27.24,
19.07.23 13:05:23,27.55,70,70,49.41,70,70,70,43.62,37.38,32.18,70,40.37,46.13,50.17,39.12,70,37.13,37.63,70,209.33,216.73,215.76,202.96,70,70,27,969,36.5,27.22,
19.07.23 13:05:38,27.8,71,71,47.14,71,71,71,45.38,37.88,32.43,71,40.37,43.37,44.87,37.38,71,37.63,37.38,71,207.74,216.09,216.41,201.7,71,71,27,969,36.5,27.24,
19.07.23 13:05:53,28.05,69,69,49.92,69,69,69,44.62,37.13,32.43,69,39.87,42.62,43.87,38.37,69,38.62,38.87,69,209.33,214.15,214.15,202.01,69,69,27,969,36.5,27.22,
19.07.23 13:06:08,28.3,70,70,43.87,70,70,70,46.89,37.13,27.02,70,40.62,42.87,49.41,40.12,70,37.38,41.12,70,207.1,216.09,214.8,201.06,70,70,27,969,36.5,27.22,
19.07.23 13:06:23,28.55,68,68,54.75,68,68,68,42.37,37.13,31.69,68,41.12,47.14,41.12,36.63,68,37.88,40.62,68,207.74,215.76,214.15,201.38,68,68,27,969,36.5,27.21,
19.07.23 13:06:38,28.8,69,69,55.77,69,69,69,42.37,37.13,33.66,69,41.37,41.62,45.38,39.37,69,35.64,41.12,69,208.38,215.44,214.15,202.01,69,69,27,969,36.5,27.22,
19.07.23 13:06:53,29.05,67,67,53.22,67,67,67,42.62,37.63,30.7,67,38.62,41.87,41.12,35.39,67,36.38,37.63,67,207.42,215.76,215.44,202.01,67,67,27,969,36.5,27.21,
19.07.23 13:07:08,29.3,68,68,46.89,68,68,68,42.12,37.13,36.38,68,37.63,40.87,45.63,37.88,68,35.15,40.12,68,208.7,215.12,214.47,201.7,68,68,27,969,36.5,27.19,
19.07.23 13:07:23,29.55,66,66,51.69,66,66,66,44.87,36.14,28.25,66,38.37,39.37,45.88,34.65,66,35.64,38.12,66,207.74,216.09,215.12,199.49,66,66,27,969,36.5,27.19,
