"Plot Title: HOBO3"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058716, SEN S/N: 1058716)","Intensity, Lux (LGR S/N: 1058716, SEN S/N: 1058716)","Coupler Detached (LGR S/N: 1058716)","Coupler Attached (LGR S/N: 1058716)","Host Connected (LGR S/N: 1058716)","Stopped (LGR S/N: 1058716)","End Of File (LGR S/N: 1058716)"
1,06/28/23 03:03:10 PM,22.812,32.3,,,,,
2,06/28/23 03:03:13 PM,,,Logged,,,,
3,06/28/23 03:08:10 PM,23.581,785.8,,,,,
4,06/28/23 03:13:10 PM,23.581,172.2,,,,,
5,06/28/23 03:18:10 PM,25.222,5166.7,,,,,
6,06/28/23 03:23:10 PM,27.272,5166.7,,,,,
7,06/28/23 03:28:10 PM,28.357,4822.3,,,,,
8,06/28/23 03:33:10 PM,29.152,4650.0,,,,,
9,06/28/23 03:38:10 PM,29.452,5166.7,,,,,
10,06/28/23 03:43:10 PM,29.352,3272.2,,,,,
11,06/28/23 03:48:10 PM,29.152,2066.7,,,,,
12,06/28/23 03:53:10 PM,29.053,2927.8,,,,,
13,06/28/23 03:58:10 PM,29.252,3100.0,,,,,
14,06/28/23 04:03:10 PM,29.552,3100.0,,,,,
15,06/28/23 04:08:10 PM,29.652,2669.5,,,,,
16,06/28/23 04:13:10 PM,30.760,13089.0,,,,,
17,06/28/23 04:18:10 PM,31.268,13777.9,,,,,
18,06/28/23 04:23:10 PM,31.268,11711.2,,,,,
19,06/28/23 04:28:10 PM,31.166,10677.8,,,,,
20,06/28/23 04:33:10 PM,31.166,10677.8,,,,,
21,06/28/23 04:38:10 PM,31.064,9644.5,,,,,
22,06/28/23 04:43:10 PM,30.963,9300.1,,,,,
23,06/28/23 04:48:10 PM,30.862,8266.7,,,,,
24,06/28/23 04:53:10 PM,30.963,7577.8,,,,,
25,06/28/23 04:58:10 PM,30.963,6544.5,,,,,
26,06/28/23 05:03:10 PM,30.862,7233.4,,,,,
27,06/28/23 05:08:10 PM,30.862,6200.0,,,,,
28,06/28/23 05:13:10 PM,30.760,7233.4,,,,,
29,06/28/23 05:18:10 PM,30.760,6200.0,,,,,
30,06/28/23 05:23:10 PM,30.862,6200.0,,,,,
31,06/28/23 05:28:10 PM,30.862,6200.0,,,,,
32,06/28/23 05:33:10 PM,30.760,5511.1,,,,,
33,06/28/23 05:38:10 PM,30.760,5511.1,,,,,
34,06/28/23 05:43:10 PM,30.862,5166.7,,,,,
35,06/28/23 05:48:10 PM,30.760,3444.5,,,,,
36,06/28/23 05:53:10 PM,30.760,5511.1,,,,,
37,06/28/23 05:58:10 PM,30.760,5166.7,,,,,
38,06/28/23 06:03:10 PM,30.862,5166.7,,,,,
39,06/28/23 06:08:10 PM,30.760,4650.0,,,,,
40,06/28/23 06:13:10 PM,30.659,1636.1,,,,,
41,06/28/23 06:18:10 PM,30.760,4305.6,,,,,
42,06/28/23 06:23:10 PM,30.659,3961.1,,,,,
43,06/28/23 06:28:10 PM,30.659,3961.1,,,,,
44,06/28/23 06:33:10 PM,30.659,3788.9,,,,,
45,06/28/23 06:38:10 PM,30.659,3788.9,,,,,
46,06/28/23 06:43:10 PM,30.659,2755.6,,,,,
47,06/28/23 06:48:10 PM,30.659,3272.2,,,,,
48,06/28/23 06:53:10 PM,30.659,3444.5,,,,,
49,06/28/23 06:58:10 PM,30.558,2755.6,,,,,
50,06/28/23 07:03:10 PM,30.659,2927.8,,,,,
51,06/28/23 07:08:10 PM,30.659,3272.2,,,,,
52,06/28/23 07:13:10 PM,30.659,3444.5,,,,,
53,06/28/23 07:18:10 PM,30.558,1722.2,,,,,
54,06/28/23 07:23:10 PM,30.558,4133.4,,,,,
55,06/28/23 07:28:10 PM,30.659,1980.6,,,,,
56,06/28/23 07:33:10 PM,30.457,624.3,,,,,
57,06/28/23 07:38:10 PM,30.558,1065.6,,,,,
58,06/28/23 07:43:10 PM,30.558,1248.6,,,,,
59,06/28/23 07:48:10 PM,30.457,602.8,,,,,
60,06/28/23 07:53:10 PM,30.558,1550.0,,,,,
61,06/28/23 07:58:10 PM,30.457,473.6,,,,,
62,06/28/23 08:03:10 PM,30.457,236.8,,,,,
63,06/28/23 08:08:10 PM,30.457,215.3,,,,,
64,06/28/23 08:13:10 PM,30.457,129.2,,,,,
65,06/28/23 08:18:10 PM,30.356,96.9,,,,,
66,06/28/23 08:23:10 PM,30.356,64.6,,,,,
67,06/28/23 08:28:10 PM,30.356,43.1,,,,,
68,06/28/23 08:33:10 PM,30.255,10.8,,,,,
69,06/28/23 08:38:10 PM,30.255,0.0,,,,,
70,06/28/23 08:43:10 PM,30.255,0.0,,,,,
71,06/28/23 08:48:10 PM,30.356,0.0,,,,,
72,06/28/23 08:53:10 PM,30.356,0.0,,,,,
73,06/28/23 08:58:10 PM,30.457,0.0,,,,,
74,06/28/23 09:03:10 PM,30.457,0.0,,,,,
75,06/28/23 09:08:10 PM,30.457,0.0,,,,,
76,06/28/23 09:13:10 PM,30.457,0.0,,,,,
77,06/28/23 09:18:10 PM,30.457,0.0,,,,,
78,06/28/23 09:23:10 PM,30.457,0.0,,,,,
79,06/28/23 09:28:10 PM,30.457,0.0,,,,,
80,06/28/23 09:33:10 PM,30.457,0.0,,,,,
81,06/28/23 09:38:10 PM,30.457,0.0,,,,,
82,06/28/23 09:43:10 PM,30.457,0.0,,,,,
83,06/28/23 09:48:10 PM,30.457,0.0,,,,,
84,06/28/23 09:53:10 PM,30.457,0.0,,,,,
85,06/28/23 09:58:10 PM,30.457,0.0,,,,,
86,06/28/23 10:03:10 PM,30.457,0.0,,,,,
87,06/28/23 10:08:10 PM,30.457,0.0,,,,,
88,06/28/23 10:13:10 PM,30.457,0.0,,,,,
89,06/28/23 10:18:10 PM,30.457,0.0,,,,,
90,06/28/23 10:23:10 PM,30.457,0.0,,,,,
91,06/28/23 10:28:10 PM,30.457,0.0,,,,,
92,06/28/23 10:33:10 PM,30.457,0.0,,,,,
93,06/28/23 10:38:10 PM,30.457,0.0,,,,,
94,06/28/23 10:43:10 PM,30.457,0.0,,,,,
95,06/28/23 10:48:10 PM,30.457,0.0,,,,,
96,06/28/23 10:53:10 PM,30.457,0.0,,,,,
97,06/28/23 10:58:10 PM,30.457,0.0,,,,,
98,06/28/23 11:03:10 PM,30.457,0.0,,,,,
99,06/28/23 11:08:10 PM,30.457,0.0,,,,,
100,06/28/23 11:13:10 PM,30.457,0.0,,,,,
101,06/28/23 11:18:10 PM,30.457,0.0,,,,,
102,06/28/23 11:23:10 PM,30.457,0.0,,,,,
103,06/28/23 11:28:10 PM,30.457,0.0,,,,,
104,06/28/23 11:33:10 PM,30.457,0.0,,,,,
105,06/28/23 11:38:10 PM,30.457,0.0,,,,,
106,06/28/23 11:43:10 PM,30.457,0.0,,,,,
107,06/28/23 11:48:10 PM,30.457,0.0,,,,,
108,06/28/23 11:53:10 PM,30.457,0.0,,,,,
109,06/28/23 11:58:10 PM,30.457,0.0,,,,,
110,06/29/23 12:03:10 AM,30.457,0.0,,,,,
111,06/29/23 12:08:10 AM,30.457,0.0,,,,,
112,06/29/23 12:13:10 AM,30.457,0.0,,,,,
113,06/29/23 12:18:10 AM,30.457,0.0,,,,,
114,06/29/23 12:23:10 AM,30.457,0.0,,,,,
115,06/29/23 12:28:10 AM,30.457,0.0,,,,,
116,06/29/23 12:33:10 AM,30.457,0.0,,,,,
117,06/29/23 12:38:10 AM,30.457,0.0,,,,,
118,06/29/23 12:43:10 AM,30.457,0.0,,,,,
119,06/29/23 12:48:10 AM,30.457,0.0,,,,,
120,06/29/23 12:53:10 AM,30.457,0.0,,,,,
121,06/29/23 12:58:10 AM,30.457,0.0,,,,,
122,06/29/23 01:03:10 AM,30.457,0.0,,,,,
123,06/29/23 01:08:10 AM,30.457,0.0,,,,,
124,06/29/23 01:13:10 AM,30.457,0.0,,,,,
125,06/29/23 01:18:10 AM,30.457,0.0,,,,,
126,06/29/23 01:23:10 AM,30.457,0.0,,,,,
127,06/29/23 01:28:10 AM,30.457,0.0,,,,,
128,06/29/23 01:33:10 AM,30.457,0.0,,,,,
129,06/29/23 01:38:10 AM,30.457,0.0,,,,,
130,06/29/23 01:43:10 AM,30.457,0.0,,,,,
131,06/29/23 01:48:10 AM,30.457,0.0,,,,,
132,06/29/23 01:53:10 AM,30.457,0.0,,,,,
133,06/29/23 01:58:10 AM,30.457,0.0,,,,,
134,06/29/23 02:03:10 AM,30.457,0.0,,,,,
135,06/29/23 02:08:10 AM,30.457,0.0,,,,,
136,06/29/23 02:13:10 AM,30.457,0.0,,,,,
137,06/29/23 02:18:10 AM,30.457,0.0,,,,,
138,06/29/23 02:23:10 AM,30.457,0.0,,,,,
139,06/29/23 02:28:10 AM,30.457,0.0,,,,,
140,06/29/23 02:33:10 AM,30.457,0.0,,,,,
141,06/29/23 02:38:10 AM,30.457,0.0,,,,,
142,06/29/23 02:43:10 AM,30.457,0.0,,,,,
143,06/29/23 02:48:10 AM,30.457,0.0,,,,,
144,06/29/23 02:53:10 AM,30.457,0.0,,,,,
145,06/29/23 02:58:10 AM,30.457,0.0,,,,,
146,06/29/23 03:03:10 AM,30.457,0.0,,,,,
147,06/29/23 03:08:10 AM,30.457,0.0,,,,,
148,06/29/23 03:13:10 AM,30.457,0.0,,,,,
149,06/29/23 03:18:10 AM,30.457,0.0,,,,,
150,06/29/23 03:23:10 AM,30.457,0.0,,,,,
151,06/29/23 03:28:10 AM,30.457,0.0,,,,,
152,06/29/23 03:33:10 AM,30.457,0.0,,,,,
153,06/29/23 03:38:10 AM,30.457,0.0,,,,,
154,06/29/23 03:43:10 AM,30.457,0.0,,,,,
155,06/29/23 03:48:10 AM,30.457,0.0,,,,,
156,06/29/23 03:53:10 AM,30.457,0.0,,,,,
157,06/29/23 03:58:10 AM,30.457,0.0,,,,,
158,06/29/23 04:03:10 AM,30.457,0.0,,,,,
159,06/29/23 04:08:10 AM,30.457,0.0,,,,,
160,06/29/23 04:13:10 AM,30.457,0.0,,,,,
161,06/29/23 04:18:10 AM,30.457,0.0,,,,,
162,06/29/23 04:23:10 AM,30.457,0.0,,,,,
163,06/29/23 04:28:10 AM,30.457,0.0,,,,,
164,06/29/23 04:33:10 AM,30.457,0.0,,,,,
165,06/29/23 04:38:10 AM,30.457,0.0,,,,,
