Tank Number,Squaricle Number,Logger Number,"Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058708, SEN S/N: 1058708)","Intensity, Lux (LGR S/N: 1058708, SEN S/N: 1058708)"
3,2,31,06/28/23 4:13:37 PM,31.268,23422.4
3,2,31,06/28/23 4:18:37 PM,31.778,24800.2
3,2,31,06/28/23 4:23:37 PM,31.778,21355.7
3,2,31,06/28/23 4:28:37 PM,31.676,19289
3,2,31,06/28/23 4:33:37 PM,31.574,18600.1
3,2,31,06/28/23 4:38:37 PM,31.472,17222.3
3,2,31,06/28/23 4:43:37 PM,31.37,13089
3,2,31,06/28/23 4:48:37 PM,31.37,14466.8
3,2,31,06/28/23 4:53:37 PM,31.37,13777.9
3,2,31,06/28/23 4:58:37 PM,31.37,12400.1
3,2,31,06/28/23 5:03:37 PM,31.37,12400.1
3,2,31,06/28/23 5:08:37 PM,31.268,10677.8
3,2,31,06/28/23 5:13:37 PM,31.166,11711.2
3,2,31,06/28/23 5:18:37 PM,31.166,10333.4
3,2,31,06/28/23 5:23:37 PM,31.166,10333.4
3,2,31,06/28/23 5:28:37 PM,31.166,10333.4
3,2,31,06/28/23 5:33:37 PM,31.064,10333.4
3,2,31,06/28/23 5:38:37 PM,31.064,9300.1
3,2,31,06/28/23 5:43:37 PM,31.166,8611.2
3,2,31,06/28/23 5:48:37 PM,31.064,11711.2
3,2,31,06/28/23 5:53:37 PM,31.064,5511.1
3,2,31,06/28/23 5:58:37 PM,31.064,8611.2
3,2,31,06/28/23 6:03:37 PM,31.064,7577.8
3,2,31,06/28/23 6:08:37 PM,30.963,6544.5
3,2,31,06/28/23 6:13:37 PM,30.862,6200
3,2,31,06/28/23 6:18:37 PM,30.963,5511.1
3,2,31,06/28/23 6:23:37 PM,30.862,5338.9
3,2,31,06/28/23 6:28:37 PM,30.862,5166.7
3,2,31,06/28/23 6:33:37 PM,30.862,4822.3
3,2,31,06/28/23 6:38:37 PM,30.862,3961.1
3,2,31,06/28/23 6:43:37 PM,30.76,2411.1
3,2,31,06/28/23 6:48:37 PM,30.862,3272.2
3,2,31,06/28/23 6:53:37 PM,30.862,4650
3,2,31,06/28/23 6:58:37 PM,30.76,3444.5
3,2,31,06/28/23 7:03:37 PM,30.862,3444.5
3,2,31,06/28/23 7:08:37 PM,30.76,3788.9
3,2,31,06/28/23 7:13:37 PM,30.862,4305.6
3,2,31,06/28/23 7:18:37 PM,30.76,2152.8
3,2,31,06/28/23 7:23:37 PM,30.76,5338.9
3,2,31,06/28/23 7:28:37 PM,30.76,2152.8
