Measurement Name :,7202023Ruse,,,,,,,,Generated On :,"20/07/2023, 12:21:29",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,,,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,
20.07.23 11:58:31,13.55,98,98,98,98,98,98,160.24,169.85,206.78,163.53,166.23,196.97,192.89,139.41,239.75,230.45,98,98,229.79,241.42,236.75,98,98,98,27,969,36.5,28.88,
20.07.23 11:58:46,13.8,99,99,99,99,99,99,159.35,168.04,203.92,162.63,166.53,196.34,192.27,141.72,239.08,230.45,99,99,230.45,241.42,236.75,99,99,99,27,969,36.5,28.88,
20.07.23 11:59:01,14.05,97,97,97,97,97,97,159.65,167.73,202.33,162.03,165.03,193.83,191.96,136.81,239.75,229.79,97,97,229.46,240.75,236.08,97,97,97,27,969,36.5,28.86,
20.07.23 11:59:16,14.3,98,98,98,98,98,98,158.46,165.03,200.12,161.14,164.73,189.15,194.46,136.23,239.08,229.13,98,98,229.46,241.09,236.41,98,98,98,27,969,36.5,28.86,
20.07.23 11:59:31,14.55,96,96,96,96,96,96,161.14,163.23,196.97,161.44,160.54,186.05,191.33,130.79,239.41,229.79,96,96,228.8,242.09,236.08,96,96,96,27,969,36.5,28.86,
20.07.23 11:59:46,14.8,97,97,97,97,97,97,159.65,162.63,194.14,159.95,159.95,183.58,190.4,133.94,239.41,229.46,97,97,229.46,241.42,235.75,97,97,97,27,969,36.5,28.83,
20.07.23 12:00:01,15.05,95,95,95,95,95,95,154.31,162.63,193.52,159.05,158.75,182.35,187.91,127.09,239.08,229.13,95,95,228.8,241.42,235.42,95,95,95,27,969,36.5,28.83,
20.07.23 12:00:16,15.3,96,96,96,96,96,96,154.01,159.95,190.4,158.75,159.95,180.2,185.43,127.94,238.75,229.79,96,96,228.47,240.08,235.08,96,96,96,27,969,36.5,28.83,
20.07.23 12:00:31,15.55,94,94,94,94,94,94,154.9,158.16,189.77,157.57,156.97,177.14,183.58,123.41,239.08,228.8,94,94,229.79,241.09,235.08,94,94,94,27,969,36.5,28.82,
20.07.23 12:00:46,15.8,95,95,95,95,95,95,155.2,157.27,188.84,159.95,156.08,175.92,182.04,118.35,238.08,229.13,95,95,228.8,241.09,236.08,95,95,95,27,969,36.5,28.82,
20.07.23 12:01:01,16.05,93,93,93,93,93,93,151.95,157.27,188.22,159.65,155.2,173.18,175,113.32,238.08,229.79,93,93,229.13,240.75,235.42,93,93,93,27,969,36.5,28.79,
20.07.23 12:01:16,16.3,94,94,94,94,94,94,151.95,157.57,187.6,154.01,154.9,169.85,170.75,113.04,237.74,229.46,94,94,229.13,240.42,234.75,94,94,94,27,969,36.5,28.79,
20.07.23 12:01:31,16.55,92,92,92,92,92,92,148.43,154.01,187.29,153.13,154.01,166.23,166.53,114.16,238.08,229.13,92,92,228.15,240.75,235.75,92,92,92,27,969,36.5,28.78,
20.07.23 12:01:46,16.8,93,93,93,93,93,93,148.72,153.72,191.02,152.24,153.13,164.13,165.93,112.49,238.08,229.46,93,93,228.47,240.75,234.75,93,93,93,27,969,36.5,28.79,
20.07.23 12:02:01,17.05,91,91,91,91,91,91,146.96,152.83,180.81,153.72,153.42,162.63,164.73,109.99,237.08,229.13,91,91,228.15,240.75,235.42,91,91,91,27,969,36.5,28.79,
20.07.23 12:02:16,17.3,92,92,92,92,92,92,147.26,151.95,181.73,150.48,150.77,162.33,161.44,107.23,238.75,228.8,92,92,228.8,240.75,234.42,92,92,92,27,969,36.5,28.78,
20.07.23 12:02:31,17.55,90,90,90,90,90,90,144.63,151.36,176.83,149.31,149.6,163.83,161.44,103.11,238.08,228.8,90,90,227.82,240.75,235.42,90,90,90,27,969,36.5,28.78,
20.07.23 12:02:46,17.8,91,91,91,91,91,91,145.8,151.36,175,149.6,149.6,154.31,157.27,105.3,238.41,228.8,91,91,228.47,241.09,235.75,91,91,91,27,969,36.5,28.76,
20.07.23 12:03:01,18.05,89,89,89,89,89,89,145.21,151.07,178.97,148.13,149.01,153.13,157.86,100.37,238.08,227.82,89,89,227.16,241.09,234.75,89,89,89,27,969,36.5,28.76,
20.07.23 12:03:16,18.3,90,90,90,90,90,90,144.34,149.89,177.14,150.19,147.84,153.13,155.79,99.01,237.74,228.47,90,90,226.5,241.09,234.42,90,90,90,27,969,36.5,28.76,
20.07.23 12:03:31,18.55,88,88,88,88,88,88,143.76,149.89,166.23,146.09,146.38,145.21,160.84,99.56,238.41,227.82,88,88,226.83,240.08,234.09,88,88,88,27,969,36.5,28.75,
20.07.23 12:03:46,18.8,89,89,89,89,89,89,149.31,149.01,163.23,145.21,142.88,140.85,144.63,103.11,237.41,227.82,89,89,226.18,239.75,234.09,89,89,89,27,969,36.5,28.75,
20.07.23 12:04:01,19.05,87,87,87,87,87,87,147.84,149.6,160.84,143.76,143.47,139.12,141.43,101.74,237.74,227.16,87,87,226.5,239.41,233.76,87,87,87,27,969,36.5,28.74,
20.07.23 12:04:16,19.3,88,88,88,88,88,88,145.5,150.48,160.54,142.88,143.17,136.23,140.27,95.21,237.41,227.16,88,88,227.82,240.08,234.75,88,88,88,27,969,36.5,28.72,
20.07.23 12:04:31,19.55,86,86,86,86,86,86,138.83,149.89,159.35,143.47,143.76,136.81,149.6,93.86,237.41,227.16,86,86,227.49,239.75,234.75,86,86,86,27,969,36.5,28.74,
20.07.23 12:04:46,19.8,87,87,87,87,87,87,133.94,147.55,158.46,141.43,141.43,126.52,146.09,89.01,236.41,226.83,87,87,226.83,240.42,233.43,87,87,87,27,969,36.5,28.72,
20.07.23 12:05:01,20.05,85,85,85,85,85,85,133.94,146.38,157.27,139.98,141.14,126.81,135.08,87.94,237.08,227.49,85,85,226.83,240.42,234.09,85,85,85,27,969,36.5,28.72,
20.07.23 12:05:16,20.3,86,86,86,86,86,86,133.36,145.8,156.38,140.56,142.01,127.66,132.22,87.13,237.08,227.49,86,86,225.85,240.42,234.09,86,86,86,27,969,36.5,28.72,
20.07.23 12:05:31,20.55,84,84,84,84,84,84,131.36,145.21,154.6,138.83,141.14,123.13,129.93,86.06,236.41,227.16,84,84,226.5,239.41,233.76,84,84,84,27,969,36.5,28.72,
20.07.23 12:05:46,20.8,85,85,85,85,85,85,133.65,144.92,157.86,138.83,141.14,113.32,128.23,85.53,237.41,226.5,85,85,227.49,239.75,234.09,85,85,85,27,969,36.5,28.71,
20.07.23 12:06:01,21.05,83,83,83,83,83,83,131.65,146.96,158.46,137.96,139.7,111.93,125.11,84.73,236.41,226.5,83,83,226.83,239.41,233.43,83,83,83,27,969,36.5,28.71,
20.07.23 12:06:16,21.3,84,84,84,84,84,84,133.94,144.05,155.49,137.39,139.41,108.89,126.24,83.13,236.41,226.83,84,84,226.18,239.75,233.43,84,84,84,27,969,36.5,28.71,
20.07.23 12:06:31,21.55,82,82,82,82,82,82,129.93,142.01,152.54,136.52,138.25,107.78,124.26,83.13,236.41,227.16,82,82,226.83,239.41,233.09,82,82,82,27,969,36.5,28.71,
20.07.23 12:06:46,21.8,83,83,83,83,83,83,129.93,141.43,148.43,135.08,137.1,107.51,125.67,82.07,236.08,226.83,83,83,225.52,239.75,233.43,83,83,83,27,969,36.5,28.69,
20.07.23 12:07:01,22.05,81,81,81,81,81,81,127.94,140.85,142.01,135.66,136.52,106.4,121.72,81.01,235.75,226.5,81,81,225.85,239.75,234.09,81,81,81,27,969,36.5,28.69,
20.07.23 12:07:16,22.3,82,82,82,82,82,82,126.24,138.25,137.39,134.22,135.37,106.13,122.28,82.33,235.42,225.85,82,82,225.85,239.75,233.43,82,82,82,27,969,36.5,28.69,
20.07.23 12:07:31,22.55,80,80,80,80,80,80,127.94,137.1,133.65,134.8,133.94,103.93,125.96,77.83,235.75,225.52,80,80,224.87,239.08,232.76,80,80,80,27,969,36.5,28.69,
20.07.23 12:07:46,22.8,81,81,81,81,81,81,125.39,137.39,133.08,135.95,134.51,101.74,124.54,75.72,236.41,225.52,81,81,225.52,240.42,233.09,81,81,81,27,969,36.5,28.69,
20.07.23 12:08:01,23.05,79,79,79,79,79,79,127.37,137.67,131.08,135.95,133.94,100.1,119.75,72.05,236.08,226.83,79,79,225.52,239.41,232.43,79,79,79,27,969,36.5,28.68,
20.07.23 12:08:16,23.3,80,80,80,80,80,80,124.54,135.95,129.08,136.52,133.08,100.37,117.51,70.74,235.42,226.18,80,80,226.18,239.75,233.43,80,80,80,27,969,36.5,28.68,
20.07.23 12:08:31,23.55,78,78,78,78,78,78,125.67,135.95,127.66,130.79,132.22,99.56,114.44,68.4,236.08,225.85,78,78,225.19,239.41,232.1,78,78,78,27,969,36.5,28.66,
20.07.23 12:08:46,23.8,79,79,79,79,79,79,123.41,133.94,127.66,127.09,131.65,98.47,110.82,66.32,235.42,225.52,79,79,225.52,239.08,233.09,79,79,79,27,969,36.5,28.68,
20.07.23 12:09:01,24.05,77,77,77,77,77,77,123.97,133.65,127.37,126.81,132.22,97.65,108.61,65.54,235.42,225.19,77,77,225.85,239.75,232.76,77,77,77,27,969,36.5,28.68,
20.07.23 12:09:16,24.3,78,78,78,78,78,78,121.44,132.5,123.69,125.39,130.5,96.29,107.51,63.47,236.08,225.52,78,78,225.52,239.41,233.09,78,78,78,27,969,36.5,28.66,
20.07.23 12:09:31,24.55,76,76,76,76,76,76,122.56,132.79,120.59,124.54,130.22,94.67,105.85,61.92,235.75,225.19,76,76,224.54,239.75,232.43,76,76,76,27,969,36.5,28.66,
20.07.23 12:09:46,24.8,77,77,77,77,77,77,122,130.79,119.47,123.69,128.8,94.4,108.61,60.89,235.42,225.52,77,77,225.19,239.08,232.76,77,77,77,27,969,36.5,28.65,
20.07.23 12:10:01,25.05,75,75,75,75,75,75,121.44,131.08,118.07,123.41,127.37,92.24,97.65,59.09,235.08,225.19,75,75,224.54,238.75,232.76,75,75,75,27,969,36.5,28.66,
20.07.23 12:10:16,25.3,76,76,76,76,76,76,119.75,129.08,116.95,122.28,127.94,91.16,96.84,57.3,235.42,224.87,76,76,224.87,239.75,233.09,76,76,76,27,969,36.5,28.65,
20.07.23 12:10:31,25.55,74,74,74,74,74,74,118.63,127.94,115.83,121.72,126.52,89.28,103.66,56.28,235.08,224.87,74,74,224.21,238.75,232.1,74,74,74,27,969,36.5,28.65,
20.07.23 12:10:46,25.8,75,75,75,75,75,75,117.51,127.37,118.07,121.44,125.11,89.01,94.67,56.53,235.08,225.19,75,75,224.54,239.41,232.43,75,75,75,27,969,36.5,28.65,
20.07.23 12:11:01,26.05,73,73,73,73,73,73,118.07,126.81,111.1,119.19,123.41,86.33,94.13,60.38,235.42,224.87,73,73,224.21,239.41,231.77,73,73,73,27,969,36.5,28.65,
20.07.23 12:11:16,26.3,74,74,74,74,74,74,117.51,125.96,108.89,118.91,123.69,86.6,92.24,59.09,235.08,224.87,74,74,224.54,239.75,232.43,74,74,74,27,969,36.5,28.64,
20.07.23 12:11:31,26.55,72,72,72,72,72,72,118.63,124.26,108.89,117.23,123.69,83.66,91.7,58.58,234.42,224.87,72,72,223.89,239.08,231.77,72,72,72,27,969,36.5,28.65,
20.07.23 12:11:46,26.8,73,73,73,73,73,73,117.23,123.41,105.3,116.11,119.47,82.6,90.35,57.81,235.08,224.21,73,73,224.21,238.41,231.77,73,73,73,27,969,36.5,28.64,
20.07.23 12:12:01,27.05,71,71,71,71,71,71,116.11,125.67,104.75,115.83,119.75,82.33,88.74,56.53,235.42,224.21,71,71,223.89,238.75,232.43,71,71,71,27,969,36.5,28.64,
20.07.23 12:12:16,27.3,72,72,72,72,72,72,118.91,121.15,108.89,114.44,119.47,79.95,87.67,55,235.42,223.89,72,72,224.21,239.08,231.77,72,72,72,27,969,36.5,28.65,
20.07.23 12:12:31,27.55,70,70,70,70,70,70,114.71,121.44,102.01,114.16,116.67,79.15,87.13,55,235.42,224.21,70,70,224.54,238.75,231.77,70,70,70,27,969,36.5,28.65,
20.07.23 12:12:46,27.8,71,71,71,71,71,71,111.38,120.87,100.92,113.6,116.95,75.99,84.73,54.75,234.75,224.21,71,71,224.21,239.41,231.77,71,71,71,27,969,36.5,28.64,
20.07.23 12:13:01,28.05,69,69,69,69,69,69,115.27,119.19,98.74,113.04,115.83,74.67,85,53.98,235.75,224.54,69,69,223.89,239.41,231.44,69,69,69,27,969,36.5,28.64,
20.07.23 12:13:16,28.3,70,70,70,70,70,70,114.16,116.11,97.38,111.93,115.55,74.15,83.66,52.45,235.08,223.23,70,70,223.23,238.75,231.44,70,70,70,27,969,36.5,28.64,
20.07.23 12:13:31,28.55,68,68,68,68,68,68,111.93,116.11,96.56,112.21,115.83,74.67,83.13,51.19,235.42,223.89,68,68,223.56,239.41,231.77,68,68,68,27,969,36.5,28.64,
20.07.23 12:13:46,28.8,69,69,69,69,69,69,110.55,114.99,95.48,111.1,114.71,74.15,82.33,50.17,234.42,223.56,69,69,222.91,238.75,231.77,69,69,69,27,969,36.5,28.61,
20.07.23 12:14:01,29.05,67,67,67,67,67,67,109.16,114.99,94.67,110.55,113.88,75.2,81.54,50.42,235.08,224.21,67,67,224.21,238.41,232.1,67,67,67,27,969,36.5,28.63,
20.07.23 12:14:16,29.3,68,68,68,68,68,68,108.61,114.99,94.4,109.72,112.77,74.94,81.01,49.67,234.09,222.91,68,68,222.58,239.41,230.78,68,68,68,27,969,36.5,28.63,
20.07.23 12:14:31,29.55,66,66,66,66,66,66,105.3,113.6,93.05,110.82,112.49,75.2,78.62,47.9,234.42,223.23,66,66,222.58,239.08,231.11,66,66,66,27,969,36.5,28.63,
20.07.23 12:14:46,29.8,67,67,67,67,67,67,104.2,113.32,92.24,110.55,112.21,74.67,78.36,45.63,234.75,222.91,67,67,222.25,238.08,230.45,67,67,67,27,969,36.5,28.61,
20.07.23 12:15:01,30.05,65,65,65,65,65,65,104.2,113.6,91.97,107.51,114.44,75.46,76.78,45.38,234.75,223.89,65,65,223.23,238.41,231.44,65,65,65,27,969,36.5,28.63,
