Measurement Name :,7192023R_run13,,,,Generated On :,,,"19/07/2023, 16:35:12",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION

Serial number     : SEBX0009001054      

MUX channel       : ON - 01


PARAMETERS

Sig LED current   : 050

Ref LED current   : 050

Frequency         : 060

Sending interval  : 0000

Pulse lenght      : 06

Red REF comp.     : ON

Temperature comp. : ON


FIRMWARE

ver.4.039.A3.ST   : 04/30/07, 09:14:36

@m01:RDY


",,Other Report :,,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,
19.07.23 16:11:59,12.78,101,101,258.38,242.43,101,101,87.4,207.1,56.02,77.3,79.15,86.06,218.03,124.26,140.56,165.63,101,91.16,101,235.08,244.78,215.12,101,101,27,969,36.5,31.47,
19.07.23 16:12:14,13.03,99,99,259.41,242.09,99,99,91.43,199.49,55.26,77.04,81.27,85.53,217.7,125.96,144.92,161.14,99,90.62,99,235.42,245.12,214.15,99,99,27,969,36.5,31.44,
19.07.23 16:12:29,13.28,100,100,259.06,242.09,100,100,94.13,198.54,54.75,77.83,75.46,85,214.15,126.24,135.66,158.75,100,89.01,100,235.42,244.44,214.47,100,100,27,969,36.5,31.46,
19.07.23 16:12:44,13.53,98,98,258.38,242.09,98,98,92.78,198.54,58.84,75.46,73.89,85.26,210.62,119.19,135.95,154.6,98,89.01,98,235.42,244.44,213.83,98,98,27,969,36.5,31.43,
19.07.23 16:12:59,13.78,99,99,258.03,241.42,99,99,93.32,189.77,57.81,74.41,73.62,85.8,211.58,115.83,132.79,150.77,99,89.01,99,234.09,244.11,213.19,99,99,27,969,36.5,31.43,
19.07.23 16:13:14,14.03,97,97,258.38,241.76,97,97,88.74,194.46,57.81,75.46,72.05,83.93,210.3,114.16,131.08,149.6,97,90.35,97,234.75,244.11,213.83,97,97,27,969,36.5,31.4,
19.07.23 16:13:29,14.28,98,98,258.38,241.09,98,98,84.73,194.77,56.28,74.94,72.05,85.26,205.51,116.67,127.94,148.72,98,87.94,98,234.42,243.77,212.22,98,98,27,969,36.5,31.4,
19.07.23 16:13:44,14.53,96,96,257.35,241.09,96,96,90.08,190.09,56.28,77.04,71.79,82.07,200.12,110.55,127.94,148.43,96,85.53,96,234.09,243.43,212.86,96,96,27,969,36.5,31.38,
19.07.23 16:13:59,14.78,97,97,257.69,241.42,97,97,82.33,178.36,51.95,75.2,70.48,79.95,197.91,109.99,129.93,144.63,97,85,97,234.09,242.76,212.22,97,97,27,969,36.5,31.38,
19.07.23 16:14:14,15.03,95,95,258.72,241.42,95,95,78.36,175.61,53.98,71.79,69.7,78.62,202.01,109.44,125.39,144.05,95,84.2,95,233.43,242.43,211.9,95,95,27,969,36.5,31.36,
19.07.23 16:14:29,15.28,96,96,258.03,241.42,96,96,79.42,178.05,55.51,71.27,71.53,78.36,194.46,107.23,119.75,141.43,96,83.93,96,234.42,243.1,212.22,96,96,27,969,36.5,31.33,
19.07.23 16:14:44,15.53,94,94,257.35,241.09,94,94,77.83,172.57,50.93,71.79,71.79,81.54,191.64,106.13,119.47,140.85,94,83.13,94,231.77,242.76,212.54,94,94,27,969,36.5,31.33,
19.07.23 16:14:59,15.78,95,95,256.66,240.42,95,95,80.21,181.12,53.98,71.53,70.22,76.78,192.58,104.75,114.71,138.54,95,81.8,95,233.76,242.76,211.26,95,95,27,969,36.5,31.33,
19.07.23 16:15:14,16.03,93,93,257.69,239.75,93,93,82.87,174.7,49.92,68.66,67.62,76.25,189.46,107.23,113.6,139.41,93,81.01,93,232.1,243.1,211.9,93,93,27,969,36.5,31.3,
19.07.23 16:15:29,16.28,94,94,257.35,239.75,94,94,78.89,176.83,48.91,69.18,70.48,76.51,188.84,104.75,119.47,134.51,94,78.62,94,232.43,242.76,211.58,94,94,27,969,36.5,31.3,
19.07.23 16:15:44,16.53,92,92,256.66,240.42,92,92,76.51,170.75,52.2,68.4,67.1,77.83,188.53,97.11,112.49,134.8,92,79.15,92,232.76,241.76,211.9,92,92,27,969,36.5,31.29,
19.07.23 16:15:59,16.78,93,93,256.32,239.75,93,93,76.25,165.93,51.95,68.14,67.36,76.25,180.81,98.19,111.1,132.79,93,76.51,93,232.76,242.43,210.3,93,93,27,969,36.5,31.29,
19.07.23 16:16:14,17.03,91,91,257,240.08,91,91,76.51,170.45,47.9,69.18,66.58,74.67,179.89,95.21,112.21,127.66,91,75.72,91,233.09,241.42,210.3,91,91,27,969,36.5,31.29,
19.07.23 16:16:29,17.28,92,92,256.66,240.08,92,92,77.57,163.83,51.69,68.14,66.06,73.62,176.22,98.19,106.95,126.24,92,79.68,92,232.76,242.43,209.97,92,92,27,969,36.5,31.29,
19.07.23 16:16:44,17.53,90,90,257,239.08,90,90,74.15,155.2,49.67,67.62,64.76,74.67,169.54,95.75,106.13,128.23,90,72.57,90,232.76,240.75,210.3,90,90,27,969,36.5,31.26,
19.07.23 16:16:59,17.78,91,91,256.32,238.75,91,91,77.57,154.01,48.15,67.1,64.76,72.84,169.85,92.78,105.58,123.97,91,72.05,91,231.11,241.42,209.97,91,91,27,969,36.5,31.26,
19.07.23 16:17:14,18.03,89,89,256.32,239.08,89,89,76.78,152.83,51.69,66.84,63.99,72.31,166.23,87.4,107.23,120.03,89,69.96,89,231.77,241.42,209.97,89,89,27,969,36.5,31.25,
19.07.23 16:17:29,18.28,90,90,256.66,238.75,90,90,76.25,154.6,49.41,65.8,64.76,73.36,167.13,85.53,104.48,115.83,90,68.66,90,232.76,241.09,209.65,90,90,27,969,36.5,31.24,
19.07.23 16:17:44,18.53,88,88,257,238.75,88,88,76.78,154.31,46.89,65.02,64.25,71.53,159.05,82.87,103.11,112.49,88,66.58,88,231.77,241.09,209.97,88,88,27,969,36.5,31.22,
19.07.23 16:17:59,18.78,89,89,256.32,238.41,89,89,79.95,152.83,46.13,66.32,63.73,71.27,159.65,80.48,102.83,111.65,89,67.62,89,232.1,241.09,210.62,89,89,27,969,36.5,31.22,
19.07.23 16:18:14,19.03,87,87,256.32,238.41,87,87,77.83,151.36,47.64,68.4,64.76,73.1,157.57,80.74,102.29,111.38,87,66.06,87,231.11,240.75,210.3,87,87,27,969,36.5,31.21,
19.07.23 16:18:29,19.28,88,88,256.66,237.41,88,88,71.79,150.19,48.91,66.32,62.7,70.48,153.13,79.95,99.83,111.38,88,67.36,88,230.78,240.75,209.97,88,88,27,969,36.5,31.19,
19.07.23 16:18:44,19.53,86,86,255.98,238.41,86,86,71.27,146.09,48.4,67.36,63.73,72.05,157.27,79.15,99.01,109.16,86,71.79,86,231.11,240.08,208.7,86,86,27,969,36.5,31.19,
19.07.23 16:18:59,19.78,87,87,256.66,238.08,87,87,71.01,152.24,47.64,65.02,63.73,68.4,149.31,81.01,98.74,106.95,87,70.74,87,230.45,239.08,208.06,87,87,27,969,36.5,31.18,
19.07.23 16:19:14,20.03,85,85,255.98,236.41,85,85,70.48,148.72,45.13,65.28,63.21,68.4,151.36,77.3,97.38,108.06,85,62.96,85,230.12,240.42,208.38,85,85,27,969,36.5,31.18,
19.07.23 16:19:29,20.28,86,86,255.29,236.75,86,86,71.53,135.95,44.12,64.25,65.02,68.4,148.43,75.99,97.92,104.48,86,62.18,86,230.12,239.41,208.06,86,86,27,969,36.5,31.18,
19.07.23 16:19:44,20.53,84,84,254.95,237.41,84,84,71.79,139.41,44.12,63.47,60.89,68.4,151.95,70.48,96.02,105.3,84,61.67,84,230.45,239.75,207.1,84,84,27,969,36.5,31.16,
19.07.23 16:19:59,20.78,85,85,255.63,237.74,85,85,70.74,142.88,44.12,63.73,61.92,68.14,149.6,74.15,94.13,102.56,85,69.7,85,230.12,239.41,208.7,85,85,27,969,36.5,31.15,
19.07.23 16:20:14,21.03,83,83,255.63,237.41,83,83,72.57,137.1,44.12,63.21,60.38,68.66,142.88,73.62,94.4,104.75,83,60.89,83,229.79,239.75,207.42,83,83,27,969,36.5,31.15,
19.07.23 16:20:29,21.28,84,84,256.32,237.41,84,84,69.7,135.66,44.12,63.73,60.12,65.8,150.48,76.78,93.05,102.01,84,63.21,84,230.12,239.75,207.74,84,84,27,969,36.5,31.14,
19.07.23 16:20:44,21.53,82,82,255.63,237.08,82,82,73.62,132.79,43.37,62.18,60.38,65.02,137.39,69.44,92.51,96.29,82,63.99,82,229.46,240.08,208.06,82,82,27,969,36.5,31.14,
19.07.23 16:20:59,21.78,83,83,254.61,236.41,83,83,73.1,132.5,44.12,61.41,59.35,65.02,133.36,64.51,92.24,93.05,83,68.14,83,228.47,239.08,206.78,83,83,27,969,36.5,31.13,
19.07.23 16:21:14,22.03,81,81,255.98,237.08,81,81,72.05,125.39,43.37,60.64,60.12,65.28,129.08,64.76,90.89,94.4,81,59.86,81,229.46,238.75,207.1,81,81,27,969,36.5,31.11,
19.07.23 16:21:29,22.28,82,82,255.29,237.08,82,82,69.18,124.54,42.87,59.86,58.07,64.51,125.67,66.58,90.89,93.32,82,57.56,82,230.12,239.41,206.14,82,82,27,969,36.5,31.11,
19.07.23 16:21:44,22.53,80,80,255.63,236.41,80,80,67.62,131.93,43.12,61.15,59.86,63.73,125.39,67.88,90.35,97.11,80,61.92,80,229.13,239.08,207.1,80,80,27,969,36.5,31.1,
19.07.23 16:21:59,22.78,81,81,254.61,237.08,81,81,73.36,137.1,43.12,62.18,59.35,64.51,124.54,62.7,89.81,93.86,81,56.28,81,228.8,238.75,206.14,81,81,27,969,36.5,31.1,
19.07.23 16:22:14,23.03,79,79,255.63,236.75,79,79,69.44,131.65,43.37,61.67,58.33,63.21,123.97,62.44,89.55,88.74,79,55.26,79,228.15,238.41,206.46,79,79,27,969,36.5,31.1,
19.07.23 16:22:29,23.28,80,80,254.61,236.75,80,80,71.27,123.41,43.12,57.81,57.81,61.15,129.65,62.18,88.74,87.67,80,55,80,228.15,238.75,206.46,80,80,27,969,36.5,31.08,
19.07.23 16:22:44,23.53,78,78,254.61,236.08,78,78,73.1,116.95,42.62,57.56,56.79,60.89,122,61.92,87.4,87.94,78,54.24,78,227.82,238.41,206.46,78,78,27,969,36.5,31.08,
19.07.23 16:22:59,23.78,79,79,254.27,236.08,79,79,73.1,114.16,42.37,56.79,56.53,60.64,117.79,61.92,86.87,84.46,79,55.51,79,228.15,237.74,205.82,79,79,27,969,36.5,31.08,
19.07.23 16:23:14,24.03,77,77,254.95,236.75,77,77,73.36,118.91,42.12,57.81,55.77,60.89,116.67,61.41,86.06,84.46,77,64.76,77,227.82,238.08,206.14,77,77,27,969,36.5,31.08,
19.07.23 16:23:29,24.28,78,78,254.95,235.42,78,78,69.7,111.1,42.37,57.81,54.75,60.64,115.55,60.64,85.53,84.73,78,52.71,78,227.82,237.08,205.19,78,78,27,969,36.5,31.05,
19.07.23 16:23:44,24.53,76,76,254.27,236.08,76,76,69.44,109.16,42.62,57.3,54.75,60.64,114.16,60.38,88.74,84.2,76,53.73,76,228.15,237.74,204.87,76,76,27,969,36.5,31.04,
19.07.23 16:23:59,24.78,77,77,253.93,235.75,77,77,64.51,108.33,41.87,56.28,54.49,60.38,117.23,60.12,84.46,82.87,77,53.47,77,226.5,236.75,205.19,77,77,27,969,36.5,31.04,
19.07.23 16:24:14,25.03,75,75,254.27,235.42,75,75,66.06,105.3,44.87,56.53,54.75,62.18,109.44,59.86,82.33,82.6,75,54.24,75,226.5,238.41,205.19,75,75,27,969,36.5,31.04,
19.07.23 16:24:29,25.28,76,76,253.25,235.08,76,76,63.47,103.38,43.12,56.28,55.26,60.12,109.16,62.18,84.2,83.66,76,59.35,76,227.82,237.41,204.87,76,76,27,969,36.5,31.04,
19.07.23 16:24:44,25.53,74,74,253.93,236.08,74,74,62.18,102.83,47.9,55.77,53.98,59.35,106.95,58.33,79.68,81.54,74,52.96,74,227.49,237.41,203.92,74,74,27,969,36.5,31.03,
19.07.23 16:24:59,25.78,75,75,254.27,234.75,75,75,63.21,101.74,44.62,60.64,54.24,58.58,105.58,57.56,80.21,80.21,75,58.84,75,227.82,236.75,204.23,75,75,27,969,36.5,31.04,
19.07.23 16:25:14,26.03,73,73,253.93,235.08,73,73,62.7,100.65,41.87,55.26,55.51,58.33,105.85,57.56,84.73,82.87,73,61.92,73,226.5,237.08,203.92,73,73,27,969,36.5,31.03,
19.07.23 16:25:29,26.28,74,74,254.27,235.75,74,74,61.41,101.47,43.37,55,56.53,57.81,102.83,58.33,82.07,77.83,74,62.18,74,226.18,237.08,203.92,74,74,27,969,36.5,31.01,
19.07.23 16:25:44,26.53,72,72,253.93,235.08,72,72,61.15,108.61,44.12,54.75,55.51,57.81,98.74,57.04,76.78,79.95,72,59.61,72,227.16,237.08,203.92,72,72,27,969,36.5,31.01,
19.07.23 16:25:59,26.78,73,73,253.93,234.75,73,73,64.76,100.65,45.38,55.26,53.98,61.15,97.11,56.53,74.41,76.51,73,59.86,73,226.83,236.08,203.6,73,73,27,969,36.5,31.01,
19.07.23 16:26:14,27.03,71,71,253.59,234.75,71,71,63.73,98.19,44.87,55,54.75,57.56,96.02,56.28,71.27,75.2,71,51.19,71,225.52,236.75,202.96,71,71,27,969,36.5,30.99,
19.07.23 16:26:29,27.28,72,72,252.91,233.76,72,72,68.14,101.74,44.87,55.26,54.24,59.09,95.21,55.77,71.27,74.67,72,49.92,72,226.18,235.42,202.65,72,72,27,969,36.5,30.99,
19.07.23 16:26:44,27.53,70,70,252.91,234.42,70,70,61.67,93.32,44.87,55,57.81,56.79,100.1,54.75,70.48,74.41,70,52.96,70,225.52,236.41,203.6,70,70,27,969,36.5,31,
19.07.23 16:26:59,27.78,71,71,253.25,234.09,71,71,65.54,92.78,44.87,55.26,53.98,56.53,95.75,55,71.53,72.31,71,51.19,71,225.52,235.75,202.01,71,71,27,969,36.5,30.97,
19.07.23 16:27:14,28.03,69,69,253.59,234.42,69,69,63.73,90.35,45.63,53.98,52.96,56.02,95.75,54.75,69.44,71.53,69,51.44,69,225.19,235.75,203.28,69,69,27,969,36.5,30.97,
19.07.23 16:27:29,28.28,70,70,252.56,233.76,70,70,63.99,93.05,41.12,53.47,53.98,56.02,90.35,55.26,69.18,70.74,70,55.77,70,225.85,236.08,202.01,70,70,27,969,36.5,30.97,
19.07.23 16:27:44,28.53,68,68,252.56,234.42,68,68,61.15,87.4,42.12,52.71,52.2,56.79,92.51,57.3,76.51,75.46,68,57.3,68,225.19,236.08,203.28,68,68,27,969,36.5,30.97,
