"Plot Title: HOBO14"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058718, SEN S/N: 1058718)","Intensity, Lux (LGR S/N: 1058718, SEN S/N: 1058718)","Coupler Detached (LGR S/N: 1058718)","Host Connected (LGR S/N: 1058718)","Coupler Attached (LGR S/N: 1058718)","Stopped (LGR S/N: 1058718)","End Of File (LGR S/N: 1058718)"
1,06/28/23 03:11:36 PM,23.388,0.0,,,,,
2,06/28/23 03:11:41 PM,,,Logged,,,,
3,06/28/23 03:16:36 PM,24.158,32.3,,,,,
4,06/28/23 03:21:36 PM,26.097,495.1,,,,,
5,06/28/23 03:26:36 PM,27.075,742.7,,,,,
6,06/28/23 03:31:36 PM,27.961,538.2,,,,,
7,06/28/23 03:36:36 PM,28.655,495.1,,,,,
8,06/28/23 03:41:36 PM,28.953,387.5,,,,,
9,06/28/23 03:46:36 PM,28.953,301.4,,,,,
10,06/28/23 03:51:36 PM,28.953,430.6,,,,,
11,06/28/23 03:56:36 PM,29.053,452.1,,,,,
12,06/28/23 04:01:36 PM,29.152,452.1,,,,,
13,06/28/23 04:06:36 PM,29.352,495.1,,,,,
14,06/28/23 04:11:36 PM,29.652,2755.6,,,,,
15,06/28/23 04:16:36 PM,31.268,12400.1,,,,,
16,06/28/23 04:21:36 PM,31.268,10333.4,,,,,
17,06/28/23 04:26:36 PM,31.268,8611.2,,,,,
18,06/28/23 04:31:36 PM,31.166,8611.2,,,,,
19,06/28/23 04:36:36 PM,31.064,8266.7,,,,,
20,06/28/23 04:41:36 PM,31.064,7577.8,,,,,
21,06/28/23 04:46:36 PM,30.963,7233.4,,,,,
22,06/28/23 04:51:36 PM,30.862,6544.5,,,,,
23,06/28/23 04:56:36 PM,30.862,6544.5,,,,,
24,06/28/23 05:01:36 PM,30.862,6544.5,,,,,
25,06/28/23 05:06:36 PM,30.760,5511.1,,,,,
26,06/28/23 05:11:36 PM,30.659,4305.6,,,,,
27,06/28/23 05:16:36 PM,30.659,4650.0,,,,,
28,06/28/23 05:21:36 PM,30.558,5166.7,,,,,
29,06/28/23 05:26:36 PM,30.558,5166.7,,,,,
30,06/28/23 05:31:36 PM,30.457,5166.7,,,,,
31,06/28/23 05:36:36 PM,30.457,5166.7,,,,,
32,06/28/23 05:41:36 PM,30.356,4650.0,,,,,
33,06/28/23 05:46:36 PM,30.356,4994.5,,,,,
34,06/28/23 05:51:36 PM,30.356,3788.9,,,,,
35,06/28/23 05:56:36 PM,30.356,2066.7,,,,,
36,06/28/23 06:01:36 PM,30.558,4133.4,,,,,
37,06/28/23 06:06:36 PM,30.558,3272.2,,,,,
38,06/28/23 06:11:36 PM,30.457,3616.7,,,,,
39,06/28/23 06:16:36 PM,30.457,2927.8,,,,,
40,06/28/23 06:21:36 PM,30.356,2755.6,,,,,
41,06/28/23 06:26:36 PM,30.255,3100.0,,,,,
42,06/28/23 06:31:36 PM,30.356,2152.8,,,,,
43,06/28/23 06:36:36 PM,30.457,2583.4,,,,,
44,06/28/23 06:41:36 PM,30.457,2669.5,,,,,
45,06/28/23 06:46:36 PM,30.457,2755.6,,,,,
46,06/28/23 06:51:36 PM,30.356,2325.0,,,,,
47,06/28/23 06:56:36 PM,30.255,2066.7,,,,,
48,06/28/23 07:01:36 PM,30.255,1980.6,,,,,
49,06/28/23 07:06:36 PM,30.356,2238.9,,,,,
50,06/28/23 07:11:36 PM,30.457,2669.5,,,,,
51,06/28/23 07:16:36 PM,30.356,1636.1,,,,,
52,06/28/23 07:21:36 PM,30.255,2669.5,,,,,
53,06/28/23 07:26:36 PM,30.255,1636.1,,,,,
54,06/28/23 07:31:36 PM,30.356,678.1,,,,,
55,06/28/23 07:36:36 PM,30.356,688.9,,,,,
56,06/28/23 07:41:36 PM,30.356,1463.9,,,,,
57,06/28/23 07:46:36 PM,30.255,807.3,,,,,
58,06/28/23 07:51:36 PM,30.154,1636.1,,,,,
59,06/28/23 07:56:36 PM,30.356,678.1,,,,,
60,06/28/23 08:01:36 PM,30.356,258.3,,,,,
61,06/28/23 08:06:36 PM,30.255,204.5,,,,,
62,06/28/23 08:11:36 PM,30.154,150.7,,,,,
63,06/28/23 08:16:36 PM,30.255,107.6,,,,,
64,06/28/23 08:21:36 PM,30.356,75.3,,,,,
65,06/28/23 08:26:36 PM,30.255,53.8,,,,,
66,06/28/23 08:31:36 PM,30.154,21.5,,,,,
67,06/28/23 08:36:36 PM,30.154,0.0,,,,,
68,06/28/23 08:41:36 PM,30.255,0.0,,,,,
69,06/28/23 08:46:36 PM,30.255,0.0,,,,,
70,06/28/23 08:51:36 PM,30.154,0.0,,,,,
71,06/28/23 08:56:36 PM,30.255,0.0,,,,,
72,06/28/23 09:01:36 PM,30.255,0.0,,,,,
73,06/28/23 09:06:36 PM,30.255,0.0,,,,,
74,06/28/23 09:11:36 PM,30.154,0.0,,,,,
75,06/28/23 09:16:36 PM,30.255,0.0,,,,,
76,06/28/23 09:21:36 PM,30.255,0.0,,,,,
77,06/28/23 09:26:36 PM,30.154,0.0,,,,,
78,06/28/23 09:31:36 PM,30.255,0.0,,,,,
79,06/28/23 09:36:36 PM,30.255,0.0,,,,,
80,06/28/23 09:41:36 PM,30.154,0.0,,,,,
81,06/28/23 09:46:36 PM,30.255,0.0,,,,,
82,06/28/23 09:51:36 PM,30.255,0.0,,,,,
83,06/28/23 09:56:36 PM,30.154,0.0,,,,,
84,06/28/23 10:01:36 PM,30.255,0.0,,,,,
85,06/28/23 10:06:36 PM,30.255,0.0,,,,,
86,06/28/23 10:11:36 PM,30.255,0.0,,,,,
87,06/28/23 10:16:36 PM,30.154,0.0,,,,,
88,06/28/23 10:21:36 PM,30.255,0.0,,,,,
89,06/28/23 10:26:36 PM,30.255,0.0,,,,,
90,06/28/23 10:31:36 PM,30.154,0.0,,,,,
91,06/28/23 10:36:36 PM,30.255,0.0,,,,,
92,06/28/23 10:41:36 PM,30.255,0.0,,,,,
93,06/28/23 10:46:36 PM,30.154,0.0,,,,,
94,06/28/23 10:51:36 PM,30.255,0.0,,,,,
95,06/28/23 10:56:36 PM,30.255,0.0,,,,,
96,06/28/23 11:01:36 PM,30.154,0.0,,,,,
97,06/28/23 11:06:36 PM,30.255,0.0,,,,,
98,06/28/23 11:11:36 PM,30.255,0.0,,,,,
99,06/28/23 11:16:36 PM,30.154,0.0,,,,,
100,06/28/23 11:21:36 PM,30.255,0.0,,,,,
101,06/28/23 11:26:36 PM,30.255,0.0,,,,,
102,06/28/23 11:31:36 PM,30.154,0.0,,,,,
103,06/28/23 11:36:36 PM,30.255,0.0,,,,,
104,06/28/23 11:41:36 PM,30.255,0.0,,,,,
105,06/28/23 11:46:36 PM,30.154,0.0,,,,,
106,06/28/23 11:51:36 PM,30.255,0.0,,,,,
107,06/28/23 11:56:36 PM,30.255,0.0,,,,,
108,06/29/23 12:01:36 AM,30.154,0.0,,,,,
109,06/29/23 12:06:36 AM,30.255,0.0,,,,,
110,06/29/23 12:11:36 AM,30.255,0.0,,,,,
111,06/29/23 12:16:36 AM,30.154,0.0,,,,,
112,06/29/23 12:21:36 AM,30.255,0.0,,,,,
113,06/29/23 12:26:36 AM,30.255,0.0,,,,,
114,06/29/23 12:31:36 AM,30.154,0.0,,,,,
115,06/29/23 12:36:36 AM,30.255,0.0,,,,,
116,06/29/23 12:41:36 AM,30.255,0.0,,,,,
117,06/29/23 12:46:36 AM,30.154,0.0,,,,,
118,06/29/23 12:51:36 AM,30.255,0.0,,,,,
119,06/29/23 12:56:36 AM,30.255,0.0,,,,,
120,06/29/23 01:01:36 AM,30.154,0.0,,,,,
121,06/29/23 01:06:36 AM,30.255,0.0,,,,,
122,06/29/23 01:11:36 AM,30.255,0.0,,,,,
123,06/29/23 01:16:36 AM,30.154,0.0,,,,,
124,06/29/23 01:21:36 AM,30.255,0.0,,,,,
125,06/29/23 01:26:36 AM,30.255,0.0,,,,,
126,06/29/23 01:31:36 AM,30.154,0.0,,,,,
127,06/29/23 01:36:36 AM,30.255,0.0,,,,,
128,06/29/23 01:41:36 AM,30.255,0.0,,,,,
129,06/29/23 01:46:36 AM,30.255,0.0,,,,,
130,06/29/23 01:51:36 AM,30.255,0.0,,,,,
131,06/29/23 01:56:36 AM,30.255,0.0,,,,,
132,06/29/23 02:01:36 AM,30.255,0.0,,,,,
133,06/29/23 02:06:36 AM,30.255,0.0,,,,,
134,06/29/23 02:11:36 AM,30.154,0.0,,,,,
135,06/29/23 02:16:36 AM,30.255,0.0,,,,,
136,06/29/23 02:21:36 AM,30.255,0.0,,,,,
137,06/29/23 02:26:36 AM,30.154,0.0,,,,,
138,06/29/23 02:31:36 AM,30.255,0.0,,,,,
139,06/29/23 02:36:36 AM,30.255,0.0,,,,,
140,06/29/23 02:41:36 AM,30.154,0.0,,,,,
