"Plot Title: HOBO15"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058707, SEN S/N: 1058707)","Intensity, Lux (LGR S/N: 1058707, SEN S/N: 1058707)","Started (LGR S/N: 1058707)","Coupler Attached (LGR S/N: 1058707)","Host Connected (LGR S/N: 1058707)","Stopped (LGR S/N: 1058707)","End Of File (LGR S/N: 1058707)"
99,06/26/23 11:10:00 PM,25.610,0.0,,,,,
100,06/26/23 11:15:00 PM,25.610,0.0,,,,,
101,06/26/23 11:20:00 PM,25.610,0.0,,,,,
102,06/26/23 11:25:00 PM,25.610,0.0,,,,,
103,06/26/23 11:30:00 PM,25.610,0.0,,,,,
104,06/26/23 11:35:00 PM,25.610,0.0,,,,,
105,06/26/23 11:40:00 PM,25.708,0.0,,,,,
106,06/26/23 11:45:00 PM,25.708,0.0,,,,,
107,06/26/23 11:50:00 PM,25.708,0.0,,,,,
108,06/26/23 11:55:00 PM,25.708,0.0,,,,,
109,06/27/23 12:00:00 AM,25.708,0.0,,,,,
110,06/27/23 12:05:00 AM,25.708,0.0,,,,,
111,06/27/23 12:10:00 AM,25.708,0.0,,,,,
112,06/27/23 12:15:00 AM,25.708,0.0,,,,,
113,06/27/23 12:20:00 AM,25.708,0.0,,,,,
114,06/27/23 12:25:00 AM,25.708,0.0,,,,,
115,06/27/23 12:30:00 AM,25.708,0.0,,,,,
116,06/27/23 12:35:00 AM,25.805,0.0,,,,,
117,06/27/23 12:40:00 AM,25.708,0.0,,,,,
118,06/27/23 12:45:00 AM,25.805,0.0,,,,,
119,06/27/23 12:50:00 AM,25.805,0.0,,,,,
120,06/27/23 12:55:00 AM,25.805,0.0,,,,,
121,06/27/23 01:00:00 AM,25.805,0.0,,,,,
122,06/27/23 01:05:00 AM,25.805,0.0,,,,,
123,06/27/23 01:10:00 AM,25.902,0.0,,,,,
124,06/27/23 01:15:00 AM,26.000,0.0,,,,,
125,06/27/23 01:20:00 AM,26.000,0.0,,,,,
126,06/27/23 01:25:00 AM,25.902,0.0,,,,,
127,06/27/23 01:30:00 AM,25.902,0.0,,,,,
128,06/27/23 01:35:00 AM,25.805,0.0,,,,,
129,06/27/23 01:40:00 AM,25.805,0.0,,,,,
130,06/27/23 01:45:00 AM,25.902,0.0,,,,,
131,06/27/23 01:50:00 AM,26.000,0.0,,,,,
132,06/27/23 01:55:00 AM,26.000,0.0,,,,,
133,06/27/23 02:00:00 AM,26.000,0.0,,,,,
134,06/27/23 02:05:00 AM,26.097,0.0,,,,,
135,06/27/23 02:10:00 AM,26.097,0.0,,,,,
136,06/27/23 02:15:00 AM,26.000,0.0,,,,,
137,06/27/23 02:20:00 AM,25.902,0.0,,,,,
138,06/27/23 02:25:00 AM,25.805,0.0,,,,,
139,06/27/23 02:30:00 AM,25.805,0.0,,,,,
140,06/27/23 02:35:00 AM,25.805,0.0,,,,,
141,06/27/23 02:40:00 AM,25.805,0.0,,,,,
142,06/27/23 02:45:00 AM,25.805,0.0,,,,,
143,06/27/23 02:50:00 AM,25.805,0.0,,,,,
144,06/27/23 02:55:00 AM,25.902,0.0,,,,,
145,06/27/23 03:00:00 AM,25.902,0.0,,,,,
146,06/27/23 03:05:00 AM,26.000,0.0,,,,,
147,06/27/23 03:10:00 AM,26.000,0.0,,,,,
148,06/27/23 03:15:00 AM,26.097,0.0,,,,,
149,06/27/23 03:20:00 AM,26.097,0.0,,,,,
150,06/27/23 03:25:00 AM,26.195,0.0,,,,,
151,06/27/23 03:30:00 AM,26.195,0.0,,,,,
152,06/27/23 03:35:00 AM,26.195,0.0,,,,,
153,06/27/23 03:40:00 AM,26.195,0.0,,,,,
154,06/27/23 03:45:00 AM,26.292,0.0,,,,,
155,06/27/23 03:50:00 AM,26.292,0.0,,,,,
156,06/27/23 03:55:00 AM,26.292,0.0,,,,,
157,06/27/23 04:00:00 AM,26.292,0.0,,,,,
158,06/27/23 04:05:00 AM,26.292,0.0,,,,,
159,06/27/23 04:10:00 AM,26.292,0.0,,,,,
160,06/27/23 04:15:00 AM,26.195,0.0,,,,,
161,06/27/23 04:20:00 AM,26.195,0.0,,,,,
162,06/27/23 04:25:00 AM,26.097,0.0,,,,,
163,06/27/23 04:30:00 AM,26.097,0.0,,,,,
164,06/27/23 04:35:00 AM,26.097,0.0,,,,,
165,06/27/23 04:40:00 AM,26.097,0.0,,,,,
166,06/27/23 04:45:00 AM,26.097,0.0,,,,,
167,06/27/23 04:50:00 AM,26.097,0.0,,,,,
168,06/27/23 04:55:00 AM,26.000,0.0,,,,,
169,06/27/23 05:00:00 AM,26.000,0.0,,,,,
170,06/27/23 05:05:00 AM,26.000,0.0,,,,,
171,06/27/23 05:10:00 AM,26.000,0.0,,,,,
172,06/27/23 05:15:00 AM,26.000,0.0,,,,,
173,06/27/23 05:20:00 AM,25.902,0.0,,,,,
174,06/27/23 05:25:00 AM,25.902,0.0,,,,,
175,06/27/23 05:30:00 AM,25.902,0.0,,,,,
176,06/27/23 05:35:00 AM,25.902,0.0,,,,,
177,06/27/23 05:40:00 AM,25.902,0.0,,,,,
178,06/27/23 05:45:00 AM,25.902,0.0,,,,,
179,06/27/23 05:50:00 AM,25.902,0.0,,,,,
180,06/27/23 05:55:00 AM,25.902,0.0,,,,,
181,06/27/23 06:00:00 AM,25.902,0.0,,,,,
182,06/27/23 06:05:00 AM,25.902,75.3,,,,,
183,06/27/23 06:10:00 AM,25.902,172.2,,,,,
184,06/27/23 06:15:00 AM,25.902,279.9,,,,,
185,06/27/23 06:20:00 AM,25.902,430.6,,,,,
186,06/27/23 06:25:00 AM,25.902,645.8,,,,,
187,06/27/23 06:30:00 AM,25.902,925.7,,,,,
188,06/27/23 06:35:00 AM,26.000,1216.3,,,,,
189,06/27/23 06:40:00 AM,26.097,1463.9,,,,,
190,06/27/23 06:45:00 AM,26.097,1980.6,,,,,
191,06/27/23 06:50:00 AM,26.195,2152.8,,,,,
192,06/27/23 06:55:00 AM,26.292,2411.1,,,,,
193,06/27/23 07:00:00 AM,26.390,2755.6,,,,,
194,06/27/23 07:05:00 AM,26.390,2325.0,,,,,
195,06/27/23 07:10:00 AM,26.390,2411.1,,,,,
196,06/27/23 07:15:00 AM,26.390,2497.2,,,,,
197,06/27/23 07:20:00 AM,26.488,2927.8,,,,,
198,06/27/23 07:25:00 AM,26.488,2927.8,,,,,
199,06/27/23 07:30:00 AM,26.585,3961.1,,,,,
200,06/27/23 07:35:00 AM,26.781,4477.8,,,,,
201,06/27/23 07:40:00 AM,26.977,6200.0,,,,,
202,06/27/23 07:45:00 AM,27.173,6200.0,,,,,
203,06/27/23 07:50:00 AM,27.272,6200.0,,,,,
204,06/27/23 07:55:00 AM,27.468,9300.1,,,,,
205,06/27/23 08:00:00 AM,27.665,10333.4,,,,,
206,06/27/23 08:05:00 AM,27.961,12400.1,,,,,
207,06/27/23 08:10:00 AM,28.357,13777.9,,,,,
208,06/27/23 08:15:00 AM,28.655,16533.4,,,,,
209,06/27/23 08:20:00 AM,29.352,19977.9,,,,,
210,06/27/23 08:25:00 AM,29.652,19977.9,,,,,
211,06/27/23 08:30:00 AM,30.154,22044.6,,,,,
212,06/27/23 08:35:00 AM,30.963,30311.3,,,,,
213,06/27/23 08:40:00 AM,31.880,37200.2,,,,,
214,06/27/23 08:45:00 AM,32.704,39955.8,,,,,
215,06/27/23 08:50:00 AM,32.497,28933.5,,,,,
216,06/27/23 08:55:00 AM,32.807,41333.6,,,,,
217,06/27/23 09:00:00 AM,33.743,46844.8,,,,,
218,06/27/23 09:05:00 AM,34.058,42711.4,,,,,
219,06/27/23 09:10:00 AM,33.953,38578.0,,,,,
220,06/27/23 09:15:00 AM,33.953,38578.0,,,,,
221,06/27/23 09:20:00 AM,33.848,38578.0,,,,,
222,06/27/23 09:25:00 AM,33.953,41333.6,,,,,
223,06/27/23 09:30:00 AM,33.953,38578.0,,,,,
224,06/27/23 09:35:00 AM,33.743,38578.0,,,,,
225,06/27/23 09:40:00 AM,33.639,39955.8,,,,,
226,06/27/23 09:45:00 AM,33.743,46844.8,,,,,
227,06/27/23 09:50:00 AM,34.479,52355.9,,,,,
228,06/27/23 09:55:00 AM,34.479,46844.8,,,,,
229,06/27/23 10:00:00 AM,35.115,60622.6,,,,,
230,06/27/23 10:05:00 AM,36.079,88178.4,,,,,
231,06/27/23 10:10:00 AM,37.055,93689.5,,,,,
232,06/27/23 10:15:00 AM,38.157,104711.8,,,,,
233,06/27/23 10:20:00 AM,38.046,104711.8,,,,,
234,06/27/23 10:25:00 AM,38.046,115734.1,,,,,
235,06/27/23 10:30:00 AM,37.824,77156.1,,,,,
236,06/27/23 10:35:00 AM,38.490,93689.5,,,,,
237,06/27/23 10:40:00 AM,39.729,93689.5,,,,,
238,06/27/23 10:45:00 AM,39.843,121245.2,,,,,
239,06/27/23 10:50:00 AM,40.300,121245.2,,,,,
240,06/27/23 10:55:00 AM,40.185,121245.2,,,,,
241,06/27/23 11:00:00 AM,40.992,126756.4,,,,,
242,06/27/23 11:05:00 AM,41.108,115734.1,,,,,
243,06/27/23 11:10:00 AM,40.876,132267.5,,,,,
244,06/27/23 11:15:00 AM,41.575,132267.5,,,,,
245,06/27/23 11:20:00 AM,41.692,137778.7,,,,,
246,06/27/23 11:25:00 AM,40.761,132267.5,,,,,
247,06/27/23 11:30:00 AM,40.761,121245.2,,,,,
248,06/27/23 11:35:00 AM,39.843,99200.7,,,,,
249,06/27/23 11:40:00 AM,38.379,82667.2,,,,,
250,06/27/23 11:45:00 AM,37.824,82667.2,,,,,
251,06/27/23 11:50:00 AM,38.379,93689.5,,,,,
252,06/27/23 11:55:00 AM,38.602,93689.5,,,,,
253,06/27/23 12:00:00 PM,37.494,63378.2,,,,,
254,06/27/23 12:05:00 PM,36.187,57867.0,,,,,
255,06/27/23 12:10:00 PM,34.691,57867.0,,,,,
256,06/27/23 12:15:00 PM,34.268,66133.8,,,,,
257,06/27/23 12:20:00 PM,34.479,82667.2,,,,,
258,06/27/23 12:25:00 PM,35.222,110223.0,,,,,
259,06/27/23 12:30:00 PM,36.187,121245.2,,,,,
260,06/27/23 12:35:00 PM,37.165,132267.5,,,,,
261,06/27/23 12:40:00 PM,37.824,99200.7,,,,,
262,06/27/23 12:45:00 PM,37.055,60622.6,,,,,
263,06/27/23 12:50:00 PM,36.079,57867.0,,,,,
264,06/27/23 12:55:00 PM,35.115,57867.0,,,,,
265,06/27/23 01:00:00 PM,34.691,63378.2,,,,,
266,06/27/23 01:05:00 PM,35.009,110223.0,,,,,
267,06/27/23 01:10:00 PM,36.837,132267.5,,,,,
268,06/27/23 01:15:00 PM,38.046,137778.7,,,,,
269,06/27/23 01:20:00 PM,38.268,110223.0,,,,,
270,06/27/23 01:25:00 PM,37.384,74400.5,,,,,
271,06/27/23 01:30:00 PM,36.620,77156.1,,,,,
272,06/27/23 01:35:00 PM,37.055,121245.2,,,,,
273,06/27/23 01:40:00 PM,38.379,148801.0,,,,,
274,06/27/23 01:45:00 PM,40.071,159823.3,,,,,
275,06/27/23 01:50:00 PM,40.761,159823.3,,,,,
276,06/27/23 01:55:00 PM,40.645,154312.1,,,,,
277,06/27/23 02:00:00 PM,41.225,165334.4,,,,,
278,06/27/23 02:05:00 PM,41.928,159823.3,,,,,
279,06/27/23 02:10:00 PM,41.692,159823.3,,,,,
280,06/27/23 02:15:00 PM,42.046,159823.3,,,,,
281,06/27/23 02:20:00 PM,41.692,165334.4,,,,,
282,06/27/23 02:25:00 PM,41.928,126756.4,,,,,
283,06/27/23 02:30:00 PM,42.164,159823.3,,,,,
284,06/27/23 02:35:00 PM,41.692,159823.3,,,,,
285,06/27/23 02:40:00 PM,41.810,159823.3,,,,,
286,06/27/23 02:45:00 PM,41.458,148801.0,,,,,
287,06/27/23 02:50:00 PM,41.225,143289.8,,,,,
288,06/27/23 02:55:00 PM,40.071,115734.1,,,,,
289,06/27/23 03:00:00 PM,39.276,79911.6,,,,,
290,06/27/23 03:05:00 PM,39.843,143289.8,,,,,
291,06/27/23 03:10:00 PM,40.992,143289.8,,,,,
292,06/27/23 03:15:00 PM,41.575,143289.8,,,,,
293,06/27/23 03:20:00 PM,41.108,137778.7,,,,,
294,06/27/23 03:25:00 PM,40.645,110223.0,,,,,
295,06/27/23 03:30:00 PM,38.826,93689.5,,,,,
296,06/27/23 03:35:00 PM,38.379,93689.5,,,,,
297,06/27/23 03:40:00 PM,38.046,79911.6,,,,,
298,06/27/23 03:45:00 PM,37.494,79911.6,,,,,
299,06/27/23 03:50:00 PM,38.046,121245.2,,,,,
300,06/27/23 03:55:00 PM,39.502,132267.5,,,,,
301,06/27/23 04:00:00 PM,40.530,137778.7,,,,,
302,06/27/23 04:05:00 PM,40.761,132267.5,,,,,
303,06/27/23 04:10:00 PM,40.645,126756.4,,,,,
304,06/27/23 04:15:00 PM,40.071,126756.4,,,,,
305,06/27/23 04:20:00 PM,39.389,126756.4,,,,,
306,06/27/23 04:25:00 PM,39.502,115734.1,,,,,
307,06/27/23 04:30:00 PM,40.185,110223.0,,,,,
308,06/27/23 04:35:00 PM,40.645,104711.8,,,,,
309,06/27/23 04:40:00 PM,40.071,88178.4,,,,,
310,06/27/23 04:45:00 PM,39.389,74400.5,,,,,
311,06/27/23 04:50:00 PM,38.826,82667.2,,,,,
312,06/27/23 04:55:00 PM,38.602,60622.6,,,,,
313,06/27/23 05:00:00 PM,39.615,99200.7,,,,,
314,06/27/23 05:05:00 PM,39.843,88178.4,,,,,
315,06/27/23 05:10:00 PM,39.615,88178.4,,,,,
316,06/27/23 05:15:00 PM,38.938,66133.8,,,,,
317,06/27/23 05:20:00 PM,37.824,57867.0,,,,,
318,06/27/23 05:25:00 PM,37.384,55111.5,,,,,
319,06/27/23 05:30:00 PM,36.946,60622.6,,,,,
320,06/27/23 05:35:00 PM,37.055,57867.0,,,,,
321,06/27/23 05:40:00 PM,36.620,63378.2,,,,,
322,06/27/23 05:45:00 PM,35.756,28933.5,,,,,
323,06/27/23 05:50:00 PM,35.435,52355.9,,,,,
324,06/27/23 05:55:00 PM,35.756,49600.3,,,,,
325,06/27/23 06:00:00 PM,35.328,20666.8,,,,,
326,06/27/23 06:05:00 PM,35.115,42711.4,,,,,
327,06/27/23 06:10:00 PM,34.585,41333.6,,,,,
328,06/27/23 06:15:00 PM,34.796,38578.0,,,,,
329,06/27/23 06:20:00 PM,34.058,30311.3,,,,,
330,06/27/23 06:25:00 PM,33.743,26178.0,,,,,
331,06/27/23 06:30:00 PM,33.535,26178.0,,,,,
332,06/27/23 06:35:00 PM,33.326,22044.6,,,,,
333,06/27/23 06:40:00 PM,32.086,28933.5,,,,,
334,06/27/23 06:45:00 PM,32.807,31689.1,,,,,
335,06/27/23 06:50:00 PM,32.911,28933.5,,,,,
336,06/27/23 06:55:00 PM,32.704,18600.1,,,,,
337,06/27/23 07:00:00 PM,32.394,20666.8,,,,,
338,06/27/23 07:05:00 PM,32.086,15844.5,,,,,
339,06/27/23 07:10:00 PM,31.472,7233.4,,,,,
340,06/27/23 07:15:00 PM,30.457,5166.7,,,,,
341,06/27/23 07:20:00 PM,30.457,9300.1,,,,,
342,06/27/23 07:25:00 PM,30.558,10677.8,,,,,
343,06/27/23 07:30:00 PM,30.255,6544.5,,,,,
344,06/27/23 07:35:00 PM,30.054,5166.7,,,,,
345,06/27/23 07:40:00 PM,29.652,4822.3,,,,,
346,06/27/23 07:45:00 PM,29.552,5166.7,,,,,
347,06/27/23 07:50:00 PM,29.352,4133.4,,,,,
348,06/27/23 07:55:00 PM,29.053,1980.6,,,,,
349,06/27/23 08:00:00 PM,28.754,1377.8,,,,,
350,06/27/23 08:05:00 PM,28.555,979.5,,,,,
351,06/27/23 08:10:00 PM,28.357,936.5,,,,,
352,06/27/23 08:15:00 PM,28.258,871.9,,,,,
353,06/27/23 08:20:00 PM,28.060,505.9,,,,,
354,06/27/23 08:25:00 PM,27.961,376.7,,,,,
355,06/27/23 08:30:00 PM,27.862,258.3,,,,,
356,06/27/23 08:35:00 PM,27.665,161.5,,,,,
357,06/27/23 08:40:00 PM,27.567,86.1,,,,,
