"Plot Title: HOBO4_bioresort_23A"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 10720820, SEN S/N: 10720820)","Intensity, Lux (LGR S/N: 10720820, SEN S/N: 10720820)","Host Connected (LGR S/N: 10720820)","Coupler Attached (LGR S/N: 10720820)","Coupler Detached (LGR S/N: 10720820)","Stopped (LGR S/N: 10720820)","End Of File (LGR S/N: 10720820)"
1,06/26/23 03:00:00 PM,31.676,66133.8,,,,,
2,06/26/23 03:05:00 PM,31.880,66133.8,,,,,
3,06/26/23 03:10:00 PM,31.983,68889.3,,,,,
4,06/26/23 03:15:00 PM,31.983,68889.3,,,,,
5,06/26/23 03:20:00 PM,31.983,68889.3,,,,,
6,06/26/23 03:25:00 PM,32.086,66133.8,,,,,
7,06/26/23 03:30:00 PM,32.086,63378.2,,,,,
8,06/26/23 03:35:00 PM,32.086,63378.2,,,,,
9,06/26/23 03:40:00 PM,32.086,60622.6,,,,,
10,06/26/23 03:45:00 PM,31.983,60622.6,,,,,
11,06/26/23 03:50:00 PM,31.983,57867.0,,,,,
12,06/26/23 03:55:00 PM,31.983,55111.5,,,,,
13,06/26/23 04:00:00 PM,31.166,37200.2,,,,,
14,06/26/23 04:04:56 PM,,,Logged,,,,
15,06/26/23 04:04:57 PM,,,,Logged,,,
16,06/26/23 04:05:00 PM,27.272,0.0,,,,,
17,06/26/23 04:05:33 PM,,,,,Logged,,
18,06/26/23 04:10:00 PM,28.357,3444.5,,,,,
19,06/26/23 04:15:00 PM,30.963,37200.2,,,,,
20,06/26/23 04:20:00 PM,31.472,42711.4,,,,,
21,06/26/23 04:25:00 PM,31.574,46844.8,,,,,
22,06/26/23 04:30:00 PM,31.574,44089.2,,,,,
23,06/26/23 04:35:00 PM,31.574,39955.8,,,,,
24,06/26/23 04:40:00 PM,31.472,31689.1,,,,,
25,06/26/23 04:45:00 PM,31.472,37200.2,,,,,
26,06/26/23 04:50:00 PM,31.472,38578.0,,,,,
27,06/26/23 04:55:00 PM,31.472,37200.2,,,,,
28,06/26/23 05:00:00 PM,31.370,33066.9,,,,,
29,06/26/23 05:05:00 PM,31.268,30311.3,,,,,
30,06/26/23 05:10:00 PM,31.166,27555.7,,,,,
31,06/26/23 05:15:00 PM,31.166,24800.2,,,,,
32,06/26/23 05:20:00 PM,31.064,23422.4,,,,,
33,06/26/23 05:25:00 PM,30.963,20666.8,,,,,
34,06/26/23 05:30:00 PM,30.862,18600.1,,,,,
35,06/26/23 05:35:00 PM,30.862,17222.3,,,,,
36,06/26/23 05:40:00 PM,30.760,16533.4,,,,,
37,06/26/23 05:45:00 PM,30.760,15155.7,,,,,
38,06/26/23 05:50:00 PM,30.760,15155.7,,,,,
39,06/26/23 05:55:00 PM,30.760,15844.5,,,,,
40,06/26/23 06:00:00 PM,30.760,17911.2,,,,,
41,06/26/23 06:05:00 PM,30.659,18600.1,,,,,
42,06/26/23 06:10:00 PM,30.659,18600.1,,,,,
43,06/26/23 06:15:00 PM,30.558,15155.7,,,,,
44,06/26/23 06:20:00 PM,30.457,13089.0,,,,,
45,06/26/23 06:25:00 PM,30.356,7577.8,,,,,
46,06/26/23 06:30:00 PM,30.356,10333.4,,,,,
47,06/26/23 06:35:00 PM,30.255,9644.5,,,,,
48,06/26/23 06:40:00 PM,30.255,9300.1,,,,,
49,06/26/23 06:45:00 PM,30.154,8611.2,,,,,
50,06/26/23 06:50:00 PM,30.154,7233.4,,,,,
51,06/26/23 06:55:00 PM,30.054,6200.0,,,,,
52,06/26/23 07:00:00 PM,29.953,3272.2,,,,,
53,06/26/23 07:05:00 PM,29.953,5511.1,,,,,
54,06/26/23 07:10:00 PM,29.853,3100.0,,,,,
55,06/26/23 07:15:00 PM,29.752,2669.5,,,,,
56,06/26/23 07:20:00 PM,29.752,2152.8,,,,,
57,06/26/23 07:25:00 PM,29.652,3616.7,,,,,
58,06/26/23 07:30:00 PM,29.752,3788.9,,,,,
59,06/26/23 07:35:00 PM,29.652,3444.5,,,,,
60,06/26/23 07:40:00 PM,29.652,2927.8,,,,,
61,06/26/23 07:45:00 PM,29.552,2238.9,,,,,
62,06/26/23 07:50:00 PM,29.552,1550.0,,,,,
63,06/26/23 07:55:00 PM,29.452,1130.2,,,,,
