"Plot Title: HOBO16"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 9786150, SEN S/N: 9786150)","Intensity, Lux (LGR S/N: 9786150, SEN S/N: 9786150)","Host Connected (LGR S/N: 9786150)","Coupler Attached (LGR S/N: 9786150)","Stopped (LGR S/N: 9786150)","End Of File (LGR S/N: 9786150)"
1,06/26/23 03:00:00 PM,41.928,126756.4,,,,
2,06/26/23 03:05:00 PM,44.334,137778.7,,,,
3,06/26/23 03:10:00 PM,46.083,143289.8,,,,
4,06/26/23 03:15:00 PM,47.499,143289.8,,,,
5,06/26/23 03:20:00 PM,48.155,143289.8,,,,
6,06/26/23 03:25:00 PM,48.421,143289.8,,,,
7,06/26/23 03:30:00 PM,48.821,137778.7,,,,
8,06/26/23 03:35:00 PM,48.955,126756.4,,,,
9,06/26/23 03:40:00 PM,48.155,115734.1,,,,
10,06/26/23 03:45:00 PM,47.892,132267.5,,,,
11,06/26/23 03:50:00 PM,48.421,132267.5,,,,
12,06/26/23 03:55:00 PM,48.821,126756.4,,,,
13,06/26/23 04:00:00 PM,48.821,126756.4,,,,
14,06/26/23 04:05:00 PM,48.288,126756.4,,,,
15,06/26/23 04:10:00 PM,48.421,121245.2,,,,
16,06/26/23 04:15:00 PM,48.687,121245.2,,,,
17,06/26/23 04:20:00 PM,48.288,115734.1,,,,
18,06/26/23 04:25:00 PM,47.892,115734.1,,,,
19,06/26/23 04:30:00 PM,47.629,110223.0,,,,
20,06/26/23 04:35:00 PM,47.238,104711.8,,,,
21,06/26/23 04:40:00 PM,46.850,99200.7,,,,
22,06/26/23 04:45:00 PM,46.722,93689.5,,,,
23,06/26/23 04:50:00 PM,46.337,88178.4,,,,
24,06/26/23 04:55:00 PM,45.703,79911.6,,,,
25,06/26/23 05:00:00 PM,44.828,74400.5,,,,
26,06/26/23 05:05:00 PM,43.844,68889.3,,,,
27,06/26/23 05:10:00 PM,42.282,49600.3,,,,
28,06/26/23 05:15:00 PM,40.876,44089.2,,,,
29,06/26/23 05:20:00 PM,39.502,33066.9,,,,
30,06/26/23 05:25:00 PM,38.046,26178.0,,,,
31,06/26/23 05:30:00 PM,36.946,24800.2,,,,
32,06/26/23 05:35:00 PM,36.403,23422.4,,,,
33,06/26/23 05:40:00 PM,35.971,22044.6,,,,
34,06/26/23 05:45:00 PM,35.542,20666.8,,,,
35,06/26/23 05:50:00 PM,35.222,19977.9,,,,
36,06/26/23 05:55:00 PM,35.115,18600.1,,,,
37,06/26/23 06:00:00 PM,34.903,18600.1,,,,
38,06/26/23 06:05:00 PM,34.903,18600.1,,,,
39,06/26/23 06:10:00 PM,35.115,18600.1,,,,
40,06/26/23 06:15:00 PM,35.864,22044.6,,,,
41,06/26/23 06:20:00 PM,36.946,22044.6,,,,
42,06/26/23 06:25:00 PM,36.946,12400.1,,,,
43,06/26/23 06:30:00 PM,36.728,19289.0,,,,
44,06/26/23 06:35:00 PM,37.274,18600.1,,,,
45,06/26/23 06:40:00 PM,37.055,16533.4,,,,
46,06/26/23 06:45:00 PM,37.165,17911.2,,,,
47,06/26/23 06:50:00 PM,36.620,15844.5,,,,
48,06/26/23 06:55:00 PM,36.079,13089.0,,,,
49,06/26/23 07:00:00 PM,35.115,5511.1,,,,
50,06/26/23 07:05:00 PM,34.374,12400.1,,,,
51,06/26/23 07:10:00 PM,33.014,5511.1,,,,
52,06/26/23 07:15:00 PM,32.394,5166.7,,,,
53,06/26/23 07:20:00 PM,31.676,3788.9,,,,
54,06/26/23 07:25:00 PM,30.659,7233.4,,,,
55,06/26/23 07:30:00 PM,30.154,7233.4,,,,
56,06/26/23 07:35:00 PM,29.752,6200.0,,,,
57,06/26/23 07:40:00 PM,29.452,5338.9,,,,
58,06/26/23 07:45:00 PM,29.053,3616.7,,,,
59,06/26/23 07:50:00 PM,28.456,2325.0,,,,
60,06/26/23 07:55:00 PM,28.060,1808.3,,,,
61,06/26/23 08:00:00 PM,27.764,1550.0,,,,
62,06/26/23 08:05:00 PM,27.468,1313.2,,,,
63,06/26/23 08:10:00 PM,27.173,1097.9,,,,
64,06/26/23 08:15:00 PM,26.977,828.8,,,,
65,06/26/23 08:20:00 PM,26.683,570.5,,,,
66,06/26/23 08:25:00 PM,26.585,355.2,,,,
67,06/26/23 08:30:00 PM,26.390,226.0,,,,
68,06/26/23 08:35:00 PM,26.292,129.2,,,,
69,06/26/23 08:40:00 PM,26.097,53.8,,,,
70,06/26/23 08:45:00 PM,26.097,10.8,,,,
71,06/26/23 08:50:00 PM,26.000,0.0,,,,
72,06/26/23 08:55:00 PM,25.902,0.0,,,,
73,06/26/23 09:00:00 PM,25.902,0.0,,,,
74,06/26/23 09:05:00 PM,25.902,0.0,,,,
75,06/26/23 09:10:00 PM,25.805,0.0,,,,
76,06/26/23 09:15:00 PM,25.805,0.0,,,,
77,06/26/23 09:20:00 PM,25.708,0.0,,,,
78,06/26/23 09:25:00 PM,25.708,0.0,,,,
79,06/26/23 09:30:00 PM,25.708,0.0,,,,
80,06/26/23 09:35:00 PM,25.708,0.0,,,,
81,06/26/23 09:40:00 PM,25.610,0.0,,,,
82,06/26/23 09:45:00 PM,25.610,0.0,,,,
83,06/26/23 09:50:00 PM,25.610,0.0,,,,
84,06/26/23 09:55:00 PM,25.513,0.0,,,,
85,06/26/23 10:00:00 PM,25.513,0.0,,,,
86,06/26/23 10:05:00 PM,25.513,0.0,,,,
87,06/26/23 10:10:00 PM,25.513,0.0,,,,
88,06/26/23 10:15:00 PM,25.513,0.0,,,,
89,06/26/23 10:20:00 PM,25.513,0.0,,,,
90,06/26/23 10:25:00 PM,25.513,0.0,,,,
91,06/26/23 10:30:00 PM,25.610,0.0,,,,
92,06/26/23 10:35:00 PM,25.610,0.0,,,,
93,06/26/23 10:40:00 PM,25.610,0.0,,,,
94,06/26/23 10:45:00 PM,25.610,0.0,,,,
95,06/26/23 10:50:00 PM,25.610,0.0,,,,
96,06/26/23 10:55:00 PM,25.610,0.0,,,,
97,06/26/23 11:00:00 PM,25.610,0.0,,,,
98,06/26/23 11:05:00 PM,25.610,0.0,,,,
99,06/26/23 11:10:00 PM,25.610,0.0,,,,
100,06/26/23 11:15:00 PM,25.610,0.0,,,,
101,06/26/23 11:20:00 PM,25.610,0.0,,,,
102,06/26/23 11:25:00 PM,25.610,0.0,,,,
103,06/26/23 11:30:00 PM,25.610,0.0,,,,
104,06/26/23 11:35:00 PM,25.708,0.0,,,,
105,06/26/23 11:40:00 PM,25.708,0.0,,,,
106,06/26/23 11:45:00 PM,25.708,0.0,,,,
107,06/26/23 11:50:00 PM,25.708,0.0,,,,
108,06/26/23 11:55:00 PM,25.708,0.0,,,,
109,06/27/23 12:00:00 AM,25.708,0.0,,,,
110,06/27/23 12:05:00 AM,25.708,0.0,,,,
111,06/27/23 12:10:00 AM,25.805,0.0,,,,
112,06/27/23 12:15:00 AM,25.805,0.0,,,,
113,06/27/23 12:20:00 AM,25.805,0.0,,,,
114,06/27/23 12:25:00 AM,25.805,0.0,,,,
115,06/27/23 12:30:00 AM,25.805,0.0,,,,
116,06/27/23 12:35:00 AM,25.805,0.0,,,,
117,06/27/23 12:40:00 AM,25.805,0.0,,,,
118,06/27/23 12:45:00 AM,25.805,0.0,,,,
119,06/27/23 12:50:00 AM,25.805,0.0,,,,
120,06/27/23 12:55:00 AM,25.805,0.0,,,,
121,06/27/23 01:00:00 AM,25.805,0.0,,,,
122,06/27/23 01:05:00 AM,25.902,0.0,,,,
123,06/27/23 01:10:00 AM,26.000,0.0,,,,
124,06/27/23 01:15:00 AM,26.000,0.0,,,,
125,06/27/23 01:20:00 AM,25.902,0.0,,,,
126,06/27/23 01:25:00 AM,25.902,0.0,,,,
127,06/27/23 01:30:00 AM,25.902,0.0,,,,
128,06/27/23 01:35:00 AM,25.902,0.0,,,,
129,06/27/23 01:40:00 AM,25.902,0.0,,,,
130,06/27/23 01:45:00 AM,26.000,0.0,,,,
131,06/27/23 01:50:00 AM,26.000,0.0,,,,
132,06/27/23 01:55:00 AM,26.000,0.0,,,,
133,06/27/23 02:00:00 AM,26.097,0.0,,,,
134,06/27/23 02:05:00 AM,26.097,0.0,,,,
135,06/27/23 02:10:00 AM,26.097,0.0,,,,
136,06/27/23 02:15:00 AM,25.902,0.0,,,,
137,06/27/23 02:20:00 AM,25.805,0.0,,,,
138,06/27/23 02:25:00 AM,25.805,0.0,,,,
139,06/27/23 02:30:00 AM,25.805,0.0,,,,
140,06/27/23 02:35:00 AM,25.805,0.0,,,,
141,06/27/23 02:40:00 AM,25.805,0.0,,,,
142,06/27/23 02:45:00 AM,25.805,0.0,,,,
143,06/27/23 02:50:00 AM,25.902,0.0,,,,
144,06/27/23 02:55:00 AM,25.902,0.0,,,,
145,06/27/23 03:00:00 AM,26.000,0.0,,,,
146,06/27/23 03:05:00 AM,26.000,0.0,,,,
147,06/27/23 03:10:00 AM,26.097,0.0,,,,
148,06/27/23 03:15:00 AM,26.097,0.0,,,,
