Logger Number,Tank,Position,"PAR, µmol photon m^-2 day^-1","PAR, mol photon m^-2 day^-1"
1,5,Middle,19621301.36,19.62130136
2,3,Top Left,21025695.94,21.02569594
3,5,Bottom Left,10107396.59,10.10739659
4,9,Middle,22894804.94,22.89480494
6,9,Bottom Right,22343375.62,22.34337562
8,3,Middle,26452656.74,26.45265674
9,9,Top Left,21712838.94,21.71283894
10,9,Top Right,26586945.81,26.58694581
11,3,Bottom Right,23283402.48,23.28340248
13,9,Rim,71210442.42,71.21044242
14,5,Top Right,19768297.95,19.76829795
15,3,Rim,48749489.88,48.74948988
16,5,Rim,52710293.62,52.71029362
19,9,Bottom Left,17991206.06,17.99120606
20,3,Bottom Left,22205867.82,22.20586782
24,Wall,Wall,76621047.99,76.62104799
27,5,Top Left,21565499.04,21.56549904
31,5,Bottom Right,14666795.58,14.66679558
