"Plot Title: HOBO13"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058722, SEN S/N: 1058722)","Intensity, Lux (LGR S/N: 1058722, SEN S/N: 1058722)","Coupler Attached (LGR S/N: 1058722)","Host Connected (LGR S/N: 1058722)","Stopped (LGR S/N: 1058722)","End Of File (LGR S/N: 1058722)"
1,06/26/23 03:00:00 PM,41.458,143289.8,,,,
2,06/26/23 03:05:00 PM,42.046,132267.5,,,,
3,06/26/23 03:10:00 PM,41.341,93689.5,,,,
4,06/26/23 03:15:00 PM,39.389,66133.8,,,,
5,06/26/23 03:20:00 PM,37.714,57867.0,,,,
6,06/26/23 03:25:00 PM,36.511,55111.5,,,,
7,06/26/23 03:30:00 PM,36.187,55111.5,,,,
8,06/26/23 03:35:00 PM,36.511,57867.0,,,,
9,06/26/23 03:40:00 PM,36.946,68889.3,,,,
10,06/26/23 03:45:00 PM,38.268,104711.8,,,,
11,06/26/23 03:50:00 PM,40.415,121245.2,,,,
12,06/26/23 03:55:00 PM,41.341,121245.2,,,,
13,06/26/23 04:00:00 PM,41.692,121245.2,,,,
14,06/26/23 04:05:00 PM,41.575,115734.1,,,,
15,06/26/23 04:10:00 PM,41.575,110223.0,,,,
16,06/26/23 04:15:00 PM,41.575,110223.0,,,,
17,06/26/23 04:20:00 PM,41.108,104711.8,,,,
18,06/26/23 04:25:00 PM,40.645,99200.7,,,,
19,06/26/23 04:30:00 PM,40.415,93689.5,,,,
20,06/26/23 04:35:00 PM,40.185,93689.5,,,,
21,06/26/23 04:40:00 PM,40.185,88178.4,,,,
22,06/26/23 04:45:00 PM,39.957,82667.2,,,,
23,06/26/23 04:50:00 PM,39.502,77156.1,,,,
24,06/26/23 04:55:00 PM,39.276,68889.3,,,,
25,06/26/23 05:00:00 PM,38.714,63378.2,,,,
26,06/26/23 05:05:00 PM,38.046,57867.0,,,,
27,06/26/23 05:10:00 PM,37.165,52355.9,,,,
28,06/26/23 05:15:00 PM,36.620,44089.2,,,,
29,06/26/23 05:20:00 PM,35.971,35822.5,,,,
30,06/26/23 05:25:00 PM,35.435,34444.7,,,,
31,06/26/23 05:30:00 PM,35.009,34444.7,,,,
32,06/26/23 05:35:00 PM,35.115,35822.5,,,,
33,06/26/23 05:40:00 PM,35.435,37200.2,,,,
34,06/26/23 05:45:00 PM,35.864,35822.5,,,,
35,06/26/23 05:50:00 PM,35.756,31689.1,,,,
36,06/26/23 05:55:00 PM,35.222,26178.0,,,,
37,06/26/23 06:00:00 PM,34.268,24800.2,,,,
38,06/26/23 06:05:00 PM,33.639,24800.2,,,,
39,06/26/23 06:10:00 PM,33.430,23422.4,,,,
40,06/26/23 06:15:00 PM,33.222,22044.6,,,,
41,06/26/23 06:20:00 PM,33.014,22044.6,,,,
42,06/26/23 06:25:00 PM,32.394,13777.9,,,,
43,06/26/23 06:30:00 PM,32.497,21355.7,,,,
44,06/26/23 06:35:00 PM,32.704,20666.8,,,,
45,06/26/23 06:40:00 PM,32.807,19289.0,,,,
46,06/26/23 06:45:00 PM,32.600,17911.2,,,,
47,06/26/23 06:50:00 PM,32.188,16533.4,,,,
48,06/26/23 06:55:00 PM,31.880,14466.8,,,,
49,06/26/23 07:00:00 PM,31.268,6544.5,,,,
50,06/26/23 07:05:00 PM,30.862,14466.8,,,,
51,06/26/23 07:10:00 PM,30.054,6200.0,,,,
52,06/26/23 07:15:00 PM,29.452,5166.7,,,,
53,06/26/23 07:20:00 PM,28.853,4133.4,,,,
54,06/26/23 07:25:00 PM,28.555,8266.7,,,,
55,06/26/23 07:30:00 PM,28.456,9644.5,,,,
56,06/26/23 07:35:00 PM,28.754,8611.2,,,,
57,06/26/23 07:40:00 PM,28.655,7233.4,,,,
58,06/26/23 07:45:00 PM,28.357,5511.1,,,,
59,06/26/23 07:50:00 PM,27.862,3961.1,,,,
60,06/26/23 07:55:00 PM,27.468,2583.4,,,,
61,06/26/23 08:00:00 PM,27.173,1894.5,,,,
62,06/26/23 08:05:00 PM,26.977,1550.0,,,,
63,06/26/23 08:10:00 PM,26.683,1302.4,,,,
64,06/26/23 08:15:00 PM,26.488,979.5,,,,
65,06/26/23 08:20:00 PM,26.292,667.4,,,,
66,06/26/23 08:25:00 PM,26.195,419.8,,,,
67,06/26/23 08:30:00 PM,26.000,269.1,,,,
68,06/26/23 08:35:00 PM,25.902,161.5,,,,
69,06/26/23 08:40:00 PM,25.805,64.6,,,,
70,06/26/23 08:45:00 PM,25.805,21.5,,,,
71,06/26/23 08:50:00 PM,25.708,0.0,,,,
72,06/26/23 08:55:00 PM,25.610,0.0,,,,
73,06/26/23 09:00:00 PM,25.610,0.0,,,,
74,06/26/23 09:05:00 PM,25.610,0.0,,,,
75,06/26/23 09:10:00 PM,25.513,0.0,,,,
76,06/26/23 09:15:00 PM,25.513,0.0,,,,
77,06/26/23 09:20:00 PM,25.513,0.0,,,,
78,06/26/23 09:25:00 PM,25.513,0.0,,,,
79,06/26/23 09:30:00 PM,25.513,0.0,,,,
80,06/26/23 09:35:00 PM,25.416,0.0,,,,
81,06/26/23 09:40:00 PM,25.416,0.0,,,,
82,06/26/23 09:45:00 PM,25.416,0.0,,,,
83,06/26/23 09:50:00 PM,25.416,0.0,,,,
84,06/26/23 09:55:00 PM,25.319,0.0,,,,
85,06/26/23 10:00:00 PM,25.319,0.0,,,,
86,06/26/23 10:05:00 PM,25.319,0.0,,,,
87,06/26/23 10:10:00 PM,25.416,0.0,,,,
88,06/26/23 10:15:00 PM,25.416,0.0,,,,
89,06/26/23 10:20:00 PM,25.416,0.0,,,,
90,06/26/23 10:25:00 PM,25.416,0.0,,,,
91,06/26/23 10:30:00 PM,25.513,0.0,,,,
92,06/26/23 10:35:00 PM,25.513,0.0,,,,
93,06/26/23 10:40:00 PM,25.513,0.0,,,,
94,06/26/23 10:45:00 PM,25.513,0.0,,,,
95,06/26/23 10:50:00 PM,25.513,0.0,,,,
96,06/26/23 10:55:00 PM,25.513,0.0,,,,
97,06/26/23 11:00:00 PM,25.513,0.0,,,,
98,06/26/23 11:05:00 PM,25.513,0.0,,,,
99,06/26/23 11:10:00 PM,25.513,0.0,,,,
100,06/26/23 11:15:00 PM,25.513,0.0,,,,
101,06/26/23 11:20:00 PM,25.513,0.0,,,,
102,06/26/23 11:25:00 PM,25.513,0.0,,,,
103,06/26/23 11:30:00 PM,25.513,0.0,,,,
104,06/26/23 11:35:00 PM,25.610,0.0,,,,
105,06/26/23 11:40:00 PM,25.610,0.0,,,,
106,06/26/23 11:45:00 PM,25.610,0.0,,,,
107,06/26/23 11:50:00 PM,25.610,0.0,,,,
108,06/26/23 11:55:00 PM,25.610,0.0,,,,
109,06/27/23 12:00:00 AM,25.610,0.0,,,,
110,06/27/23 12:05:00 AM,25.610,0.0,,,,
111,06/27/23 12:10:00 AM,25.708,0.0,,,,
112,06/27/23 12:15:00 AM,25.708,0.0,,,,
113,06/27/23 12:20:00 AM,25.708,0.0,,,,
114,06/27/23 12:25:00 AM,25.610,0.0,,,,
115,06/27/23 12:30:00 AM,25.708,0.0,,,,
116,06/27/23 12:35:00 AM,25.708,0.0,,,,
117,06/27/23 12:40:00 AM,25.708,0.0,,,,
118,06/27/23 12:45:00 AM,25.708,0.0,,,,
119,06/27/23 12:50:00 AM,25.708,0.0,,,,
120,06/27/23 12:55:00 AM,25.708,0.0,,,,
121,06/27/23 01:00:00 AM,25.805,0.0,,,,
122,06/27/23 01:05:00 AM,25.902,0.0,,,,
123,06/27/23 01:10:00 AM,25.902,0.0,,,,
124,06/27/23 01:15:00 AM,25.902,0.0,,,,
125,06/27/23 01:20:00 AM,25.805,0.0,,,,
126,06/27/23 01:25:00 AM,25.805,0.0,,,,
127,06/27/23 01:30:00 AM,25.708,0.0,,,,
128,06/27/23 01:35:00 AM,25.708,0.0,,,,
129,06/27/23 01:40:00 AM,25.805,0.0,,,,
130,06/27/23 01:45:00 AM,25.902,0.0,,,,
131,06/27/23 01:50:00 AM,25.902,0.0,,,,
132,06/27/23 01:55:00 AM,25.902,0.0,,,,
133,06/27/23 02:00:00 AM,26.000,0.0,,,,
134,06/27/23 02:05:00 AM,26.000,0.0,,,,
135,06/27/23 02:10:00 AM,26.000,0.0,,,,
136,06/27/23 02:15:00 AM,25.805,0.0,,,,
137,06/27/23 02:20:00 AM,25.708,0.0,,,,
138,06/27/23 02:25:00 AM,25.708,0.0,,,,
139,06/27/23 02:30:00 AM,25.708,0.0,,,,
140,06/27/23 02:35:00 AM,25.610,0.0,,,,
141,06/27/23 02:40:00 AM,25.610,0.0,,,,
142,06/27/23 02:45:00 AM,25.708,0.0,,,,
143,06/27/23 02:50:00 AM,25.805,0.0,,,,
144,06/27/23 02:55:00 AM,25.805,0.0,,,,
145,06/27/23 03:00:00 AM,25.902,0.0,,,,
146,06/27/23 03:05:00 AM,26.000,0.0,,,,
147,06/27/23 03:10:00 AM,26.000,0.0,,,,
148,06/27/23 03:15:00 AM,26.097,0.0,,,,
149,06/27/23 03:20:00 AM,26.097,0.0,,,,
150,06/27/23 03:25:00 AM,26.097,0.0,,,,
151,06/27/23 03:30:00 AM,26.097,0.0,,,,
152,06/27/23 03:35:00 AM,26.195,0.0,,,,
153,06/27/23 03:40:00 AM,26.195,0.0,,,,
154,06/27/23 03:45:00 AM,26.195,0.0,,,,
155,06/27/23 03:50:00 AM,26.195,0.0,,,,
156,06/27/23 03:55:00 AM,26.195,0.0,,,,
157,06/27/23 04:00:00 AM,26.195,0.0,,,,
158,06/27/23 04:05:00 AM,26.195,0.0,,,,
159,06/27/23 04:10:00 AM,26.097,0.0,,,,
160,06/27/23 04:15:00 AM,26.097,0.0,,,,
161,06/27/23 04:20:00 AM,26.097,0.0,,,,
162,06/27/23 04:25:00 AM,26.097,0.0,,,,
163,06/27/23 04:30:00 AM,26.000,0.0,,,,
164,06/27/23 04:35:00 AM,26.000,0.0,,,,
165,06/27/23 04:40:00 AM,26.000,0.0,,,,
166,06/27/23 04:45:00 AM,26.000,0.0,,,,
167,06/27/23 04:50:00 AM,26.000,0.0,,,,
168,06/27/23 04:55:00 AM,26.000,0.0,,,,
169,06/27/23 05:00:00 AM,25.902,0.0,,,,
170,06/27/23 05:05:00 AM,25.902,0.0,,,,
171,06/27/23 05:10:00 AM,25.902,0.0,,,,
172,06/27/23 05:15:00 AM,25.902,0.0,,,,
173,06/27/23 05:20:00 AM,25.805,0.0,,,,
174,06/27/23 05:25:00 AM,25.805,0.0,,,,
175,06/27/23 05:30:00 AM,25.805,0.0,,,,
176,06/27/23 05:35:00 AM,25.805,0.0,,,,
177,06/27/23 05:40:00 AM,25.805,0.0,,,,
178,06/27/23 05:45:00 AM,25.805,0.0,,,,
179,06/27/23 05:50:00 AM,25.805,0.0,,,,
180,06/27/23 05:55:00 AM,25.805,21.5,,,,
181,06/27/23 06:00:00 AM,25.805,86.1,,,,
182,06/27/23 06:05:00 AM,25.805,172.2,,,,
183,06/27/23 06:10:00 AM,25.805,290.6,,,,
184,06/27/23 06:15:00 AM,25.805,452.1,,,,
185,06/27/23 06:20:00 AM,25.805,678.1,,,,
186,06/27/23 06:25:00 AM,25.805,947.2,,,,
187,06/27/23 06:30:00 AM,25.902,1248.6,,,,
188,06/27/23 06:35:00 AM,26.000,1550.0,,,,
189,06/27/23 06:40:00 AM,26.000,2066.7,,,,
190,06/27/23 06:45:00 AM,26.097,2238.9,,,,
191,06/27/23 06:50:00 AM,26.097,2411.1,,,,
192,06/27/23 06:55:00 AM,26.195,2755.6,,,,
193,06/27/23 07:00:00 AM,26.292,2325.0,,,,
194,06/27/23 07:05:00 AM,26.195,2411.1,,,,
195,06/27/23 07:10:00 AM,26.292,2497.2,,,,
196,06/27/23 07:15:00 AM,26.292,2927.8,,,,
197,06/27/23 07:20:00 AM,26.390,2927.8,,,,
198,06/27/23 07:25:00 AM,26.390,3788.9,,,,
199,06/27/23 07:30:00 AM,26.585,4305.6,,,,
200,06/27/23 07:35:00 AM,26.879,6200.0,,,,
201,06/27/23 07:40:00 AM,26.879,6200.0,,,,
202,06/27/23 07:45:00 AM,26.977,6200.0,,,,
203,06/27/23 07:50:00 AM,27.173,8611.2,,,,
204,06/27/23 07:55:00 AM,27.665,11022.3,,,,
205,06/27/23 08:00:00 AM,27.764,10677.8,,,,
206,06/27/23 08:05:00 AM,27.961,12400.1,,,,
207,06/27/23 08:10:00 AM,28.060,12400.1,,,,
208,06/27/23 08:15:00 AM,28.060,12400.1,,,,
209,06/27/23 08:20:00 AM,28.159,14466.8,,,,
210,06/27/23 08:25:00 AM,28.258,14466.8,,,,
211,06/27/23 08:30:00 AM,28.357,15155.7,,,,
212,06/27/23 08:35:00 AM,28.456,16533.4,,,,
213,06/27/23 08:40:00 AM,28.655,17222.3,,,,
214,06/27/23 08:45:00 AM,28.853,17911.2,,,,
215,06/27/23 08:50:00 AM,29.252,19289.0,,,,
216,06/27/23 08:55:00 AM,29.552,22044.6,,,,
217,06/27/23 09:00:00 AM,30.154,27555.7,,,,
218,06/27/23 09:05:00 AM,30.963,82667.2,,,,
219,06/27/23 09:10:00 AM,31.880,104711.8,,,,
220,06/27/23 09:15:00 AM,32.807,110223.0,,,,
221,06/27/23 09:20:00 AM,34.058,121245.2,,,,
222,06/27/23 09:25:00 AM,35.328,126756.4,,,,
223,06/27/23 09:30:00 AM,36.620,143289.8,,,,
224,06/27/23 09:35:00 AM,37.055,63378.2,,,,
225,06/27/23 09:40:00 AM,34.903,49600.3,,,,
226,06/27/23 09:45:00 AM,33.743,63378.2,,,,
227,06/27/23 09:50:00 AM,33.848,88178.4,,,,
228,06/27/23 09:55:00 AM,34.796,99200.7,,,,
229,06/27/23 10:00:00 AM,35.328,104711.8,,,,
230,06/27/23 10:05:00 AM,35.864,110223.0,,,,
231,06/27/23 10:10:00 AM,36.511,132267.5,,,,
232,06/27/23 10:15:00 AM,36.295,121245.2,,,,
233,06/27/23 10:20:00 AM,35.971,132267.5,,,,
234,06/27/23 10:25:00 AM,35.971,93689.5,,,,
235,06/27/23 10:30:00 AM,36.295,126756.4,,,,
236,06/27/23 10:35:00 AM,37.384,88178.4,,,,
237,06/27/23 10:40:00 AM,37.494,126756.4,,,,
238,06/27/23 10:45:00 AM,37.494,132267.5,,,,
239,06/27/23 10:50:00 AM,37.384,115734.1,,,,
240,06/27/23 10:55:00 AM,38.046,126756.4,,,,
241,06/27/23 11:00:00 AM,38.602,137778.7,,,,
