"Plot Title: HOBO8"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 20454821, SEN S/N: 20454821)","Intensity, Lux (LGR S/N: 20454821, SEN S/N: 20454821)","Host Connected (LGR S/N: 20454821)","Coupler Attached (LGR S/N: 20454821)","Coupler Detached (LGR S/N: 20454821)","Stopped (LGR S/N: 20454821)","End Of File (LGR S/N: 20454821)"
1,06/26/23 03:00:00 PM,31.880,66133.8,,,,,
2,06/26/23 03:05:00 PM,32.086,66133.8,,,,,
3,06/26/23 03:10:00 PM,32.086,60622.6,,,,,
4,06/26/23 03:15:00 PM,31.983,52355.9,,,,,
5,06/26/23 03:20:00 PM,31.778,37200.2,,,,,
6,06/26/23 03:25:00 PM,31.676,34444.7,,,,,
7,06/26/23 03:30:00 PM,31.676,33066.9,,,,,
8,06/26/23 03:35:00 PM,31.778,33066.9,,,,,
9,06/26/23 03:40:00 PM,31.880,34444.7,,,,,
10,06/26/23 03:45:00 PM,32.188,42711.4,,,,,
11,06/26/23 03:50:00 PM,32.394,52355.9,,,,,
12,06/26/23 03:55:00 PM,32.600,55111.5,,,,,
13,06/26/23 04:00:00 PM,31.880,22044.6,,,,,
14,06/26/23 04:04:20 PM,,,Logged,,,,
15,06/26/23 04:04:21 PM,,,,Logged,,,
16,06/26/23 04:04:55 PM,,,,,Logged,,
17,06/26/23 04:05:00 PM,26.683,871.9,,,,,
18,06/26/23 04:10:00 PM,26.879,4477.8,,,,,
19,06/26/23 04:15:00 PM,31.166,33066.9,,,,,
20,06/26/23 04:20:00 PM,31.983,30311.3,,,,,
21,06/26/23 04:25:00 PM,32.188,31689.1,,,,,
22,06/26/23 04:30:00 PM,32.291,34444.7,,,,,
23,06/26/23 04:35:00 PM,32.394,39955.8,,,,,
24,06/26/23 04:40:00 PM,32.497,42711.4,,,,,
25,06/26/23 04:45:00 PM,32.497,44089.2,,,,,
26,06/26/23 04:50:00 PM,32.497,44089.2,,,,,
27,06/26/23 04:55:00 PM,32.394,42711.4,,,,,
28,06/26/23 05:00:00 PM,32.394,38578.0,,,,,
29,06/26/23 05:05:00 PM,32.188,33066.9,,,,,
30,06/26/23 05:10:00 PM,31.983,26178.0,,,,,
31,06/26/23 05:15:00 PM,31.880,21355.7,,,,,
32,06/26/23 05:20:00 PM,31.676,17911.2,,,,,
33,06/26/23 05:25:00 PM,31.676,19289.0,,,,,
34,06/26/23 05:30:00 PM,31.676,23422.4,,,,,
35,06/26/23 05:35:00 PM,31.880,26178.0,,,,,
36,06/26/23 05:40:00 PM,31.880,23422.4,,,,,
37,06/26/23 05:45:00 PM,31.676,18600.1,,,,,
