"Plot Title: HOBO1"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 21113721, SEN S/N: 21113721)","Avg: Light Intensity, Lux (LGR S/N: 21113721)","Coupler Attached (LGR S/N: 21113721)","Host Connected (LGR S/N: 21113721)","Coupler Detached (LGR S/N: 21113721)","Stopped (LGR S/N: 21113721)","End Of File (LGR S/N: 21113721)"
1,06/26/23 03:00:00 PM,32.704,77156.1,,,,,
2,06/26/23 03:05:00 PM,32.911,77156.1,,,,,
3,06/26/23 03:10:00 PM,32.911,77156.1,,,,,
4,06/26/23 03:15:00 PM,32.911,74400.5,,,,,
5,06/26/23 03:20:00 PM,32.911,68889.3,,,,,
6,06/26/23 03:25:00 PM,32.807,60622.6,,,,,
7,06/26/23 03:30:00 PM,32.911,66133.8,,,,,
8,06/26/23 03:35:00 PM,33.014,66133.8,,,,,
9,06/26/23 03:40:00 PM,33.014,66133.8,,,,,
10,06/26/23 03:45:00 PM,33.014,66133.8,,,,,
11,06/26/23 03:50:00 PM,33.014,66133.8,,,,,
12,06/26/23 03:55:00 PM,33.118,60622.6,,,,,
13,06/26/23 04:00:00 PM,31.370,7233.4,,,,,
14,06/26/23 04:03:04 PM,,,Logged,Logged,,,
15,06/26/23 04:03:58 PM,,,,,Logged,,
16,06/26/23 04:05:00 PM,26.488,409.0,,,,,
17,06/26/23 04:05:36 PM,,,,Logged,,,
18,06/26/23 04:05:37 PM,,,Logged,,,,
19,06/26/23 04:05:46 PM,,,,,Logged,,
20,06/26/23 04:10:00 PM,27.173,16533.4,,,,,
21,06/26/23 04:15:00 PM,31.778,49600.3,,,,,
22,06/26/23 04:20:00 PM,32.497,44089.2,,,,,
23,06/26/23 04:25:00 PM,32.394,33066.9,,,,,
24,06/26/23 04:30:00 PM,32.291,33066.9,,,,,
25,06/26/23 04:35:00 PM,32.086,24800.2,,,,,
26,06/26/23 04:40:00 PM,31.983,19977.9,,,,,
27,06/26/23 04:45:00 PM,31.880,17911.2,,,,,
28,06/26/23 04:50:00 PM,31.778,15844.5,,,,,
