"Plot Title: HOBO3"
"#","Date Time, GMT-03:00","Temp, °C (LGR S/N: 1058716, SEN S/N: 1058716)","Intensity, Lux (LGR S/N: 1058716, SEN S/N: 1058716)","Host Connected (LGR S/N: 1058716)","Coupler Attached (LGR S/N: 1058716)","Stopped (LGR S/N: 1058716)","End Of File (LGR S/N: 1058716)"
1,06/26/23 03:00:00 PM,32.188,46844.8,,,,
2,06/26/23 03:05:00 PM,32.086,28933.5,,,,
3,06/26/23 03:10:00 PM,31.983,23422.4,,,,
4,06/26/23 03:15:00 PM,31.880,20666.8,,,,
5,06/26/23 03:20:00 PM,31.778,18600.1,,,,
6,06/26/23 03:25:00 PM,31.676,16533.4,,,,
7,06/26/23 03:30:00 PM,31.676,15844.5,,,,
8,06/26/23 03:35:00 PM,31.574,14466.8,,,,
9,06/26/23 03:40:00 PM,31.574,13777.9,,,,
10,06/26/23 03:45:00 PM,31.574,13089.0,,,,
11,06/26/23 03:50:00 PM,31.574,12400.1,,,,
12,06/26/23 03:55:00 PM,31.676,11711.2,,,,
13,06/26/23 04:00:00 PM,31.574,10677.8,,,,
14,06/26/23 04:05:00 PM,31.574,10677.8,,,,
15,06/26/23 04:10:00 PM,31.676,10333.4,,,,
16,06/26/23 04:15:00 PM,31.676,9644.5,,,,
17,06/26/23 04:20:00 PM,31.676,9300.1,,,,
18,06/26/23 04:25:00 PM,31.574,8611.2,,,,
19,06/26/23 04:30:00 PM,31.574,8266.7,,,,
20,06/26/23 04:35:00 PM,31.574,7577.8,,,,
21,06/26/23 04:40:00 PM,31.574,7233.4,,,,
22,06/26/23 04:45:00 PM,31.472,6544.5,,,,
23,06/26/23 04:50:00 PM,31.472,6200.0,,,,
24,06/26/23 04:55:00 PM,31.370,5511.1,,,,
25,06/26/23 05:00:00 PM,31.370,5166.7,,,,
26,06/26/23 05:05:00 PM,31.268,5338.9,,,,
27,06/26/23 05:10:00 PM,31.268,4994.5,,,,
28,06/26/23 05:15:00 PM,31.166,4477.8,,,,
29,06/26/23 05:20:00 PM,31.166,4133.4,,,,
30,06/26/23 05:25:00 PM,31.166,4133.4,,,,
31,06/26/23 05:30:00 PM,31.166,4305.6,,,,
32,06/26/23 05:35:00 PM,31.166,4305.6,,,,
33,06/26/23 05:40:00 PM,31.166,4477.8,,,,
34,06/26/23 05:45:00 PM,31.166,4477.8,,,,
35,06/26/23 05:50:00 PM,31.166,4477.8,,,,
36,06/26/23 05:55:00 PM,31.166,4477.8,,,,
37,06/26/23 06:00:00 PM,31.064,4477.8,,,,
38,06/26/23 06:05:00 PM,31.064,4477.8,,,,
39,06/26/23 06:10:00 PM,31.064,4477.8,,,,
40,06/26/23 06:15:00 PM,31.064,4133.4,,,,
41,06/26/23 06:20:00 PM,31.064,4133.4,,,,
42,06/26/23 06:25:00 PM,30.963,2669.5,,,,
43,06/26/23 06:30:00 PM,30.963,3616.7,,,,
44,06/26/23 06:35:00 PM,30.963,3616.7,,,,
45,06/26/23 06:40:00 PM,30.963,3444.5,,,,
46,06/26/23 06:45:00 PM,30.963,3272.2,,,,
47,06/26/23 06:50:00 PM,30.862,3100.0,,,,
48,06/26/23 06:55:00 PM,30.862,2669.5,,,,
49,06/26/23 07:00:00 PM,30.862,1463.9,,,,
50,06/26/23 07:05:00 PM,30.862,3272.2,,,,
51,06/26/23 07:10:00 PM,30.760,1377.8,,,,
52,06/26/23 07:15:00 PM,30.659,1227.1,,,,
53,06/26/23 07:20:00 PM,30.659,914.9,,,,
54,06/26/23 07:25:00 PM,30.659,1550.0,,,,
55,06/26/23 07:30:00 PM,30.659,1550.0,,,,
56,06/26/23 07:35:00 PM,30.558,1377.8,,,,
57,06/26/23 07:40:00 PM,30.558,1173.3,,,,
58,06/26/23 07:45:00 PM,30.457,796.5,,,,
59,06/26/23 07:50:00 PM,30.457,559.7,,,,
60,06/26/23 07:55:00 PM,30.356,441.3,,,,
61,06/26/23 08:00:00 PM,30.356,387.5,,,,
62,06/26/23 08:05:00 PM,30.356,322.9,,,,
63,06/26/23 08:10:00 PM,30.255,269.1,,,,
64,06/26/23 08:15:00 PM,30.255,204.5,,,,
65,06/26/23 08:20:00 PM,30.255,139.9,,,,
66,06/26/23 08:25:00 PM,30.154,75.3,,,,
67,06/26/23 08:30:00 PM,30.154,43.1,,,,
68,06/26/23 08:35:00 PM,30.054,21.5,,,,
69,06/26/23 08:40:00 PM,30.054,0.0,,,,
70,06/26/23 08:45:00 PM,30.054,0.0,,,,
71,06/26/23 08:50:00 PM,29.953,0.0,,,,
72,06/26/23 08:55:00 PM,29.953,0.0,,,,
73,06/26/23 09:00:00 PM,29.853,0.0,,,,
74,06/26/23 09:05:00 PM,29.853,0.0,,,,
75,06/26/23 09:10:00 PM,29.853,0.0,,,,
76,06/26/23 09:15:00 PM,29.752,0.0,,,,
77,06/26/23 09:20:00 PM,29.752,0.0,,,,
78,06/26/23 09:25:00 PM,29.752,0.0,,,,
79,06/26/23 09:30:00 PM,29.652,0.0,,,,
