"","Date","Plate","Temp.C","Assay"
"1","20230718","11",28.4,"Photo"
"2","20230718","12",30.78,"Photo"
"3","20230719","13",28.11,"Photo"
"4","20230719","14",30.85,"Photo"
"5","20230719","15",28.39,"Photo"
"6","20230720","16",29.61,"Photo"
"7","20230720","17",28.76,"Photo"
"8","20230720","18",32.09,"Photo"
"9","20230720","19",31.17,"Photo"
"10","20230721","20",29.17,"Photo"
"11","20230721","21",29.96,"Photo"
